symbol,open_time,return_1d,atr_pct,obv_z_1d,vwap_slope_96,bars_since_high,bars_since_high_xs_rank,autocorr_pctile_7d,corr_to_btc_1d,beta_to_btc_change_5d,idio_vol_to_btc_1h,idio_vol_to_btc_1d,funding_rate,funding_rate_z_7d,funding_rate_1d_change,rvol_7d,ret_3d,btc_rvol_7d,resid_rev_2,resid_rev_3,pred_long,pred_short
HYPEUSDT,2026-06-01 00:00:00+00:00,0.06266445,0.005674335,-1.0260406,0.0022889755,12.0,0.21428572,0.1344246,0.33076102,-0.24228741,0.0025401625,0.0027533285,5e-05,0.8714837,0.00010729,0.0034472595434635878,0.17125357687473297,0.0009336129878647625,-0.04929370526224375,-0.06739920284599066,0.36971185,0.33953914
POLYXUSDT,2026-06-01 00:00:00+00:00,0.03941091,0.011242931,0.80933887,0.013962658,202.0,0.41714287,0.75446427,0.37838653,0.6574903,0.0025111448,0.0028978642,-0.00019013,-1.6532491,-0.00022214,0.0024606555234640837,0.018126273527741432,0.0009336129878647625,-0.022300553508102894,-0.008284294046461582,-0.5269546,-0.5926926
SEIUSDT,2026-06-01 00:00:00+00:00,0.031736437,0.0050879247,-0.16130808,0.0016004057,137.0,0.36,0.3531746,0.5676517,1.123009,0.002219381,0.0025506066,-0.0001373,-0.7229423,-0.00016222,0.003322599222883582,0.003537735901772976,0.0009336129878647625,-0.027764422935433686,-0.009433612343855202,0.11135463,0.12343414
SKRUSDT,2026-06-01 00:00:00+00:00,-0.008236151,0.0024730565,0.5251684,0.00051999994,1555.0,1.0,0.43650794,0.7163962,0.36089516,0.0007402855,0.0009891718,5e-05,0.30070594,0.0,0.0015991770196706057,-0.02390553057193756,0.0009336129878647625,-0.0036715036258101463,-0.002329633105546236,0.17790098,0.17824423
XLMUSDT,2026-06-01 00:00:00+00:00,0.13001844,0.011081778,-0.67234707,0.003899663,128.0,0.34285715,0.57093257,0.21291317,1.0802574,0.0057020467,0.0069442037,-0.0001145,-0.9297793,0.00012313,0.006459227297455072,0.27473607659339905,0.0009336129878647625,-0.03778488747775555,-0.0025933776050806046,0.7551972,0.98908734
ZROUSDT,2026-06-01 00:00:00+00:00,0.0019147084,0.0038440907,0.49316502,0.0005791631,324.0,0.6571429,0.19791667,0.6470803,0.74584424,0.0010926046,0.0016134471,5e-05,0.31464657,0.0,0.002420414937660098,0.008076551370322704,0.0009336129878647625,-0.01662081340327859,0.001088231336325407,-0.13347802,-0.13417728
HYPEUSDT,2026-06-01 04:00:00+00:00,0.073808275,0.004970438,1.6927989,0.0016515475,40.0,0.41714287,0.31498015,0.41770315,-0.00740359,0.0029630032,0.0028312372,5e-05,0.870606,0.00010604,0.003473149612545967,0.19897601008415222,0.00094091851497069,-0.059830574318766594,-0.06946009304374456,0.40522602,0.35396326
POLYXUSDT,2026-06-01 04:00:00+00:00,0.03,0.0029321776,-0.15610468,0.00026880932,250.0,0.61142856,0.4826389,0.37228385,0.46478152,0.0012664687,0.0029763742,-0.00019013,-1.5603148,-8.038e-05,0.0023099114187061787,0.02444489672780037,0.00094091851497069,-0.019723257049918175,-0.03176635503768921,-0.13498272,-0.04493931
SEIUSDT,2026-06-01 04:00:00+00:00,0.029296285,0.0047806944,-0.51904035,0.00081383245,185.0,0.5657143,0.6681548,0.60586095,1.0946159,0.0022273057,0.002678447,-0.0001373,-0.7488476,-0.00011038,0.003368459874764085,0.036272574216127396,0.00094091851497069,-0.0303457920672372,-0.02952867024578154,0.09865751,0.11469431
SKRUSDT,2026-06-01 04:00:00+00:00,0.009796096,0.0037872694,2.8212614,0.003137848,7.0,0.20285714,0.90873015,0.73749447,0.5435868,0.0022484749,0.0011332246,5e-05,0.30070594,0.0,0.001625138451345265,0.006017108913511038,0.00094091851497069,-0.036576852202415466,-0.02831407729536295,-0.034039408,-0.050081126
XLMUSDT,2026-06-01 04:00:00+00:00,0.09169744,0.01084819,0.052409522,0.0016335081,18.0,0.35714287,0.9375,0.20045538,0.65248954,0.005420609,0.006748439,-0.0001145,-0.89521855,-0.0002145,0.006546976510435343,0.2629837393760681,0.00094091851497069,-0.07474051788449287,-0.06340168602764606,1.0197506,0.9986756
ZROUSDT,2026-06-01 04:00:00+00:00,-0.005028611,0.0034343929,0.48009393,0.00084448187,372.0,0.7828571,0.75992066,0.6853964,0.6573071,0.001060632,0.0015723207,5e-05,0.31464657,0.0,0.0024312976747751236,0.007018159609287977,0.00094091851497069,-0.020513441355433315,-0.016112048586364836,-0.065993726,-0.046560246
HYPEUSDT,2026-06-01 08:00:00+00:00,0.046637714,0.0053712945,-1.1450344,0.00010623843,33.0,0.05142857,0.37549603,0.4415526,0.06373856,0.0032952356,0.0029624812,5e-05,0.83437824,8.002e-05,0.003461103420704603,0.1516626924276352,0.0009431476355530322,-0.031116556376218796,-0.07078074291348457,0.41042745,0.3857584
POLYXUSDT,2026-06-01 08:00:00+00:00,-0.050897036,0.0048384243,-0.2886822,-0.0022795952,298.0,0.61142856,0.40575397,0.5191664,0.652355,0.002720316,0.0024525046,-0.00019013,-1.7635138,-0.00020814,0.002341893035918474,-0.011587721295654774,0.0009431476355530322,0.005678242072463036,-0.004579213447868824,-0.12086697,-0.06833142
SEIUSDT,2026-06-01 08:00:00+00:00,-0.0036160916,0.004705452,-0.43445978,-0.0012487406,233.0,0.5657143,0.3234127,0.6365625,0.9600366,0.0020623994,0.0025945348,-0.0001373,-0.77556133,-0.00011038,0.003387040924280882,-0.008109325543045998,0.0009431476355530322,-0.006878140033222735,-0.03545968479011208,0.08763317,0.09346643
SKRUSDT,2026-06-01 08:00:00+00:00,-0.025877193,0.003462382,-1.5462942,-0.00088465505,55.0,0.23714286,0.006448413,0.72389257,0.4961271,0.0018794613,0.0012793548,5e-05,0.30070594,0.0,0.0016479621408507228,-0.03725362941622734,0.0009431476355530322,-0.003139778971672058,-0.015074057504534721,0.1520747,0.097856335
XLMUSDT,2026-06-01 08:00:00+00:00,0.10808242,0.012686328,-3.1552997,-0.0015275925,66.0,0.38,0.82738096,0.21710752,0.713224,0.005944287,0.0070853215,-0.0001145,-0.861989,-0.0002145,0.006644318345934153,0.22884133458137512,0.0009431476355530322,-0.02424925717059523,-0.07337297650519758,1.2304163,1.1027529
ZROUSDT,2026-06-01 08:00:00+00:00,-0.022129653,0.004846953,0.220463,-0.001148243,420.0,0.7828571,0.4781746,0.64455456,0.5995796,0.0019100371,0.0018929194,5e-05,0.31464657,0.0,0.0024650462437421083,-0.02009611204266548,0.0009431476355530322,-0.006768952531274408,-0.027791158703621477,-0.09233973,-0.03474086
HYPEUSDT,2026-06-01 12:00:00+00:00,0.0825684,0.0058582043,-0.7419599,0.00023125178,81.0,0.108571425,0.24255952,0.4366962,0.15188286,0.003117391,0.0031859581,5e-05,0.8336371,7.65e-06,0.0034985141828656197,0.1761472374200821,0.0009477136190980673,-0.02959815040230751,-0.04976453818380833,0.4117265,0.39567143
POLYXUSDT,2026-06-01 12:00:00+00:00,-0.0143001005,0.003517125,-0.12634774,-0.0013771825,346.0,0.6457143,0.08581349,0.6134646,0.60257083,0.002048533,0.0019543439,-0.00019013,-1.6707753,0.0001912,0.0023420543875545263,0.005757762584835291,0.0009477136190980673,-0.003012784756720066,-0.012478586286306381,-0.2561802,-0.18140113
