symbol,open_time,return_1d,atr_pct,obv_z_1d,vwap_slope_96,bars_since_high,bars_since_high_xs_rank,autocorr_pctile_7d,corr_to_btc_1d,beta_to_btc_change_5d,idio_vol_to_btc_1h,idio_vol_to_btc_1d,funding_rate,funding_rate_z_7d,funding_rate_1d_change,rvol_7d,ret_3d,btc_rvol_7d,resid_rev_2,resid_rev_3,pred_long,pred_short
AVAXUSDT,2026-05-29 00:00:00+00:00,-0.011607341,0.0017862718,0.26472646,0.0007334371,979.0,0.85142857,0.34176588,0.81898445,-0.09193156,0.0006623427,0.0011375136,-2.493e-05,-0.8970172,-8.174e-05,0.0016279849587486621,-0.0410576096302665,0.0009791379048224062,0.0016037789173424244,-0.011252796743065119,0.037878823,0.039815802
BCHUSDT,2026-05-29 00:00:00+00:00,-0.10212792,0.002770048,0.3359842,0.0008928884,739.0,0.6685714,0.18303572,0.3366195,0.0684342,0.0013098002,0.0035235262,-0.00019644,0.71002704,-4.526e-05,0.002164434166646072,-0.14677749943065344,0.0009791379048224062,-0.0014696098369313404,0.004759315823321231,-0.23188011,-0.24545571
BERAUSDT,2026-05-29 00:00:00+00:00,-0.04531382,0.002650013,0.5069928,0.000814539,691.0,0.5285714,0.48164684,0.7696713,-0.34763122,0.00084489,0.001700918,2.619e-05,-0.12182941,1.448e-05,0.002561747502214618,-0.10868421052631583,0.0009791379048224062,0.01023614127188921,0.0006638076156377792,0.06669821,0.029346284
BIGTIMEUSDT,2026-05-29 00:00:00+00:00,-0.020869566,0.0024889624,0.43067703,0.0012482479,382.0,0.20571429,0.11061508,0.7462943,-0.07968173,0.00091673824,0.001652498,5e-05,0.32306457,0.0,0.002120829807960138,-0.06733167082294267,0.0009791379048224062,-0.0089203609386459,-0.02350619120988995,-0.05898982,-0.051628187
BNBUSDT,2026-05-29 00:00:00+00:00,-0.014350232,0.0010984602,0.24044858,0.00061073864,977.0,0.8457143,0.17261904,0.86042076,-0.011860544,0.00045976203,0.00056745834,0.0,-1.0954798,-6.759e-05,0.000977129287552853,-0.03739430569581148,0.0009791379048224062,0.0015682631637901068,-0.008929646806791425,-0.05683411,-0.07197897
BSVUSDT,2026-05-29 00:00:00+00:00,-0.014214641,0.0013262327,0.009844219,0.0008274559,1246.0,0.95428574,0.041666668,0.6577984,-0.00976374,0.0006857396,0.0014421719,5e-05,0.5049004,0.0,0.0016687781636506682,-0.04807692307692313,0.0009791379048224062,0.0013557824422605336,-0.004954124509822577,-0.10458952,-0.09773436
CAKEUSDT,2026-05-29 00:00:00+00:00,-0.023286086,0.0013445274,0.3256543,0.0012743485,951.0,0.8057143,0.52132934,0.7472816,-0.019856704,0.00028790775,0.0012003578,5e-05,0.51488733,0.0,0.001444370916586519,-0.06972894682391884,0.0009791379048224062,0.0024950472288765013,-0.01613510347669944,-0.083881676,-0.06977834
CCUSDT,2026-05-29 00:00:00+00:00,-0.009607378,0.0022135503,0.43122458,0.00074508844,968.0,0.82285714,0.52529764,0.3217324,0.08647408,0.0013897578,0.0015759447,5e-05,0.4628366,0.0,0.0018968407587642445,-0.06868528774379967,0.0009791379048224062,-0.00605464237742126,0.000401525991037488,0.045287043,0.03835587
CELOUSDT,2026-05-29 00:00:00+00:00,0.0,0.0023859954,-0.0021209144,0.0024540692,981.0,0.85714287,0.03968254,0.7321354,0.054287277,0.0010277345,0.0017197651,1e-04,0.5457575,0.0,0.002193934165361331,-0.06194578160628317,0.0009791379048224062,-0.015176731161773205,-0.036403789184987545,-0.16103703,-0.09788063
COMPUSDT,2026-05-29 00:00:00+00:00,-0.023730684,0.002261171,0.12174695,0.0009228958,481.0,0.40571427,0.5109127,0.3513928,0.11586447,0.0011264003,0.0028830508,-0.00016537,0.49315766,-0.00015984,0.002784722630104424,-0.09296353364149967,0.0009791379048224062,0.00504267867654562,-0.0212476858869195,0.00915828,0.03049396
CRVUSDT,2026-05-29 00:00:00+00:00,-0.011611705,0.0028703876,0.5443881,0.0007256854,389.0,0.28857142,0.7237103,0.7968401,-0.2449339,0.0010402385,0.0012911462,-0.00012131,-1.1221561,-0.00015506,0.0021593887655324065,-0.04975347377857464,0.0009791379048224062,0.0011883527040481567,-0.006799283437430859,-0.064671904,-0.068547405
DOGEUSDT,2026-05-29 00:00:00+00:00,-0.009836066,0.0016950052,-0.13332222,0.00054913695,390.0,0.32285714,0.56001985,0.8510286,-0.25161842,0.00061046187,0.0009496404,4.507e-05,0.23791312,-3.446e-05,0.0015674659839701368,-0.025176332288401326,0.0009791379048224062,-0.00019989162683486938,-0.01433797087520361,0.011952626,0.006683153
DOODUSDT,2026-05-29 00:00:00+00:00,-0.046501707,0.0036833892,0.7030102,0.000284452,925.0,0.70857143,0.82886904,0.6743097,-0.061525136,0.0028378717,0.002253265,5e-05,0.15613502,0.0,0.0023113532131051216,-0.13323005422153378,0.0009791379048224062,0.011287054629065096,-0.010668469010852277,-0.03719854,-0.04885287
DOTUSDT,2026-05-29 00:00:00+00:00,-0.0121951215,0.002977863,-0.0042845565,0.000988523,691.0,0.5285714,0.3343254,0.7599453,-0.4578641,0.0015762364,0.0015631423,2.175e-05,0.21260093,-7.825e-05,0.0023898304139252915,-0.03888888888888886,0.0009791379048224062,-0.005322684533894062,-0.019364175386726856,-0.044071708,-0.031125711
ENSUSDT,2026-05-29 00:00:00+00:00,-0.008606142,0.0021530709,0.41972268,0.0016430436,951.0,0.8057143,0.5262897,0.79956007,-0.3769322,0.0007596536,0.0013225914,-1.431e-05,-0.24649097,-0.00011431,0.0020349072310705514,-0.07217473884140546,0.0009791379048224062,-0.016843559220433235,-0.028455253690481186,-0.03693686,-0.010288164
ETCUSDT,2026-05-29 00:00:00+00:00,-0.022953147,0.0018922943,-0.10645239,0.00077235507,951.0,0.8057143,0.2157738,0.76128113,-0.23719719,0.000690861,0.0012034791,-0.00012594,-1.9559675,-0.00013925,0.0017503103171702305,-0.07712974364715097,0.0009791379048224062,-0.0030958005227148533,-0.012078721541911364,-0.0027513532,0.015509231
ETHFIUSDT,2026-05-29 00:00:00+00:00,0.012625612,0.0042250697,-0.10254198,0.0016758572,40.0,0.068571426,0.48015872,0.59372234,0.17581123,0.0015815087,0.0037467848,5e-05,0.6590394,0.0,0.0031349008870180588,0.053068882337175216,0.0009791379048224062,-0.05237405304796994,-0.06878905300982296,0.055857934,0.06318003
ETHUSDT,2026-05-29 00:00:00+00:00,-0.0066352445,0.0012166721,0.0049227695,0.0004798437,691.0,0.5285714,0.6369048,0.88078266,-0.26262343,0.00023509847,0.0007313638,2.984e-05,-1.0357634,-3.113e-05,0.0013315855047244213,-0.048644655338978104,0.0009791379048224062,0.001402535242959857,-0.008934241021052003,-0.020916302,-0.013117049
FETUSDT,2026-05-29 00:00:00+00:00,-0.051155116,0.0045255087,0.26831815,0.001323212,715.0,0.6314286,0.40525794,0.48899952,0.115078114,0.0022700436,0.003887158,5.751e-05,0.49103054,-4.249e-05,0.004337938845955443,-0.007775377969762576,0.0009791379048224062,-0.01714044203981757,-0.045431172009557486,0.08922948,0.15462334
GALAUSDT,2026-05-29 00:00:00+00:00,-0.02574698,0.0027685247,0.25305316,0.001546411,691.0,0.5285714,0.33978173,0.7529974,-0.0956031,0.0010295497,0.0017700221,2.529e-05,0.4505355,7.33e-06,0.0023510343516775205,-0.0714285714285714,0.0009791379048224062,-0.0038634352385997772,-0.017824417911469936,-0.041689288,-0.04763454
GASUSDT,2026-05-29 00:00:00+00:00,-0.02585034,0.0019366008,0.27437702,0.00039266355,455.0,0.38857144,0.796627,0.7228893,-0.03515369,0.00057921925,0.0012945158,5e-05,0.35748264,0.0,0.0016878688231811573,-0.07184466019417479,0.0009791379048224062,0.0033425026340410113,-0.01311712444294244,0.07582277,0.05017466
GMXUSDT,2026-05-29 00:00:00+00:00,-0.016558902,0.0019820535,0.28022614,0.00050408527,1477.0,0.98,0.7901786,0.5789088,0.070869654,0.0010609386,0.0017291913,3.275e-05,-0.09054459,-6.725e-05,0.0018479301431829904,-0.036504253673627196,0.0009791379048224062,-0.012520030606538057,-0.02157993381842971,-0.07496933,-0.042510167
HBARUSDT,2026-05-29 00:00:00+00:00,0.067257255,0.0052698236,-0.60820264,0.002394196,67.0,0.08571429,0.48065478,0.40075895,0.060648255,0.0031168428,0.003395072,-5.799e-05,-2.7358153,-7.115e-05,0.0018795677358479817,0.032928352446917275,0.0009791379048224062,-0.028449362376704812,-0.09174392209388316,-0.04223003,0.018510828
HYPEUSDT,2026-05-29 00:00:00+00:00,0.058763653,0.0046861228,-0.2520311,0.0015232684,28.0,0.04,0.71130955,0.54623485,0.4157747,0.0028477926,0.0031349903,1.403e-05,0.30750775,5.825e-05,0.003701804057955336,0.006639845615412199,0.0009791379048224062,-0.04745100811123848,-0.07180764526128769,0.45982942,0.42514357
IMXUSDT,2026-05-29 00:00:00+00:00,-0.021924483,0.0023503401,0.43840072,0.00071822805,333.0,0.15428571,0.13392857,0.7098042,0.13509537,0.0009849817,0.0022959816,1.852e-05,0.11347827,-3.148e-05,0.0025289081669020498,-0.04586063132817142,0.0009791379048224062,-0.0070542446337640285,-0.030275413300842047,0.023829184,0.06655966
IOTAUSDT,2026-05-29 00:00:00+00:00,0.08122744,0.0077080317,-0.34336078,0.002032033,22.0,0.028571429,0.11855159,0.41834655,-0.45470083,0.0043010237,0.00291592,1e-04,0.58988595,0.0,0.002546299983902726,0.04181184668989535,0.0009791379048224062,-0.07317475788295269,-0.10735094361007214,0.0681198,0.056115616
IPUSDT,2026-05-29 00:00:00+00:00,-0.048706897,0.0023865332,0.36522755,0.000563691,1474.0,0.9714286,0.46478173,0.6962419,-0.18376872,0.0009301309,0.001680181,-0.00012001,-1.4938251,-6.957e-05,0.0024423907692619575,-0.09678080787369292,0.0009791379048224062,-0.0026736059226095676,-0.012601548340171576,-0.084927015,-0.07689576
KASUSDT,2026-05-29 00:00:00+00:00,-0.029934518,0.0016084944,0.35480648,0.00090193335,884.0,0.6742857,0.75595236,0.73611814,-0.27113292,0.00067103177,0.0012994694,8.92e-06,-0.8492295,-4.108e-05,0.0018022187158380108,-0.07580261593341275,0.0009791379048224062,-0.004362559411674738,-0.006170648499391973,-0.12923655,-0.12379544
LINEAUSDT,2026-05-29 00:00:00+00:00,-0.021276595,0.0024196166,0.31162608,0.000863764,691.0,0.5285714,0.17063493,0.7563727,-0.34100965,0.00092393113,0.0017254173,5e-05,0.9084156,0.0,0.0023155279502411552,-0.056907998735377774,0.0009791379048224062,-0.004665341693907976,-0.025989093352109194,-0.07463348,-0.06844231
LINKUSDT,2026-05-29 00:00:00+00:00,-0.0138980085,0.0016844857,0.38613483,0.0008423469,691.0,0.5285714,0.47916666,0.834997,-0.29581985,0.00064545247,0.0010413985,1.1e-05,-0.36305162,-8.442e-05,0.0017199084869623576,-0.052742393936203946,0.0009791379048224062,-7.484108209609985e-06,-0.013620547018945217,0.015469095,0.020541951
