time,fold,gross_pnl_bps,cost_bps,net_pnl_bps,turnover
2025-07-15 00:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-15 04:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-15 08:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-15 12:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-15 16:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-15 20:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-16 00:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-16 04:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-16 08:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-16 12:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-16 16:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-16 20:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-17 00:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-17 04:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-17 08:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-17 12:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-17 16:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-17 20:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-18 00:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-18 04:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-18 08:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-18 12:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-18 16:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-18 20:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-19 00:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-19 04:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-19 08:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-19 12:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-19 16:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-19 20:00:00+00:00,1,0.0,0.0,0.0,0.0
2025-07-20 00:00:00+00:00,1,0.0,0.75,-0.75,0.3333333333333333
2025-07-20 04:00:00+00:00,1,8.853106498718262,0.5,8.353106498718262,0.2222222222222222
2025-07-20 08:00:00+00:00,1,121.90531921386719,0.25000000000000006,121.65531921386719,0.11111111111111113
2025-07-20 12:00:00+00:00,1,64.70992279052734,0.2500000000000001,64.45992279052734,0.11111111111111116
2025-07-20 16:00:00+00:00,1,40.25690841674805,0.2500000000000001,40.00690841674805,0.11111111111111116
2025-07-20 20:00:00+00:00,1,-79.9593276977539,0.2500000000000001,-80.2093276977539,0.11111111111111116
2025-07-21 00:00:00+00:00,1,2.9906983375549316,0.5000000000000001,2.4906983375549316,0.22222222222222227
2025-07-21 04:00:00+00:00,1,-6.509223937988281,0.25,-6.759223937988281,0.11111111111111112
2025-07-21 08:00:00+00:00,1,87.5886459350586,0.0,87.5886459350586,0.0
2025-07-21 12:00:00+00:00,1,121.9315185546875,0.0,121.9315185546875,0.0
2025-07-21 16:00:00+00:00,1,-51.38705825805664,0.0,-51.38705825805664,0.0
2025-07-21 20:00:00+00:00,1,66.78694152832031,0.0,66.78694152832031,0.0
2025-07-22 00:00:00+00:00,1,13.374403953552246,0.0,13.374403953552246,0.0
2025-07-22 04:00:00+00:00,1,-151.07460021972656,0.0,-151.07460021972656,0.0
2025-07-22 08:00:00+00:00,1,28.023639678955078,0.0,28.023639678955078,0.0
2025-07-22 12:00:00+00:00,1,-18.866947174072266,0.0,-18.866947174072266,0.0
2025-07-22 16:00:00+00:00,1,-52.026798248291016,0.0,-52.026798248291016,0.0
2025-07-22 20:00:00+00:00,1,90.15644836425781,0.0,90.15644836425781,0.0
2025-07-23 00:00:00+00:00,1,-99.85379791259766,0.0,-99.85379791259766,0.0
2025-07-23 04:00:00+00:00,1,14.269001007080078,0.0,14.269001007080078,0.0
2025-07-23 08:00:00+00:00,1,41.42596435546875,0.7499999999999998,40.67596435546875,0.33333333333333326
2025-07-23 12:00:00+00:00,1,-109.8873062133789,1.0,-110.8873062133789,0.4444444444444445
2025-07-23 16:00:00+00:00,1,47.5244140625,1.0,46.5244140625,0.4444444444444444
2025-07-23 20:00:00+00:00,1,-47.551822662353516,1.0,-48.551822662353516,0.4444444444444444
2025-07-24 00:00:00+00:00,1,-101.25592041015625,1.0,-102.25592041015625,0.4444444444444445
2025-07-24 04:00:00+00:00,1,-30.030921936035156,1.0,-31.030921936035156,0.4444444444444444
2025-07-24 08:00:00+00:00,1,-146.4164581298828,0.7500000000000003,-147.1664581298828,0.3333333333333335
2025-07-24 12:00:00+00:00,1,50.23701858520508,0.5000000000000002,49.73701858520508,0.22222222222222232
2025-07-24 16:00:00+00:00,1,19.961341857910156,0.5000000000000006,19.461341857910156,0.2222222222222225
2025-07-24 20:00:00+00:00,1,44.06913757324219,0.37500000000000033,43.69413757324219,0.16666666666666682
2025-07-25 00:00:00+00:00,1,-277.34112548828125,0.5000000000000006,-277.84112548828125,0.2222222222222225
2025-07-25 04:00:00+00:00,1,-42.921852111816406,1.0000000000000002,-43.921852111816406,0.44444444444444453
2025-07-25 08:00:00+00:00,1,-108.63844299316406,0.9999999999999997,-109.63844299316406,0.4444444444444443
2025-07-25 12:00:00+00:00,1,33.49244689941406,0.7500000000000001,32.74244689941406,0.33333333333333337
2025-07-25 16:00:00+00:00,1,49.45518493652344,0.5,48.95518493652344,0.22222222222222224
2025-07-25 20:00:00+00:00,1,-63.45368194580078,0.7499999999999993,-64.20368194580078,0.33333333333333304
2025-07-26 00:00:00+00:00,1,59.898616790771484,0.5,59.398616790771484,0.2222222222222222
2025-07-26 04:00:00+00:00,1,8.816963195800781,0.7500000000000003,8.066963195800781,0.3333333333333335
2025-07-26 08:00:00+00:00,1,-30.71472930908203,0.75,-31.46472930908203,0.3333333333333333
2025-07-26 12:00:00+00:00,1,157.54872131347656,0.24999999999999956,157.29872131347656,0.11111111111111091
2025-07-26 16:00:00+00:00,1,138.51829528808594,0.49999999999999983,138.01829528808594,0.22222222222222215
2025-07-26 20:00:00+00:00,1,29.329423904418945,0.5000000000000001,28.829423904418945,0.2222222222222223
2025-07-27 00:00:00+00:00,1,-100.85194396972656,2.498001805406602e-16,-100.85194396972656,1.1102230246251565e-16
2025-07-27 04:00:00+00:00,1,157.25633239746094,0.5,156.75633239746094,0.2222222222222222
2025-07-27 08:00:00+00:00,1,-23.35079002380371,0.5000000000000004,-23.85079002380371,0.22222222222222243
2025-07-27 12:00:00+00:00,1,12.191307067871094,0.24999999999999983,11.941307067871094,0.11111111111111104
2025-07-27 16:00:00+00:00,1,-42.3406982421875,0.5000000000000001,-42.8406982421875,0.22222222222222227
2025-07-27 20:00:00+00:00,1,15.9339017868042,3.7470027081099033e-16,15.9339017868042,1.6653345369377348e-16
2025-07-28 00:00:00+00:00,1,-108.2435302734375,0.5000000000000001,-108.7435302734375,0.22222222222222227
2025-07-28 04:00:00+00:00,1,159.1122283935547,0.7499999999999998,158.3622283935547,0.33333333333333326
2025-07-28 08:00:00+00:00,1,53.25791931152344,0.7500000000000001,52.50791931152344,0.33333333333333337
2025-07-28 12:00:00+00:00,1,-122.71673583984375,0.5000000000000001,-123.21673583984375,0.22222222222222227
2025-07-28 16:00:00+00:00,1,-26.72162437438965,0.7500000000000001,-27.47162437438965,0.33333333333333337
2025-07-28 20:00:00+00:00,1,-8.68044662475586,1.0,-9.68044662475586,0.4444444444444444
2025-07-29 00:00:00+00:00,1,-115.57272338867188,0.7500000000000001,-116.32272338867188,0.33333333333333337
2025-07-29 04:00:00+00:00,1,112.46741485595703,0.8750000000000004,111.59241485595703,0.38888888888888906
2025-07-29 08:00:00+00:00,1,16.118431091308594,0.8750000000000001,15.243431091308594,0.38888888888888895
2025-07-29 12:00:00+00:00,1,-54.375980377197266,0.7500000000000001,-55.125980377197266,0.33333333333333337
2025-07-29 16:00:00+00:00,1,-374.6795654296875,1.2500000000000002,-375.9295654296875,0.5555555555555557
2025-07-29 20:00:00+00:00,1,3.9843978881835938,0.49999999999999983,3.4843978881835938,0.22222222222222215
2025-07-30 00:00:00+00:00,1,80.77391052246094,0.24999999999999992,80.52391052246094,0.11111111111111108
2025-07-30 04:00:00+00:00,1,88.44680786132812,0.375,88.07180786132812,0.16666666666666666
2025-07-30 08:00:00+00:00,1,-89.62490844726562,0.37500000000000006,-89.99990844726562,0.16666666666666669
2025-07-30 12:00:00+00:00,1,1.6221609115600586,0.5,1.1221609115600586,0.22222222222222224
2025-07-30 16:00:00+00:00,1,85.43224334716797,0.9999999999999997,84.43224334716797,0.4444444444444443
2025-07-30 20:00:00+00:00,1,-151.94430541992188,1.1250000000000002,-153.06930541992188,0.5000000000000001
2025-07-31 00:00:00+00:00,1,279.65191650390625,1.1249999999999996,278.52691650390625,0.49999999999999983
2025-07-31 04:00:00+00:00,1,42.18839645385742,0.8749999999999999,41.31339645385742,0.38888888888888884
2025-07-31 08:00:00+00:00,1,22.373313903808594,0.6250000000000001,21.748313903808594,0.27777777777777785
2025-07-31 12:00:00+00:00,1,47.01557922363281,0.5000000000000001,46.51557922363281,0.2222222222222223
2025-07-31 16:00:00+00:00,1,129.4504852294922,0.7500000000000001,128.7004852294922,0.33333333333333337
2025-07-31 20:00:00+00:00,1,29.525386810302734,1.5,28.025386810302734,0.6666666666666666
2025-08-01 00:00:00+00:00,1,42.99748229980469,1.125,41.87248229980469,0.5
2025-08-01 04:00:00+00:00,1,23.326461791992188,1.0,22.326461791992188,0.4444444444444445
2025-08-01 08:00:00+00:00,1,145.50477600097656,0.6250000000000007,144.87977600097656,0.27777777777777807
2025-08-01 12:00:00+00:00,1,-162.32032775878906,0.5000000000000001,-162.82032775878906,0.22222222222222227
2025-08-01 16:00:00+00:00,1,-72.05499267578125,0.5000000000000001,-72.55499267578125,0.22222222222222227
2025-08-01 20:00:00+00:00,1,-37.16893768310547,0.2500000000000001,-37.41893768310547,0.11111111111111116
2025-08-02 00:00:00+00:00,1,152.64736938476562,0.625,152.02236938476562,0.2777777777777778
2025-08-02 04:00:00+00:00,1,247.2701416015625,0.7499999999999998,246.5201416015625,0.33333333333333326
2025-08-02 08:00:00+00:00,1,-8.357919692993164,0.6249999999999998,-8.982919692993164,0.2777777777777777
2025-08-02 12:00:00+00:00,1,128.17843627929688,0.625,127.55343627929688,0.2777777777777778
2025-08-02 16:00:00+00:00,1,-8.041753768920898,0.7500000000000001,-8.791753768920898,0.33333333333333337
2025-08-02 20:00:00+00:00,1,293.1370849609375,0.5000000000000004,292.6370849609375,0.22222222222222243
2025-08-03 00:00:00+00:00,1,-203.69082641601562,0.5000000000000003,-204.19082641601562,0.22222222222222238
2025-08-03 04:00:00+00:00,1,98.6023178100586,0.7499999999999998,97.8523178100586,0.33333333333333326
2025-08-03 08:00:00+00:00,1,-5.919252395629883,0.875,-6.794252395629883,0.3888888888888889
2025-08-03 12:00:00+00:00,1,93.65357208251953,1.0,92.65357208251953,0.4444444444444445
2025-08-03 16:00:00+00:00,1,198.61671447753906,0.875,197.74171447753906,0.3888888888888889
2025-08-03 20:00:00+00:00,1,254.90628051757812,1.0,253.90628051757812,0.4444444444444445
2025-08-04 00:00:00+00:00,1,-454.4498291015625,0.6250000000000001,-455.0748291015625,0.27777777777777785
2025-08-04 04:00:00+00:00,1,136.4561767578125,0.7499999999999998,135.7061767578125,0.33333333333333326
2025-08-04 08:00:00+00:00,1,45.17254638671875,0.6250000000000006,44.54754638671875,0.277777777777778
2025-08-04 12:00:00+00:00,1,-212.07208251953125,0.5,-212.57208251953125,0.22222222222222224
2025-08-04 16:00:00+00:00,1,-83.0084228515625,0.7499999999999998,-83.7584228515625,0.33333333333333326
2025-08-04 20:00:00+00:00,1,-15.878108978271484,0.875,-16.753108978271484,0.3888888888888889
