cost_mult,rt_bps,sharpe,lo,hi,fp,total,body95,pf_gross
1.0,9.0,0.37542898598477437,-1.9871993975285795,2.5507084978150165,5,2204.791911826529,-2.565055165354141,1.107202
2.0,18.0,-0.24390506576598703,-2.7368392359122393,2.0131542635639197,4,-1421.2211229790248,-3.2704387850911307,1.1108674
3.0,27.0,-1.324729890521592,-3.893296758304403,0.9730185165591909,2,-7600.277780227841,-4.962202219143618,1.0895987
