time,fold,gross,funding,cost,net,n_open
2025-07-15 00:00:00+00:00,1,58.852856,0.09999999999999462,2.25,56.70285568237304,10
2025-07-15 04:00:00+00:00,1,-5.60314,-0.4564900000000104,0.0,-6.059629877319346,10
2025-07-15 08:00:00+00:00,1,-19.428448,-0.4667100000000034,0.0,-19.895157723388674,10
2025-07-15 12:00:00+00:00,1,5.4882164,-0.17115000000000663,0.0,5.317066400146477,10
2025-07-15 16:00:00+00:00,1,30.88953,-0.07344999999999706,0.0,30.816080181884768,10
2025-07-15 20:00:00+00:00,1,-102.0545,-0.16532000000000918,0.0,-102.21981676513673,10
2025-07-16 00:00:00+00:00,1,-24.250093,-0.25507000000000435,0.0,-24.50516346008301,10
2025-07-16 04:00:00+00:00,1,12.212286,-0.3200300000000115,0.0,11.892255995483387,10
2025-07-16 08:00:00+00:00,1,-66.12274,-0.12003000000000147,0.0,-66.24277169921875,10
2025-07-16 12:00:00+00:00,1,-32.985573,-0.10000000000001547,0.0,-33.08557281494142,10
2025-07-16 16:00:00+00:00,1,44.83625,-0.3947199999999955,0.0,44.44153030517579,10
2025-07-16 20:00:00+00:00,1,-14.623586,-0.5947200000000056,0.0,-15.218305700988775,10
2025-07-17 00:00:00+00:00,1,-31.4652,-0.5406100000000051,0.0,-32.005810424194344,10
2025-07-17 04:00:00+00:00,1,1.2716789,-0.49739000000001293,0.0,0.774288924560534,10
2025-07-17 08:00:00+00:00,1,9.901119,0.09999999999999462,0.0,10.001119232177729,10
2025-07-17 12:00:00+00:00,1,43.379524,-0.5060500000000066,0.0,42.87347423095702,10
2025-07-17 16:00:00+00:00,1,-1.0505333,0.09999999999999462,0.0,-0.9505332946777397,10
2025-07-17 20:00:00+00:00,1,-34.393074,-0.09573000000001478,0.0,-34.48880403564455,10
2025-07-18 00:00:00+00:00,1,6.691639,-0.24110000000000234,0.0,6.450538946533201,10
2025-07-18 04:00:00+00:00,1,52.76593,0.1591099999999854,0.0,52.925040175781234,10
2025-07-18 08:00:00+00:00,1,58.10293,0.09999999999999462,0.0,58.20292816162109,10
2025-07-18 12:00:00+00:00,1,11.558049,-0.10000000000001547,0.0,11.458049201965316,10
2025-07-18 16:00:00+00:00,1,-23.871916,0.09999999999999462,0.0,-23.771915817260748,10
2025-07-18 20:00:00+00:00,1,28.727026,-0.10000000000001547,0.0,28.627025985717758,10
2025-07-19 00:00:00+00:00,1,29.865952,0.09999999999999462,0.0,29.965951538085932,10
2025-07-19 04:00:00+00:00,1,-59.257854,-0.10000000000001547,0.0,-59.35785446166994,10
