universe,n_syms,train_ic,sharpe,ci_lo,ci_hi,totPnL,maxDD,folds_pos,concentration,error
HL70_full,70,0.0012,-0.11,-1.99,1.91,-423,-2857,3/9,53%,
HL50_sanity,50,0.005,0.84,-0.96,2.61,3605,-4427,3/9,66%,
HL70_top30,30,0.0045,-1.01,-2.79,0.91,-4359,-7378,1/9,100%,
HL70_top15,15,0.0069,-0.65,-2.49,1.23,-2637,-5544,3/9,43%,
HL70_bot20,20,-0.0027,-0.34,-2.14,1.6,-1779,-5558,2/9,65%,
HL70_no_AI,67,0.0016,-1.34,-3.15,0.67,-5173,-5633,1/9,100%,
HL70_minus_top10,60,-0.0006,0.69,-1.25,2.4,3358,-3427,3/9,66%,
