symbol,n_rows,n_non_null_crossX,bn_okx_perp_ic,bn_okx_spot_ic,okx_perp_spot_ic,bn_cb_ic,okx_cb_spot_ic
AAVEUSDT,114576,2327,0.0020059918697465837,0.0021719035376691295,0.0038262458663712163,0.0003137365076483972,-0.02687061929344898
ADAUSDT,116880,2375,-0.0015366810239254547,-0.0024000814274109813,-0.0031755275039082706,-0.01027513781135021,-0.05560212632072416
APTUSDT,116880,2375,-0.004635946177979768,-0.004688599952627872,-0.007250700204135506,-0.004162762401979585,0.022474172686999874
ARBUSDT,116880,2375,-0.01697832705342306,-0.01880198959259661,-0.023608945841089184,-0.02030861135613258,-0.01226774656606095
ASTERUSDT,64896,1329,0.06399287885301767,0.030195836637591407,0.005568759107454369,0.02116326587660523,0.03775729027493143
ATOMUSDT,116880,2375,0.0063123915728716135,0.005340990588765417,-0.010450367371125873,0.0013658421827026895,-0.02263459335631928
AVAXUSDT,116880,2375,-0.040680720692743456,-0.040134180138121,0.015572233370666481,-0.04073142113645922,-0.013457250191786082
AXSUSDT,114576,2327,-0.021983969179605,-0.026663392578460357,-0.022328038830734306,-0.02961957107388109,-0.036739410217611
BCHUSDT,116880,2375,0.021560614630767385,0.021498743995819036,0.0004970505399066093,0.02153016313148478,0.0025218395883479104
BIOUSDT,116880,2375,-0.019359623458139547,-0.02195525524748214,-0.006742752125395057,-0.012063165662495282,0.018123576822043592
BNBUSDT,116880,2375,-0.001770488262554339,-0.0037634296464049235,-0.04234458741318979,-0.006260135380504219,-0.010882047679497237
DOGEUSDT,116880,2375,-0.026351815311521785,-0.025679837707621736,0.006222879771479739,-0.02551450744421852,-0.0037483888889674453
DOTUSDT,116880,2375,-0.02754124053194329,-0.026227540548083454,0.011903900309262893,-0.027109590196121924,-0.017313934747767573
ENAUSDT,116880,1359,-0.005418646085896607,-0.0078074910531467185,-0.04300227221569062,-0.00498553865867048,-0.013072880591819762
ETCUSDT,114576,2327,-0.04451131040253466,-0.04293574116880408,0.006600683583962998,-0.05400039174952792,-0.04819632997059177
ETHUSDT,116880,2375,-0.03158663760622623,-0.032051567444287186,-0.0006178184450923629,-0.031740005365542494,0.005124081306058925
FILUSDT,116880,2375,0.005293702056784511,0.003968875943758117,-0.014576405144186693,0.0003759938992944049,-0.022494722631362346
GMXUSDT,114576,2327,0.0023206758160477436,0.010362482697980334,0.04710176054328813,,
HBARUSDT,114576,2327,0.0065524807441772435,0.005573232208047341,-0.008328903340013594,0.006038385265625062,-0.0076102656622335655
HYPEUSDT,97170,2018,0.06121867354354676,0.04157916106305755,0.015147975563162702,0.02024979212310277,-0.022302999264636823
ICPUSDT,114576,2327,-0.014586720573387143,-0.014829322214321879,-0.014795743887471074,-0.017464847798152095,0.002780388800154536
INJUSDT,116880,2375,-0.01957635709196391,-0.020557592809007798,-0.001520526731476222,-0.0453633447378477,-0.04508308017877177
JTOUSDT,116880,2375,-0.02848012235432415,-0.024840581551578058,0.006935701598347298,-0.026666297106442752,-0.013646778091866669
JUPUSDT,116880,2375,-0.030690113874442412,-0.02924014469267897,0.015234344189515987,,
LDOUSDT,114576,2327,-0.009915031181204268,-0.010651773055140694,-0.00823426748600447,-0.007085875482700414,0.0015003184746930887
LINKUSDT,116880,2375,-0.01620136876851109,-0.01493954303781735,0.036085312446971315,-0.017358901330192963,-0.0487117822051174
LTCUSDT,116880,2375,-0.017875085687235934,-0.017731469662543294,0.0009590207327204399,-0.019371358776122564,-0.020505689376970376
NEARUSDT,116880,2375,-0.0355552642990304,-0.03261467788238292,0.044890344299898736,-0.03478145073653329,-0.017611376415798467
ONDOUSDT,116880,2375,0.02550225326631516,0.024623621583612854,-0.0023493463988071453,0.02183854888755705,-0.03215103779921353
OPUSDT,116880,2375,-0.0543251779726219,-0.05458331123512497,-0.007042259701513837,-0.060829118596555036,-0.031815839699590016
ORDIUSDT,114576,2327,-0.1087119323592298,-0.1052462113717976,0.036061103863970656,,
PENDLEUSDT,116880,1359,0.0018834837303095507,-0.0005106942140058922,-0.03837445254491712,0.0009414890665677627,0.020645946962663492
PENGUUSDT,116880,2375,-0.039528408063441885,-0.03991836720140986,-0.004710871989672962,-0.04172572255426438,-0.018940993531175385
PUMPUSDT,102322,1746,0.054490485833520196,0.05409912704148995,-0.008140502840038219,0.055824872062355806,0.02349120988701079
RUNEUSDT,116880,0,,,,,
SEIUSDT,116880,1011,-0.06888559001407259,-0.07044591923249977,-0.02086296985576912,-0.020083970197190958,-0.03393503742207969
SOLUSDT,116880,2375,-0.020797071271925417,-0.020580923223990605,0.0008774944154541453,-0.019359869857158405,0.021265372006607962
STRKUSDT,115392,2344,-0.05233563260962168,-0.05136999328304279,0.020092620685999277,-0.04165369990471609,-0.012825931043488295
SUIUSDT,116880,2375,0.009455121710756518,0.009564877297953352,0.006251515751074854,0.007810182784665614,-0.04003755702521335
TAOUSDT,116880,2375,0.00572294638421363,,,-0.02338176367400614,
TIAUSDT,116880,2375,-0.023990912851390808,-0.022882788181262194,0.014782964240398724,-0.024442128935823686,-0.02141233799582003
TONUSDT,114576,2327,0.014119823086772197,0.01610234656907609,0.02074645899485744,-0.0020459625566868964,0.016645567903235115
TRBUSDT,114576,2327,-0.08281208354564669,-0.08269910117760303,0.00048080975221088165,-0.08175709229429586,-0.018824366457857473
UNIUSDT,116880,2375,-0.0032063940830524837,-0.0035357432635288147,-0.007750066154718528,-0.0025248409709125764,0.016941543888500027
