test,variant,sharpe,n_syms,feature_set,model,arch,panel,note
X23 universe,B_bot20,-0.52,20.0,BASE+cohort,Ridge,per-sym,v1,
X23 universe,B_bot25,1.53,25.0,BASE+cohort,Ridge,per-sym,v1,
X32 HL-70,HL70_full,-0.11,70.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL50_sanity,0.84,50.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_top30,-1.01,30.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_top15,-0.65,15.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_bot20,-0.34,20.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_no_AI,-1.34,67.0,BASE+cohort,Ridge,per-sym,hl70,
X32 HL-70,HL70_minus_top10,0.69,60.0,BASE+cohort,Ridge,per-sym,hl70,
X24 cluster,C_l1_established,-0.38,7.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,C_l1_newer,1.14,11.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,C_defi,-0.05,11.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,C_memes,0.0,6.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,C_other_alt,0.53,9.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,P_L1_all,-3.1,18.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,P_defi_ai,0.2,14.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,P_majors_L1,-2.82,21.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,P_majors_defi,0.26,14.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,P_majors_L1_defi,-1.83,32.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,EX_no_memes,1.87,44.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,EX_no_ai,-0.1,47.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,EX_no_memes_ai,0.01,41.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,EX_no_other_alt,-0.23,41.0,BASE+cohort,Ridge,per-sym,v1,
X24 cluster,EX_no_majors,-0.06,47.0,BASE+cohort,Ridge,per-sym,v1,
X10 C1-norm,X10_Ridge_pool+symid_BASE_c1,0.09,,BASE,Ridge,pool+symid_C1norm,v1,
X10 C1-norm,X10_Ridge_pool+symid_paggT_c1,1.38,,paggT,Ridge,pool+symid_C1norm,v1,
X10 C1-norm,X10_Ridge_pool+symid_pcohort_c1,-0.1,,pcohort,Ridge,pool+symid_C1norm,v1,
X10 C1-norm,X10_Ridge_pool+symid_pv3_c1,-0.58,,pv3,Ridge,pool+symid_C1norm,v1,
X10 C1-norm,X10_Ridge_pool+symid_pcrossX_c1,-0.03,,pcrossX,Ridge,pool+symid_C1norm,v1,
X10 C1-norm,X10_Ridge_pool+symid_pall_c1,-0.41,,pall,Ridge,pool+symid_C1norm,v1,
