universe,n_syms,train_ic,sharpe,ci_lo,ci_hi,totPnL,maxDD,folds_pos,concentration,error
N1_HL30,30,0.0091,0.25,-1.75,2.11,950,-4082,4/9,49%,
N2_HL40,40,0.0094,0.29,-1.6,2.51,1248,-3100,4/9,68%,
N3_HL50,50,0.0101,0.19,-2.07,2.47,664,-3276,5/9,77%,
T1_top10_vol,10,0.0058,1.24,-0.77,3.15,4494,-2201,4/9,57%,
T2_top25_vol,25,0.0083,0.2,-1.83,1.98,739,-3500,5/9,51%,
T3_bottom25_vol,25,0.0121,0.37,-2.24,2.63,987,-3844,4/9,76%,
