target,horizon,pred,HL70_IC,HL70_t,EXT_IC,EXT_t,transport,min_abs
raw,4h,rev_short,0.03512575671252844,9.072769893276464,0.03229221779319483,12.960094618309276,True,0.03229221779319483
raw,4h,rev_4h,0.02822306942539009,7.183896462149229,0.03261381700491109,13.465195482945338,True,0.02822306942539009
raw,4h,mom_long,-0.015038172651002555,-3.856691247987363,-0.02301318806762006,-9.214161708767188,True,0.015038172651002555
raw,4h,mom_30d,-0.010926045824600054,-2.8386116340745557,-0.01700276484345871,-6.939444253358291,True,0.010926045824600054
raw,4h,funding_z,0.0009661828799181103,0.3542925819765601,-0.009784530090950616,-2.300074080977142,False,0.0009661828799181103
raw,4h,pred_proxy,0.030119309704178455,8.821804789954623,0.023001097194017335,9.558104608005493,True,0.023001097194017335
raw,12h,rev_short,0.04055705771255055,10.157848846848136,0.02914262573442427,11.687218464249757,True,0.02914262573442427
raw,12h,rev_4h,0.023630826805592028,6.015957727312636,0.024455812327479665,10.110678327079807,True,0.023630826805592028
raw,12h,mom_long,-0.011025485426450134,-2.786659549370767,-0.02577318024660768,-10.289782840315908,True,0.011025485426450134
raw,12h,mom_30d,-0.00866801118837022,-2.1734187770498097,-0.01845909477980418,-7.357383714521378,True,0.00866801118837022
raw,12h,funding_z,0.003337605704492608,1.222755903968187,-0.014148309308885589,-3.2280879269758085,False,0.003337605704492608
raw,12h,pred_proxy,0.03135015942502036,8.92243643683996,0.01797496868470395,7.469257626261123,True,0.01797496868470395
raw,1d,rev_short,0.037523655944329735,9.423751592701707,0.027521705391603726,11.01605340349307,True,0.027521705391603726
raw,1d,rev_4h,0.0207971698580066,5.321215659798949,0.014149165736759896,5.833374414854928,True,0.014149165736759896
raw,1d,mom_long,-0.004679443448268368,-1.1831976004174585,-0.02549267242266514,-10.16595712451028,True,0.004679443448268368
raw,1d,mom_30d,-0.004673719871220174,-1.159531285210799,-0.01876721872238867,-7.373756102778417,True,0.004673719871220174
raw,1d,funding_z,0.004205116775070773,1.5109251336625356,-0.010080282510349958,-2.2840095014089377,False,0.004205116775070773
raw,1d,pred_proxy,0.02969990361251652,8.516463116064143,0.014366511314636815,5.983718679596301,True,0.014366511314636815
