symbol,n,mean_|IC|_BASE,max_|IC|_BASE,cov_BASE,mean_|IC|_cohort,max_|IC|_cohort,cov_cohort,mean_|IC|_aggT,max_|IC|_aggT,cov_aggT,mean_|IC|_crossX,max_|IC|_crossX,cov_crossX,mean_|IC|_v3,max_|IC|_v3,cov_v3
FILUSDT,116880,0.019223977876158004,0.047102221476433566,1.0,0.01078721381849776,0.02275232574327108,1.0,0.010332017435676156,0.025760622535361807,0.9732118412046543,0.024260875308333284,0.030131089089596455,0.020319986310746066,0.01619619645678124,0.023663290560657815,1.0
GMXUSDT,114576,0.021096282623853404,0.0648243848586344,1.0,0.029736528818280112,0.03748346707670485,1.0,0.006311096061790167,0.01457611058387045,0.992363147605083,0.028145687609872922,0.046955390570568835,0.020309663454824746,0.024385262044713297,0.04496010175853716,1.0
HBARUSDT,114576,0.03712010968429941,0.10847357654705966,1.0,0.024401523896667502,0.03176509993278811,1.0,0.013916482136843678,0.0244924985928485,0.992363147605083,0.00634503509189617,0.008164326271488925,0.020309663454824746,0.04623476911825683,0.10123430308181076,1.0
HYPEUSDT,97170,0.016401013532567517,0.037388096432989536,1.0,0.01432294313731066,0.018432248984515193,1.0,0.023778825339761424,0.03065553531585369,0.9909951631161881,0.02857757818671259,0.05384376513748273,0.020767726664608417,0.02200956358862325,0.044715929125984745,1.0
ICPUSDT,114576,0.018854371313920537,0.055944906288566645,1.0,0.009822641325941841,0.018411982184226936,1.0,0.00652195977237643,0.01335325737652245,0.992363147605083,0.018458223497695055,0.02905320507377221,0.020309663454824746,0.028415751801744625,0.05841399917870668,1.0
INJUSDT,116880,0.03250475060486376,0.08782853281929334,1.0,0.02050118992253439,0.03592123780478045,1.0,0.011070162514648664,0.01960705433144393,0.9732118412046543,0.03363721369762975,0.050595426183702705,0.020319986310746066,0.03275851879323862,0.08985389301616782,1.0
JTOUSDT,116880,0.025142378837267103,0.0703622599163157,1.0,0.016644585630588057,0.025781154750942982,1.0,0.02755703570900523,0.04586687155999799,0.9900496235455167,0.025106931056127307,0.036394443199738453,0.020319986310746066,0.025013653435642033,0.051495485828994804,1.0
JUPUSDT,116880,0.03287640445260488,0.11242242862486125,1.0,0.01648701915814975,0.02031800930697986,1.0,0.016478154958258627,0.028660328281502556,0.9925136892539357,0.02877706894844231,0.0345365436365265,0.020319986310746066,0.035807644987861396,0.10741055671205132,1.0
LDOUSDT,114576,0.03240831663280886,0.10977742305487564,1.0,0.0082689155611118,0.014609279149931452,1.0,0.017347568327459224,0.03879318675730101,0.992363147605083,0.019685483559555312,0.027352128557752327,0.020309663454824746,0.055023440976842024,0.09035840760605574,1.0
LINKUSDT,116880,0.03134044195572475,0.09811602850214682,1.0,0.019661145713956753,0.026012904588896768,1.0,0.01825750757283142,0.030740877305900426,0.9732118412046543,0.023722364076264824,0.03476347310851597,0.020319986310746066,0.03324894635904308,0.09150232137790477,1.0
LTCUSDT,116880,0.02650998282183004,0.05805276190954391,1.0,0.024139028065739754,0.0576216255350745,1.0,0.006771468745223855,0.012574724373946087,0.9732118412046543,0.02399830531616338,0.03448960129808373,0.020319986310746066,0.02256085276463278,0.05998340250244636,1.0
NEARUSDT,116880,0.012796625837885269,0.033854544342981026,1.0,0.006818114449384609,0.012491616513941558,1.0,0.010296632283018468,0.03593816625613893,0.9732118412046543,0.03936866391571233,0.0443558264112143,0.020319986310746066,0.02026227514573138,0.033739192505916005,1.0
ONDOUSDT,116880,0.04976538102000007,0.15319781708860164,1.0,0.02991711927657863,0.04912619150006761,1.0,0.017729796236288033,0.04268847643831626,0.9925136892539357,0.005688060716136096,0.008456845941283302,0.020319986310746066,0.04993353516232091,0.1454243784275923,1.0
OPUSDT,116880,0.029282151860304778,0.06755754283824851,1.0,0.00918528338188885,0.01592762755348273,1.0,0.01138910866532223,0.02839959659291629,0.9732118412046543,0.04359683497919091,0.06209232300402463,0.020319986310746066,0.04843320711222143,0.07411494746929297,1.0
ORDIUSDT,114576,0.04859416433164942,0.16534365549383595,1.0,0.007400094680017711,0.016785554882269436,1.0,0.02578067148096879,0.05100730418635393,0.992363147605083,0.08468764279084191,0.101530868225529,0.020309663454824746,0.04926710859308658,0.140794346298094,1.0
PENDLEUSDT,116880,0.034087931545923336,0.08851315968308468,1.0,0.017903223555945074,0.030045852785395063,1.0,0.0254335097233949,0.04767919978885576,0.9925136892539357,0.016623601609750616,0.02613363610280836,0.011627310061601642,0.048833402788256736,0.09867164694708525,1.0
PENGUUSDT,116880,0.030537391643842306,0.12656675200550743,1.0,0.011028961868016532,0.018216622396628964,1.0,0.017433005430589232,0.05940158981119277,0.9925136892539357,0.02482892939904256,0.037630868866014154,0.020319986310746066,0.04015212659152098,0.10179741012753743,1.0
PUMPUSDT,102322,0.02083469035719667,0.044881742798409,1.0,0.019946814952573846,0.028971704114596115,1.0,0.010923546301938442,0.03451820056561535,0.9886534665076914,0.03955234988448187,0.05429494379679829,0.017063779050448584,0.02117164660114045,0.035945597562108515,1.0
RUNEUSDT,116880,0.031778766167829764,0.07197414948621204,1.0,0.010793797937580722,0.015076675583730605,1.0,0.014173221134147693,0.04031437976728938,0.9732118412046543,,,,0.024921963553809233,0.04617741751156315,1.0
SEIUSDT,116880,0.03855205921022746,0.1379275407573944,1.0,0.01355556330047146,0.01960375673372207,1.0,0.014711876402727536,0.038090553142343345,0.9732118412046543,0.047610649112772255,0.06573184826411987,0.008649897330595482,0.052709038772988354,0.1275010807176779,1.0
SOLUSDT,116880,0.01662059387904303,0.04354895184962579,1.0,0.025941834672795247,0.03845579689745712,1.0,0.014364754648412557,0.030742903641195408,0.9732118412046543,0.012079293431831315,0.015101421157973197,0.020319986310746066,0.014904437038387392,0.0326188160048712,1.0
STRKUSDT,115392,0.02078362018194721,0.0592653780233584,1.0,0.017999783809916733,0.02247335256936685,1.0,0.006054944671464657,0.013950626305446804,0.9924171519689406,0.03718288035049794,0.06142938857821567,0.02031336661120355,0.040191980237873896,0.05818214567838126,1.0
SUIUSDT,116880,0.03364494010087434,0.12037722282925596,1.0,0.01287187350891985,0.024953396056445833,1.0,0.018294206609273292,0.027192308951977554,0.9732118412046543,0.009314696897011143,0.023484605972821787,0.020319986310746066,0.0306614940205875,0.10247880117895783,1.0
TAOUSDT,116880,0.021476491059491058,0.04470351546379383,1.0,0.02414658138004897,0.027469834629711438,1.0,0.02328041964875796,0.046500590942477944,0.9925136892539357,0.02303271563025383,0.02986118957914061,0.020319986310746066,0.023086227322435177,0.040516092850231174,1.0
TIAUSDT,116880,0.03780570224169888,0.14501099763446848,1.0,0.012497564305025544,0.020114079363608994,1.0,0.012079544764850413,0.02064739970967637,0.9732118412046543,0.021053407704503053,0.026593834795756548,0.020319986310746066,0.04087519483253104,0.10609674895424642,1.0
TONUSDT,114576,0.03215427265413843,0.09498819624222103,1.0,0.016728660598244377,0.025642396491529433,1.0,0.01143129386478658,0.021871477489269965,0.992363147605083,0.013712420133139832,0.036506793523443194,0.020309663454824746,0.027675279488764033,0.06344884820742543,1.0
TRBUSDT,114576,0.025943394023940625,0.07281515998826259,1.0,0.0212095916056677,0.028552390332536644,1.0,0.009790124048010348,0.023462532410622024,0.992363147605083,0.045410760691658135,0.0705071803868457,0.020309663454824746,0.019654712576040474,0.049019100984143554,1.0
UNIUSDT,116880,0.02247979625477877,0.07193971105164151,1.0,0.02026647964903885,0.030317156044853816,1.0,0.01567809346214979,0.028196342568093596,0.9732118412046543,0.01110713991471381,0.019657782293989887,0.020319986310746066,0.025588022512982048,0.045698793370640554,1.0
VIRTUALUSDT,115392,0.03477971054008359,0.11377367628240012,1.0,0.02058553199401904,0.03200387541235132,1.0,0.02038560323828845,0.06855712837351825,0.9924171519689406,0.006584357300766831,0.00928811885096089,0.02031336661120355,0.03843123186601774,0.10094370648983972,1.0
VVVUSDT,116880,0.013901691435178647,0.033922378646151066,1.0,0.023074017090942978,0.030616655588503995,1.0,0.02064919865742907,0.04377821600244736,0.9925136892539357,0.02357702940214894,0.02357702940214894,0.0,0.017536042810765474,0.05443035713814468,1.0
WIFUSDT,114576,0.03287088284966915,0.14584424718242972,1.0,0.022856581198318626,0.028526830213526425,1.0,0.018106683662309875,0.039608523923127796,0.992363147605083,0.03725638354616822,0.048697411241878825,0.020309663454824746,0.0466809778013557,0.12290702099826574,1.0
WLDUSDT,116880,0.037664996133562625,0.11983162009900054,1.0,0.009418094787973232,0.01619201561417976,1.0,0.01658725710234197,0.03393326395187406,0.9732118412046543,0.016542773904289165,0.025840902747394572,0.020319986310746066,0.05401340787384215,0.10387661412688574,1.0
XRPUSDT,116880,0.026785530780215644,0.08453202322340495,1.0,0.01694705195584965,0.0218392117517369,1.0,0.013214189798394976,0.04323661634988977,0.9732118412046543,0.005798439431270237,0.009122635720255127,0.020319986310746066,0.029508608073050238,0.0759934012928686,1.0
ZECUSDT,116880,0.01990827589528765,0.035462546131404614,1.0,0.02509108544778608,0.03755463784094249,1.0,0.015895730762744715,0.04792374643673782,0.9925136892539357,0.024526909632507053,0.03832516130971917,0.009069130732375086,0.0192900115165139,0.03262118728717275,1.0
