symbol,n,mean_|IC|_BASE,max_|IC|_BASE,cov_BASE,mean_|IC|_cohort,max_|IC|_cohort,cov_cohort,mean_|IC|_aggT,max_|IC|_aggT,cov_aggT,mean_|IC|_crossX,max_|IC|_crossX,cov_crossX,mean_|IC|_v3,max_|IC|_v3,cov_v3
AAVEUSDT,114576,0.03652883180616171,0.10549413050055,1.0,0.020475757737622457,0.02543579722273425,1.0,0.02119142311960141,0.03922170225078957,0.992363147605083,0.008988794562388044,0.0320381961960055,0.020309663454824746,0.04080305785268368,0.08592169381263993,1.0
ADAUSDT,116880,0.03849971632386131,0.11807734157973343,1.0,0.01843891102192782,0.0324283824129086,1.0,0.018920051926195,0.03985307266215278,0.9732118412046543,0.017972313560971218,0.02753133786853468,0.020319986310746066,0.06402826681232174,0.12040142846562624,1.0
APTUSDT,116880,0.01716626178530587,0.04487181342403783,1.0,0.017960188414781128,0.02810512418038693,1.0,0.018663452137899175,0.035008216314865524,0.9732118412046543,0.024894531084605823,0.03295178835691897,0.020319986310746066,0.02190808249475395,0.035703212539260606,1.0
ARBUSDT,116880,0.032448975247628985,0.11071906175299435,1.0,0.008393264806109002,0.018341380347214272,1.0,0.009701547612288381,0.01944127076278624,0.9732118412046543,0.01995612501123449,0.025403895070251478,0.020319986310746066,0.045197112600170515,0.10805740859325479,1.0
ASTERUSDT,64896,0.03708144953852429,0.10532421289554673,1.0,0.041978870271439504,0.06046123809096704,1.0,0.042762136987738786,0.08411375122347574,0.9865168885601578,0.02265588943670318,0.059691818241654176,0.020478920118343194,0.0291165439904357,0.05575177748536617,1.0
ATOMUSDT,116880,0.026680994825288854,0.06046397015149276,1.0,0.008847052308856658,0.015601153822364225,1.0,0.011623591052184743,0.02063393795921164,0.9732118412046543,0.013788306412893414,0.016993888813039416,0.020319986310746066,0.027085284107742028,0.05614961126610083,1.0
AVAXUSDT,116880,0.02942753268241629,0.08060991143601551,1.0,0.023777035845999966,0.03923805563880707,1.0,0.01195760056060834,0.028508692951816787,0.9732118412046543,0.030508018919926265,0.044003842292203076,0.020319986310746066,0.03740770583121103,0.0699116963689253,1.0
AXSUSDT,114576,0.02274717733404882,0.05953593828500174,1.0,0.011732845268953277,0.020385128648802923,1.0,0.009362951234719035,0.017665572012126932,0.992363147605083,0.026987559760679174,0.034659366136002845,0.020309663454824746,0.036773899896253834,0.052004832134109974,1.0
BCHUSDT,116880,0.021711824090443203,0.05830747472962951,1.0,0.027480514127418244,0.043280536755588746,1.0,0.018327990472604326,0.030950152718525765,0.9732118412046543,0.021213615081414273,0.03280170733796113,0.020319986310746066,0.021613531000390464,0.03276932870023364,1.0
BIOUSDT,116880,0.03375643080932925,0.11106764340172155,1.0,0.016967112258389597,0.020913602877550036,1.0,0.022269752545235316,0.03700365374945519,0.9925136892539357,0.03193204691971936,0.05233420489883515,0.020319986310746066,0.036323786065335824,0.10251214790523662,1.0
BNBUSDT,116880,0.01612151774857673,0.03329340598180277,1.0,0.01797252820752718,0.04536980067923427,1.0,0.01442139906455952,0.027829554374491406,0.9732118412046543,0.01772337287131718,0.05356005218968955,0.020319986310746066,0.022315516035488946,0.0585876823592072,1.0
DOGEUSDT,116880,0.028006181132010418,0.08886810024837093,1.0,0.005812837388784295,0.008052415338463698,1.0,0.019130286034332263,0.03285855100134507,0.9732118412046543,0.02026751235231424,0.025176441401685165,0.020319986310746066,0.039591373283184524,0.09322451135517054,1.0
DOTUSDT,116880,0.030821374081210023,0.1026424748315866,1.0,0.014841323874615175,0.021324946416727674,1.0,0.02065207139736481,0.03723845698942034,0.9732118412046543,0.03056850397451552,0.04517435017334265,0.020319986310746066,0.04304108772646792,0.09827249463257856,1.0
ENAUSDT,116880,0.02478492391206772,0.10471980823443724,1.0,0.010193365533598371,0.02030703308055198,1.0,0.018445609758869524,0.030000605491508823,0.9925136892539357,0.02001609414122546,0.0377493824540684,0.011627310061601642,0.03396518388913641,0.07954727812577805,1.0
ETCUSDT,114576,0.038239553893660884,0.09289096253072363,1.0,0.019940454196019343,0.044886695802482356,1.0,0.024342574225201207,0.042114983051366545,0.992363147605083,0.045245108137716,0.058347508917502545,0.020309663454824746,0.046880981675556384,0.09697630473135299,1.0
ETHUSDT,116880,0.02860659791831122,0.07976410319862919,1.0,0.018125004677693225,0.0252566612554479,1.0,0.051595181198009474,0.07111193225090431,0.9732118412046543,0.022861753235647216,0.030949737334790596,0.020319986310746066,0.017227845108341227,0.02149372860885206,1.0
