feature,full_ic,abs_ic,n_folds_sign_agree,rho_lag1,ic_f1,ic_f2,ic_f3,ic_f4,ic_f5,ic_f6,ic_f7,ic_f8,ic_f9,in_top10
dom_btc_z_1d,-0.04579841176290161,0.04579841176290161,9,0.5106174717354903,-0.04999958955787509,-0.03054174067356024,-0.02300056525364089,-0.03342614030461644,-0.037292290957047086,-0.05670844105352197,-0.07614606647143153,-0.0497636223515024,-0.055307249242918806,True
atr_pct,-0.041368375741971906,0.041368375741971906,9,-0.4214881635969292,-0.06988738725037646,-0.03715924004304103,-0.05855357039553144,-0.017834024425591958,-0.06966905631730372,-0.03389952141273571,-0.02998966368131457,-0.03027889334144523,-0.025044024810407097,True
idio_vol_to_btc_1h,-0.04109399236441665,0.04109399236441665,9,-0.6064038589868347,-0.06661828647864694,-0.033296554394115385,-0.047549917027384286,-0.012941057760504289,-0.06235766438683602,-0.043449114661834314,-0.03328291422449108,-0.05033043477064648,-0.020019987575291037,True
vwap_slope_96,-0.0360371135763986,0.0360371135763986,9,0.3573111311968499,-0.06064266356949285,-0.025481500864674347,-0.010811740733687876,-0.024605046530803396,-0.029940455139999964,-0.035821448628011,-0.05296530114396148,-0.04645325541502646,-0.03761261016192999,True
idio_vol_to_btc_1d,-0.03578110705108342,0.03578110705108342,9,-0.6975274072539968,-0.06166182766981691,-0.02696980680197152,-0.05016136300375141,-0.013583893052285384,-0.06427411589396999,-0.023160812682959487,-0.026141888326357603,-0.041002680489817936,-0.015073575538820556,True
return_1d,-0.03380415729173346,0.03380415729173346,9,0.5477267555077957,-0.010934563859126412,-0.0012539722863075865,-0.03529087143744088,-0.026952331872465235,-0.02037420157503059,-0.0486099945833808,-0.07043480837606017,-0.055943672826252636,-0.0344429988095368,True
dom_btc_change_288b,-0.03372266992036463,0.03372266992036463,9,0.5513140550693468,-0.010941211834989716,-0.0012747802190632132,-0.03433411226681346,-0.02697593418173546,-0.019408939433969746,-0.0485538841413317,-0.07157450882056401,-0.055979116852401055,-0.03446154153241327,True
obv_z_1d,-0.030400379501543836,0.030400379501543836,9,0.7226930666710529,-0.018349684044710327,-0.01436688987587742,-0.015929163866132846,-0.013129970299194445,-0.033098038856064674,-0.04903219549964942,-0.05357409285576906,-0.035433303008846395,-0.04069007720764998,True
return_8h_orth,-0.024332057727335175,0.024332057727335175,7,-0.0785032564076084,-0.0633339226461556,-0.02742609435191118,0.000769929636850951,-0.006303982132616739,-0.023548489847524414,0.009589897815167467,-0.04135219350614366,-0.02154526016807094,-0.04583840434561248,True
corr_to_btc_1d,0.022957820390162843,0.022957820390162843,8,-0.400444477570393,0.04738772744870307,0.02203155245838173,0.0072316999662226066,-0.004724108748264998,0.06959428354200331,0.014614686783176964,0.00958372546537147,0.04017515300994993,0.0007256635859215054,True
beta_to_btc_change_5d_sq,-0.0191467246287576,0.0191467246287576,9,-0.16427084163775316,-0.037578397212543566,-0.011823461091753779,-0.04277033301268539,-0.01918122437531408,-0.018062914466507603,-0.0044978758428803845,-0.017964068045288696,-0.01439105420954542,-0.0060511934022994705,False
dom_btc_change_288b_sq,-0.01512098571261796,0.01512098571261796,7,-0.2774040240681213,-0.010382876323096837,-0.013313862030511499,0.0008031610253650864,-0.015473993458811936,-0.027319741318744064,-0.013554689645863448,-0.02153862087629346,-0.04017828323229323,0.004870034446687752,False
bars_since_high_xs_rank,0.012900798082297929,0.012900798082297929,7,-0.3706762440036377,0.01655449434402215,0.0312503621729978,0.009041219507949255,0.006804735751228585,0.03371401047384437,0.0022237766705734455,-0.01056621088981462,0.028871952068023173,-0.0017871573581428053,False
beta_to_btc_change_5d,0.011202467398789322,0.011202467398789322,8,0.11068932352824583,-0.009329268292682928,0.006323073945025166,0.028202383633097388,0.01838976426970473,0.01757222864244443,0.003141222586131314,0.016891761641161532,0.013922876770295942,0.005708163393926298,False
