horizon_h,n_cyc,n_cycles,ic_mean,ic_median,ic_t,top_minus_bottom_bps,ls_half_weight_bps,spread_pos_pct,folds_pos,gate_pass
4,1,1620,-0.011276590750971541,-0.010963455149501663,-2.270521323539502,1.3918979672738063,0.6959489836369032,0.5098765432098765,2,False
8,2,810,-0.006497445224047607,-0.0031358885017421607,-0.9213468059065404,3.106269877192415,1.5531349385962074,0.5148148148148148,3,False
12,3,540,-0.0051668782468555574,-0.014808362369337982,-0.6125532526209642,13.138908084233602,6.569454042116801,0.5018518518518519,4,False
24,6,270,0.005496705559099206,0.003970504821327284,0.4450105428396276,32.1819997716833,16.09099988584165,0.5296296296296297,5,False
