config,model,net_sharpe,ci_lo,ci_hi,net_bps_cyc,ic_mean,decile_rho,folds_pos,ci_excl0
v2_all,ridge_xsz,1.2102432049825418,-0.8924234789143931,3.0648204604216795,27.272913035190868,0.014837932037780782,0.6848484848484848,7,False
v2_all,signed_equal,1.8320499336073794,-0.2813066823939543,4.083781548332602,34.53034828607544,-0.0023281169717168965,0.5636363636363636,6,False
v2_all,nnls_oriented,-2.1899844835151527,-4.620397609670789,0.08980514413865108,-53.71402632142272,0.02122994326388163,-0.17575757575757575,4,False
sqbtcrel,ridge_xsz,2.209788353645519,0.49349566435168263,4.3480916916423595,50.91817009024449,0.022830634541260372,0.7454545454545454,9,True
sqbtcrel,signed_equal,-0.25638831206015505,-2.259071073475964,2.0335029278216417,-4.658340912030577,-0.01926977093549224,0.06666666666666665,6,False
sqbtcrel,nnls_oriented,-1.3470277182849386,-3.27707839835634,0.7890777262435764,-32.116118028739926,0.028256503253194506,-0.23636363636363633,3,False
