time,fold,gross_pnl_bps,cost_bps,net_pnl_bps
2025-07-19 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-24 00:00:00+00:00,1,0.0,0.0,0.0
2025-07-24 04:00:00+00:00,1,45.642451081328964,9.0,36.642451081328964
2025-07-24 08:00:00+00:00,1,40.618083230065594,9.0,31.618083230065594
2025-07-24 12:00:00+00:00,1,-38.04037294762809,9.0,-47.04037294762809
2025-07-24 16:00:00+00:00,1,-17.93476471910379,9.0,-26.93476471910379
2025-07-24 20:00:00+00:00,1,25.66085867731136,9.0,16.66085867731136
2025-07-25 00:00:00+00:00,1,-107.55264213668947,9.0,-116.55264213668947
2025-07-25 04:00:00+00:00,1,-8.957764344560884,9.0,-17.957764344560886
2025-07-25 08:00:00+00:00,1,254.88036354673275,9.0,245.88036354673275
2025-07-25 12:00:00+00:00,1,-73.12581296695073,9.0,-82.12581296695073
2025-07-25 16:00:00+00:00,1,199.37911544232583,9.0,190.37911544232583
2025-07-25 20:00:00+00:00,1,9.511431687195364,9.0,0.5114316871953637
2025-07-26 00:00:00+00:00,1,-10.559850175774105,9.0,-19.559850175774105
2025-07-26 04:00:00+00:00,1,-25.645322917170155,9.0,-34.645322917170155
2025-07-26 08:00:00+00:00,1,162.19424153908383,9.0,153.19424153908383
2025-07-26 12:00:00+00:00,1,57.37531901170363,9.0,48.37531901170363
2025-07-26 16:00:00+00:00,1,40.82905631015677,9.0,31.829056310156773
2025-07-26 20:00:00+00:00,1,22.664208131817137,9.0,13.664208131817137
2025-07-27 00:00:00+00:00,1,147.54017221371737,9.0,138.54017221371737
2025-07-27 04:00:00+00:00,1,-27.724710052552098,9.0,-36.7247100525521
2025-07-27 08:00:00+00:00,1,0.0,0.0,0.0
2025-07-27 12:00:00+00:00,1,-106.90948488407216,9.0,-115.90948488407216
2025-07-27 16:00:00+00:00,1,-160.4169435785911,9.0,-169.4169435785911
2025-07-27 20:00:00+00:00,1,0.0,0.0,0.0
2025-07-28 00:00:00+00:00,1,101.85716112204642,9.0,92.85716112204642
2025-07-28 04:00:00+00:00,1,-27.69529894491618,9.0,-36.695298944916175
2025-07-28 08:00:00+00:00,1,83.82864762081772,9.0,74.82864762081772
2025-07-28 12:00:00+00:00,1,-38.40373454598648,9.0,-47.40373454598648
2025-07-28 16:00:00+00:00,1,-134.56733041597792,9.0,-143.56733041597792
2025-07-28 20:00:00+00:00,1,-12.180285976552927,9.0,-21.180285976552927
2025-07-29 00:00:00+00:00,1,3.091253188944685,9.0,-5.908746811055315
2025-07-29 04:00:00+00:00,1,86.14240677332063,9.0,77.14240677332063
2025-07-29 08:00:00+00:00,1,40.02966409738967,9.0,31.02966409738967
2025-07-29 12:00:00+00:00,1,-37.99917033608505,9.0,-46.99917033608505
2025-07-29 16:00:00+00:00,1,-74.47727823941729,9.0,-83.47727823941729
2025-07-29 20:00:00+00:00,1,19.189149570613942,9.0,10.189149570613942
2025-07-30 00:00:00+00:00,1,-61.03044214768833,9.0,-70.03044214768833
