excl,sharpe,delta
1,-1.071976178092165,0.225314810679474
2,-1.4342578388320326,-0.13696685006039355
3,-1.3027614419767353,-0.005470453205096204
4,-1.08069377702307,0.21659721174856905
5,-0.6705154338952687,0.6267755548763704
6,-1.1907706672221994,0.10652032154943969
7,-1.1672743799233798,0.13001660884825927
8,-0.9731287725096958,0.3241622162619433
9,-3.8769181222842,-2.579627133512561
