variant,A_sharpe,A_sh_lo,A_sh_hi,A_gross,A_folds_pos,A_traded,B_sharpe,B_sh_lo,B_sh_hi,B_gross,B_folds_pos,B_traded
v0_standard,-2.3625985578158772,-4.618274333390058,-0.5550776183445331,-1.4993560619519235,2,921,-1.8416632802428767,-5.0389230701687255,0.3874369748967194,1.5619493299318628,3,924
v1_fixed,-0.7731007741100544,-3.4417042808193243,1.4126862524672248,2.5894852767402523,2,908,-1.297290988771639,-5.308391688708441,0.8002666131625029,1.774000206312057,2,952
v2_fixed,-2.060698893675607,-4.259103415363348,0.1636117408060021,-0.8752949383943674,2,878,-2.5529393985705857,-5.06964263121926,-0.36802465763360215,-0.16014187853175352,2,937
