time,fold,gross_pnl_bps,cost_bps,net_pnl_bps,turnover
2026-02-25 04:00:00+00:00,7,0.7988553377230492,0.375,0.4238553377230492,0.16666666666666666
2026-02-25 08:00:00+00:00,7,3.9247408182428813,0.3749999999999999,3.5497408182428813,0.16666666666666663
2026-02-25 12:00:00+00:00,7,1.8500559414038857,0.75,1.1000559414038857,0.3333333333333333
2026-02-25 16:00:00+00:00,7,-9.458321238323013,0.75,-10.208321238323013,0.3333333333333333
2026-02-25 20:00:00+00:00,7,-16.165287791699424,0.7500000000000001,-16.915287791699424,0.33333333333333337
2026-02-28 00:00:00+00:00,8,-39.08789500125903,2.6249999999999996,-41.71289500125903,1.1666666666666665
2026-02-28 04:00:00+00:00,8,0.0,0.0,0.0,0.0
2026-02-28 08:00:00+00:00,8,0.0,0.0,0.0,0.0
2026-02-28 12:00:00+00:00,8,0.0,0.0,0.0,0.0
2026-02-28 16:00:00+00:00,8,0.0,0.0,0.0,0.0
2026-02-28 20:00:00+00:00,8,0.0,0.0,0.0,0.0
2026-03-01 00:00:00+00:00,8,0.0,0.0,0.0,0.0
2026-03-01 04:00:00+00:00,8,0.0,0.0,0.0,0.0
2026-03-01 08:00:00+00:00,8,0.0,0.75,-0.75,0.3333333333333333
2026-03-01 12:00:00+00:00,8,13.313169771598284,0.7500000000000001,12.563169771598284,0.33333333333333337
2026-03-01 16:00:00+00:00,8,29.48452559251991,0.7500000000000001,28.73452559251991,0.33333333333333337
2026-03-01 20:00:00+00:00,8,-66.90639807287373,0.0,-66.90639807287373,0.0
2026-03-02 00:00:00+00:00,8,-23.240283137404013,0.0,-23.240283137404013,0.0
2026-03-02 04:00:00+00:00,8,-24.106555402039515,0.75,-24.856555402039515,0.3333333333333333
2026-03-02 08:00:00+00:00,8,-1.612778474754685,0.7500000000000001,-2.362778474754685,0.33333333333333337
2026-03-02 12:00:00+00:00,8,35.37486961478906,0.75,34.62486961478906,0.3333333333333333
2026-03-02 16:00:00+00:00,8,13.784629958561025,0.375,13.409629958561025,0.16666666666666666
2026-03-02 20:00:00+00:00,8,8.74358868435521,0.7500000000000001,7.99358868435521,0.33333333333333337
2026-03-03 00:00:00+00:00,8,24.341616842522583,0.75,23.591616842522583,0.3333333333333333
2026-03-03 04:00:00+00:00,8,-2.9769648240832023,0.7500000000000001,-3.7269648240832023,0.33333333333333337
2026-03-03 08:00:00+00:00,8,-10.769267224934675,0.0,-10.769267224934675,0.0
2026-03-03 12:00:00+00:00,8,-35.65900962558071,0.0,-35.65900962558071,0.0
2026-03-03 16:00:00+00:00,8,34.95083409755236,0.7499999999999998,34.20083409755236,0.33333333333333326
2026-03-03 20:00:00+00:00,8,7.245290288271028,0.7500000000000001,6.495290288271028,0.33333333333333337
2026-03-04 00:00:00+00:00,8,-10.317237590909272,0.75,-11.067237590909272,0.3333333333333333
2026-03-04 04:00:00+00:00,8,0.0,0.0,0.0,0.0
2026-03-04 08:00:00+00:00,8,0.0,0.0,0.0,0.0
2026-03-04 12:00:00+00:00,8,0.0,0.75,-0.75,0.3333333333333333
2026-03-04 16:00:00+00:00,8,-17.379977396723252,0.7500000000000001,-18.129977396723252,0.33333333333333337
2026-03-04 20:00:00+00:00,8,17.15684759877386,0.75,16.40684759877386,0.3333333333333333
2026-03-05 00:00:00+00:00,8,-33.64788055917853,0.0,-33.64788055917853,0.0
2026-03-05 04:00:00+00:00,8,-5.082612552887515,0.0,-5.082612552887515,0.0
2026-03-05 08:00:00+00:00,8,4.936761048665529,0.0,4.936761048665529,0.0
2026-03-05 12:00:00+00:00,8,20.355754974955442,0.75,19.605754974955442,0.3333333333333333
2026-03-05 16:00:00+00:00,8,-10.526187594398774,0.7500000000000001,-11.276187594398774,0.33333333333333337
