time,fold,gross_pnl_bps,cost_bps,net_pnl_bps
2025-07-19 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-19 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-20 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-21 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-22 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 00:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 04:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 08:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 12:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 16:00:00+00:00,1,0.0,9.0,-9.0
2025-07-23 20:00:00+00:00,1,0.0,9.0,-9.0
2025-07-24 00:00:00+00:00,1,-49.536345753039335,9.0,-58.536345753039335
2025-07-24 04:00:00+00:00,1,36.51429351961104,9.0,27.514293519611037
2025-07-24 08:00:00+00:00,1,-7.012940402044889,9.0,-16.01294040204489
2025-07-24 12:00:00+00:00,1,32.26507559661652,9.0,23.26507559661652
2025-07-24 16:00:00+00:00,1,8.244511680164655,9.0,-0.7554883198353455
2025-07-24 20:00:00+00:00,1,14.169696163965472,9.0,5.169696163965472
2025-07-25 00:00:00+00:00,1,-98.0947227018503,9.0,-107.0947227018503
2025-07-25 04:00:00+00:00,1,8.283659896666833,9.0,-0.7163401033331667
2025-07-25 08:00:00+00:00,1,-160.65320043962578,9.0,-169.65320043962578
2025-07-25 12:00:00+00:00,1,59.94456082507354,9.0,50.94456082507354
2025-07-25 16:00:00+00:00,1,-49.05966628681015,9.0,-58.05966628681015
2025-07-25 20:00:00+00:00,1,19.125224765861905,9.0,10.125224765861905
2025-07-26 00:00:00+00:00,1,-136.3960307011992,9.0,-145.3960307011992
2025-07-26 04:00:00+00:00,1,-23.367034764412068,9.0,-32.36703476441207
2025-07-26 08:00:00+00:00,1,-2.7312674603444282,9.0,-11.731267460344428
2025-07-26 12:00:00+00:00,1,0.8703066426572238,9.0,-8.129693357342775
2025-07-26 16:00:00+00:00,1,0.5819605375453202,9.0,-8.41803946245468
2025-07-26 20:00:00+00:00,1,67.61298269930202,9.0,58.61298269930202
2025-07-27 00:00:00+00:00,1,-22.058561300093878,9.0,-31.058561300093878
2025-07-27 04:00:00+00:00,1,-66.29601006675456,9.0,-75.29601006675456
2025-07-27 08:00:00+00:00,1,0.0,0.0,0.0
2025-07-27 12:00:00+00:00,1,-88.60806365965291,9.0,-97.60806365965291
2025-07-27 16:00:00+00:00,1,-14.088531143208781,9.0,-23.088531143208783
2025-07-27 20:00:00+00:00,1,0.0,0.0,0.0
2025-07-28 00:00:00+00:00,1,37.438065873060765,9.0,28.438065873060765
2025-07-28 04:00:00+00:00,1,52.03196650125206,9.0,43.03196650125206
2025-07-28 08:00:00+00:00,1,53.94502842858641,9.0,44.94502842858641
2025-07-28 12:00:00+00:00,1,1.3907834142073279,9.0,-7.609216585792672
2025-07-28 16:00:00+00:00,1,-88.77967702766509,9.0,-97.77967702766509
2025-07-28 20:00:00+00:00,1,-43.804856077647514,9.0,-52.804856077647514
2025-07-29 00:00:00+00:00,1,47.44260763442542,9.0,38.44260763442542
2025-07-29 04:00:00+00:00,1,-194.53399312142815,9.0,-203.53399312142815
2025-07-29 08:00:00+00:00,1,36.21240909277408,9.0,27.21240909277408
2025-07-29 12:00:00+00:00,1,3.8765534080691286,9.0,-5.123446591930872
2025-07-29 16:00:00+00:00,1,2.47177591518234,9.0,-6.52822408481766
2025-07-29 20:00:00+00:00,1,-26.134286070185432,9.0,-35.13428607018543
2025-07-30 00:00:00+00:00,1,-9.502224533060565,9.0,-18.502224533060563
