feature,coef_mean,coef_std,coef_min,coef_max,coef_abs,coef_stability,f_mean,f_std,cs_ic_mean,cs_ic_abs,decile_0_bps,decile_9_bps,spread_bps,family,lo,hi,mu,sd,raw_skew,raw_kurt
corr_to_btc_1d,0.03855629818513989,0.01486902669101916,0.013049477711319923,0.06874774396419525,0.03855629818513989,2.5930613338953625,-0.08315329,0.9832767,0.03990584273132354,0.03990584273132354,2.8064710512254036,-0.07686641600692404,-2.8833374672323275,W17_base,0.228198331023612,0.8720247841921245,0.6808076038895073,0.1315097543486728,-1.3607277744178823,2.34138457310722
dom_change_288b_vs_bk,-0.03568398781120777,0.017886543654851955,-0.07890775799751282,-0.017518775537610054,0.03568398781120777,1.9950186296349115,-0.002605903,1.0205923,-0.03543527438728255,0.03543527438728255,1.0239263163416927,-2.1457983964724003,-3.169724712814093,W17_base,-0.08213196620345116,0.11696271263062943,-0.000987776982367358,0.030629749419023477,-1.4549682140350342,70.06842041015625
return_1d,0.03462373947579181,0.029990750721781107,-0.0020640152506530285,0.09803519397974014,0.03462373947579181,1.154480586264416,0.113944344,0.9686569,-0.0352851953509409,0.0352851953509409,-6.671484628523531,22.648406565205114,29.319891193728644,W17_base,-0.12549393028020858,0.1879163980484008,0.002215114037799234,0.054094963748866874,0.9814607501029968,7.772359848022461
obv_z_1d,0.02647014468937414,0.018269585872938365,-0.013449868187308311,0.044311318546533585,0.02647014468937414,1.4488639684264966,0.059422508,0.9987779,-0.020214173948216355,0.020214173948216355,-9.64869651197934,3.699931443104636,13.348627955083977,W17_base,-3.4626932978630065,3.291292214393608,-0.25448229502758246,1.433872333606992,0.22385555505752563,0.47889256477355957
beta_to_btc,-0.025018169824033976,0.012011791409820938,-0.05546003580093384,-0.008228475227952003,0.025018169824033976,2.0828008887649276,0.13766292,1.0574577,-0.017395518834896928,0.017395518834896928,0.5086088337174196,11.078772471033911,10.570163637316492,new_ushape_base,0.5543191376474678,3.2846255335682906,1.6807270449700502,0.534675040844275,0.8493421583196165,1.7123419175411794
atr_pct,0.023973487662151457,0.022643647673572475,-0.037384938448667526,0.05128484591841698,0.023973487662151457,1.058729053187444,-0.036975525,0.9775397,-0.03444622914275843,0.03444622914275843,-6.873953059333382,2.9477552970706338,9.821708356404017,W17_base,0.0012850861239712685,0.013237094180658458,0.004498756490437893,0.0022163335683943073,3.3329291343688965,36.27522659301758
beta_to_btc_change_5d_sq,0.02345503494143486,0.010262780236900904,0.012079068459570408,0.042699892073869705,0.02345503494143486,2.285446477466196,1.125308,1.5925962,-0.012318326597123128,0.012318326597123128,-8.013417531872205,23.007206302325134,31.020623834197337,R3_squared,,,0.0,1.0,,
beta_to_btc_change_5d,0.015329521409876179,0.023779734612374585,-0.01257301028817892,0.06538648158311844,0.015329521409876179,0.6446464462180729,0.021065203,1.0605961,-0.013067101218349995,0.013067101218349995,8.95734134181137,26.623178164724358,17.665836822912986,W17_base,-1.4177825736164533,1.3446553975485094,0.020264810102139406,0.5276820367505723,-0.10379057630380549,1.0868708894874368
return_1d_sq,0.014959869376034475,0.01406643378305503,-0.00042997245327569544,0.05310186371207237,0.014959869376034475,1.0635154301906793,0.9512795,1.8680264,-0.013707453063998119,0.013707453063998119,-7.5457358685665294,19.100057889506758,26.64579375807329,R3_squared,,,0.0,1.0,,
idio_vol_to_btc_1d,0.014785308572463692,0.015574508395622638,-0.011313612572848797,0.047172363847494125,0.014785308572463692,0.9493274649117812,0.016576018,1.0302155,-0.038728428584736484,0.038728428584736484,-1.126305208866526,6.328369911556223,7.454675120422749,new_monotonic,0.0007125642090434017,0.006907858679489585,0.002253102495762744,0.0010988945552340215,3.5856372289778604,27.538567775736535
