time,fold,gross_pnl_bps,cost_bps,net_pnl_bps,turnover,n_long,n_short,btc_hedge_signed,long_basket,short_basket
2025-07-19 00:00:00+00:00,1,0.0,4.5,-4.5,2.0,3,3,-0.19990974221944008,"['LTCUSDT', 'PENGUUSDT', 'DOTUSDT']","['ETCUSDT', 'TIAUSDT', 'ENAUSDT']"
2025-07-19 04:00:00+00:00,1,253.69369196830615,7.499999999999999,246.19369196830615,3.333333333333333,3,3,-0.17177924439920028,"['ATOMUSDT', 'WLDUSDT', 'OPUSDT']","['ETCUSDT', 'PENGUUSDT', 'LDOUSDT']"
2025-07-19 08:00:00+00:00,1,20.88893605899662,3.0,17.88893605899662,1.3333333333333333,3,3,0.3365194018467755,"['LDOUSDT', 'OPUSDT', 'WLDUSDT']","['PENGUUSDT', 'ETCUSDT', 'LTCUSDT']"
2025-07-19 12:00:00+00:00,1,181.77467074985532,3.0,178.77467074985532,1.3333333333333333,3,3,-0.04885125952287611,"['ETCUSDT', 'LDOUSDT', 'WLDUSDT']","['LTCUSDT', 'STRKUSDT', 'PENGUUSDT']"
2025-07-19 16:00:00+00:00,1,-253.07012817557063,3.0,-256.07012817557063,1.3333333333333333,3,3,0.24906212199390138,"['LDOUSDT', 'ENAUSDT', 'JUPUSDT']","['PENGUUSDT', 'LTCUSDT', 'STRKUSDT']"
2025-07-19 20:00:00+00:00,1,49.88728985218897,6.0,43.88728985218897,2.6666666666666665,3,3,-0.1158948663049128,"['LTCUSDT', 'ENAUSDT', 'HBARUSDT']","['PENGUUSDT', 'TIAUSDT', 'ETCUSDT']"
2025-07-20 00:00:00+00:00,1,155.2676774310356,3.0,152.2676774310356,1.3333333333333333,3,3,0.34541371885660566,"['LTCUSDT', 'ENAUSDT', 'OPUSDT']","['ETCUSDT', 'TIAUSDT', 'ZECUSDT']"
2025-07-20 04:00:00+00:00,1,107.31451328679451,4.5,102.81451328679451,2.0,3,3,0.02103393287543376,"['LTCUSDT', 'ENAUSDT', 'LDOUSDT']","['ETCUSDT', 'PENGUUSDT', 'STRKUSDT']"
2025-07-20 08:00:00+00:00,1,400.1281345747562,3.0,397.1281345747562,1.3333333333333333,3,3,0.10612848551532383,"['LTCUSDT', 'ENAUSDT', 'OPUSDT']","['PENGUUSDT', 'HBARUSDT', 'ETCUSDT']"
2025-07-20 12:00:00+00:00,1,76.47606370554396,6.0,70.47606370554396,2.6666666666666665,3,3,-0.14026365696885656,"['WLDUSDT', 'LTCUSDT', 'TIAUSDT']","['ATOMUSDT', 'PENGUUSDT', 'LDOUSDT']"
2025-07-20 16:00:00+00:00,1,-170.092824604046,3.0,-173.092824604046,1.3333333333333333,3,3,-0.14229872964663248,"['TIAUSDT', 'LTCUSDT', 'ORDIUSDT']","['ENAUSDT', 'LDOUSDT', 'ATOMUSDT']"
2025-07-20 20:00:00+00:00,1,82.90092558742688,4.5,78.40092558742688,2.0,3,3,-0.41070353347606275,"['DOTUSDT', 'OPUSDT', 'LTCUSDT']","['ENAUSDT', 'LDOUSDT', 'ETCUSDT']"
2025-07-21 00:00:00+00:00,1,26.515269292947565,1.5,25.015269292947565,0.6666666666666666,3,3,-0.12453802609107328,"['OPUSDT', 'DOTUSDT', 'ORDIUSDT']","['ENAUSDT', 'LDOUSDT', 'ETCUSDT']"
2025-07-21 04:00:00+00:00,1,-5.358340823257016,4.5,-9.858340823257016,2.0,3,3,-0.43489988727620976,"['OPUSDT', 'JUPUSDT', 'HBARUSDT']","['ENAUSDT', 'LDOUSDT', 'ORDIUSDT']"
2025-07-21 08:00:00+00:00,1,-150.51294146470389,7.499999999999999,-158.01294146470389,3.333333333333333,3,3,-0.110211207524605,"['LDOUSDT', 'PENGUUSDT', 'ATOMUSDT']","['JUPUSDT', 'STRKUSDT', 'ORDIUSDT']"
2025-07-21 12:00:00+00:00,1,-327.6860183416855,4.5,-332.1860183416855,2.0,3,3,0.17107055653076209,"['PENGUUSDT', 'ENAUSDT', 'ETCUSDT']","['JUPUSDT', 'ORDIUSDT', 'HBARUSDT']"
2025-07-21 16:00:00+00:00,1,253.41235476162296,1.5,251.91235476162296,0.6666666666666666,3,3,0.39524334005675565,"['PENGUUSDT', 'ENAUSDT', 'LDOUSDT']","['JUPUSDT', 'HBARUSDT', 'ORDIUSDT']"
2025-07-21 20:00:00+00:00,1,-193.80693342473648,9.0,-202.80693342473648,4.0,3,3,-0.10604055595709122,"['OPUSDT', 'STRKUSDT', 'HBARUSDT']","['PENGUUSDT', 'ETCUSDT', 'WLDUSDT']"
2025-07-22 00:00:00+00:00,1,-94.08569854520823,9.0,-103.08569854520823,4.0,3,3,0.037416036742563774,"['PENGUUSDT', 'WLDUSDT', 'TIAUSDT']","['JUPUSDT', 'ENAUSDT', 'OPUSDT']"
2025-07-22 04:00:00+00:00,1,114.62752060307301,4.5,110.12752060307301,2.0,3,3,0.13601501621493495,"['WLDUSDT', 'OPUSDT', 'STRKUSDT']","['LTCUSDT', 'ENAUSDT', 'JUPUSDT']"
2025-07-22 08:00:00+00:00,1,52.96988680481846,6.0,46.96988680481846,2.6666666666666665,3,3,-0.35863130793386744,"['JUPUSDT', 'OPUSDT', 'ETCUSDT']","['PENGUUSDT', 'ENAUSDT', 'HBARUSDT']"
2025-07-22 12:00:00+00:00,1,-264.0439793870239,4.5,-268.5439793870239,2.0,3,3,-0.08711871469186738,"['DOTUSDT', 'OPUSDT', 'ETCUSDT']","['LTCUSDT', 'ENAUSDT', 'ZECUSDT']"
2025-07-22 16:00:00+00:00,1,-67.53254734304089,4.5,-72.03254734304089,2.0,3,3,-0.04408024377148245,"['OPUSDT', 'JUPUSDT', 'STRKUSDT']","['PENGUUSDT', 'ENAUSDT', 'LTCUSDT']"
2025-07-22 20:00:00+00:00,1,151.53869390460997,6.0,145.53869390460997,2.6666666666666665,3,3,0.24510134627769997,"['ORDIUSDT', 'LDOUSDT', 'TIAUSDT']","['PENGUUSDT', 'LTCUSDT', 'OPUSDT']"
2025-07-23 00:00:00+00:00,1,-341.114283151824,6.0,-347.114283151824,2.6666666666666665,3,3,-0.2685480232340351,"['JUPUSDT', 'ETCUSDT', 'HBARUSDT']","['PENGUUSDT', 'LTCUSDT', 'LDOUSDT']"
2025-07-23 04:00:00+00:00,1,-24.33978848950793,6.0,-30.33978848950793,2.6666666666666665,3,3,0.06984322421022682,"['ZECUSDT', 'JUPUSDT', 'LDOUSDT']","['PENGUUSDT', 'ETCUSDT', 'DOTUSDT']"
2025-07-23 08:00:00+00:00,1,99.56374558388467,7.499999999999999,92.06374558388467,3.333333333333333,3,3,-0.07901967483191102,"['OPUSDT', 'ATOMUSDT', 'STRKUSDT']","['PENGUUSDT', 'LTCUSDT', 'JUPUSDT']"
2025-07-23 12:00:00+00:00,1,-12.893202519882564,4.5,-17.393202519882564,2.0,3,3,-0.3101113783471986,"['LDOUSDT', 'ETCUSDT', 'ATOMUSDT']","['PENGUUSDT', 'LTCUSDT', 'WLDUSDT']"
2025-07-23 16:00:00+00:00,1,53.45041210942203,4.5,48.95041210942203,2.0,3,3,0.4390600651505637,"['LDOUSDT', 'ORDIUSDT', 'ENAUSDT']","['WLDUSDT', 'LTCUSDT', 'TIAUSDT']"
2025-07-23 20:00:00+00:00,1,-4.770095514319664,6.0,-10.770095514319664,2.6666666666666665,3,3,-0.22180355374561467,"['LDOUSDT', 'HBARUSDT', 'OPUSDT']","['STRKUSDT', 'TIAUSDT', 'PENGUUSDT']"
2025-07-24 00:00:00+00:00,1,170.81286469088292,4.5,166.31286469088292,2.0,3,3,0.43700000220735236,"['PENGUUSDT', 'HBARUSDT', 'LDOUSDT']","['TIAUSDT', 'ATOMUSDT', 'ETCUSDT']"
2025-07-24 04:00:00+00:00,1,32.60291153032904,1.5,31.102911530329038,0.6666666666666666,3,3,0.2450020964076659,"['HBARUSDT', 'PENGUUSDT', 'LDOUSDT']","['TIAUSDT', 'ETCUSDT', 'OPUSDT']"
2025-07-24 08:00:00+00:00,1,-146.95084039409824,4.5,-151.45084039409824,2.0,3,3,0.10772053814554244,"['HBARUSDT', 'ORDIUSDT', 'STRKUSDT']","['TIAUSDT', 'WLDUSDT', 'ETCUSDT']"
2025-07-24 12:00:00+00:00,1,-16.797252029910815,6.0,-22.797252029910815,2.6666666666666665,3,3,0.261176285750585,"['HBARUSDT', 'LDOUSDT', 'PENGUUSDT']","['ATOMUSDT', 'TIAUSDT', 'OPUSDT']"
2025-07-24 16:00:00+00:00,1,-75.85895679426221,4.5,-80.35895679426221,2.0,3,3,0.2881398887983842,"['PENGUUSDT', 'WLDUSDT', 'ORDIUSDT']","['ATOMUSDT', 'ENAUSDT', 'TIAUSDT']"
2025-07-24 20:00:00+00:00,1,13.493922451194436,4.5,8.993922451194436,2.0,3,3,0.02536790864289673,"['PENGUUSDT', 'JUPUSDT', 'HBARUSDT']","['ATOMUSDT', 'OPUSDT', 'ENAUSDT']"
2025-07-25 00:00:00+00:00,1,-222.52805210402985,6.0,-228.52805210402985,2.6666666666666665,3,3,0.18770669016596336,"['PENGUUSDT', 'DOTUSDT', 'WLDUSDT']","['OPUSDT', 'LDOUSDT', 'LTCUSDT']"
2025-07-25 04:00:00+00:00,1,-16.819034284091657,6.0,-22.819034284091657,2.6666666666666665,3,3,0.6691794416940343,"['ENAUSDT', 'PENGUUSDT', 'ORDIUSDT']","['HBARUSDT', 'ETCUSDT', 'OPUSDT']"
2025-07-25 08:00:00+00:00,1,-54.24634892025631,6.0,-60.24634892025631,2.6666666666666665,3,3,0.15796726320651722,"['PENGUUSDT', 'JUPUSDT', 'HBARUSDT']","['ATOMUSDT', 'OPUSDT', 'STRKUSDT']"
2025-07-25 12:00:00+00:00,1,-8.43947047292788,3.0,-11.43947047292788,1.3333333333333333,3,3,0.11062621940992345,"['HBARUSDT', 'PENGUUSDT', 'ENAUSDT']","['TIAUSDT', 'OPUSDT', 'STRKUSDT']"
2025-07-25 16:00:00+00:00,1,-32.699972200351375,6.0,-38.699972200351375,2.6666666666666665,3,3,0.9030462589531666,"['PENGUUSDT', 'ENAUSDT', 'WLDUSDT']","['DOTUSDT', 'ATOMUSDT', 'LTCUSDT']"
2025-07-25 20:00:00+00:00,1,363.465119526832,6.0,357.465119526832,2.6666666666666665,3,3,0.05614802126644158,"['PENGUUSDT', 'WLDUSDT', 'JUPUSDT']","['HBARUSDT', 'ORDIUSDT', 'ENAUSDT']"
2025-07-26 00:00:00+00:00,1,241.93868291339624,4.5,237.43868291339624,2.0,3,3,-0.13713376788064857,"['LTCUSDT', 'TIAUSDT', 'PENGUUSDT']","['HBARUSDT', 'ENAUSDT', 'OPUSDT']"
2025-07-26 04:00:00+00:00,1,-34.470998304018195,4.5,-38.970998304018195,2.0,3,3,-0.24123611511834792,"['ETCUSDT', 'TIAUSDT', 'ORDIUSDT']","['HBARUSDT', 'ENAUSDT', 'PENGUUSDT']"
2025-07-26 08:00:00+00:00,1,-270.14971376215135,4.5,-274.64971376215135,2.0,3,3,-0.10396582427606632,"['ORDIUSDT', 'LTCUSDT', 'LDOUSDT']","['HBARUSDT', 'ENAUSDT', 'OPUSDT']"
2025-07-26 12:00:00+00:00,1,-52.0166986567835,6.0,-58.0166986567835,2.6666666666666665,3,3,0.07114209977510472,"['ENAUSDT', 'LTCUSDT', 'WLDUSDT']","['HBARUSDT', 'JUPUSDT', 'ORDIUSDT']"
2025-07-26 16:00:00+00:00,1,157.78810859241918,4.5,153.28810859241918,2.0,3,3,0.5152854826352319,"['PENGUUSDT', 'ENAUSDT', 'LDOUSDT']","['HBARUSDT', 'ORDIUSDT', 'DOTUSDT']"
2025-07-26 20:00:00+00:00,1,261.2318999921745,4.5,256.7318999921745,2.0,3,3,0.18993781669284643,"['ENAUSDT', 'PENGUUSDT', 'ATOMUSDT']","['HBARUSDT', 'TIAUSDT', 'OPUSDT']"
2025-07-27 00:00:00+00:00,1,-183.55344231784807,6.0,-189.55344231784807,2.6666666666666665,3,3,0.4498136644886208,"['PENGUUSDT', 'ENAUSDT', 'LDOUSDT']","['JUPUSDT', 'ORDIUSDT', 'LTCUSDT']"
2025-07-27 04:00:00+00:00,1,-223.78569601900938,3.0,-226.78569601900938,1.3333333333333333,3,3,0.5878584199218128,"['ENAUSDT', 'PENGUUSDT', 'HBARUSDT']","['ZECUSDT', 'JUPUSDT', 'LTCUSDT']"
2025-07-27 08:00:00+00:00,1,0.4465665213675436,4.5,-4.053433478632456,2.0,3,3,0.19410303332033285,"['HBARUSDT', 'LDOUSDT', 'ENAUSDT']","['PENGUUSDT', 'ATOMUSDT', 'JUPUSDT']"
2025-07-27 12:00:00+00:00,1,315.5485170123982,7.499999999999999,308.0485170123982,3.333333333333333,3,3,-0.0811043841701411,"['JUPUSDT', 'LDOUSDT', 'PENGUUSDT']","['ENAUSDT', 'ORDIUSDT', 'TIAUSDT']"
2025-07-27 16:00:00+00:00,1,-141.63332924081612,3.0,-144.63332924081612,1.3333333333333333,3,3,-0.07704857845160662,"['LDOUSDT', 'PENGUUSDT', 'OPUSDT']","['ENAUSDT', 'JUPUSDT', 'ORDIUSDT']"
2025-07-27 20:00:00+00:00,1,-110.11930257720351,6.0,-116.11930257720351,2.6666666666666665,3,3,-0.028699040809388232,"['ORDIUSDT', 'JUPUSDT', 'PENGUUSDT']","['ENAUSDT', 'LDOUSDT', 'TIAUSDT']"
2025-07-28 00:00:00+00:00,1,46.79434280770796,1.5,45.29434280770796,0.6666666666666666,3,3,-0.1075609008030034,"['ORDIUSDT', 'PENGUUSDT', 'JUPUSDT']","['ENAUSDT', 'LDOUSDT', 'WLDUSDT']"
