time,fold,gross_pnl_bps,cost_bps,net_pnl_bps,turnover,gross_exposure,n_long_total,n_short_total,n_symbols
2025-07-19 00:00:00+00:00,1,0.0,0.75,-0.75,0.3333333333333333,0.3333333333333333,2,3,5
2025-07-19 04:00:00+00:00,1,0.7525561788102837,0.7500000000000001,0.0025561788102835825,0.33333333333333337,0.6666666666666666,2,3,5
2025-07-19 08:00:00+00:00,1,-0.22880952946157151,0.0,-0.22880952946157151,0.0,0.6666666666666666,2,3,5
2025-07-19 12:00:00+00:00,1,-27.99826692407113,0.0,-27.99826692407113,0.0,0.6666666666666666,2,3,5
2025-07-19 16:00:00+00:00,1,39.994265049231544,0.0,39.994265049231544,0.0,0.6666666666666666,2,3,5
2025-07-19 20:00:00+00:00,1,10.104381510875658,0.0,10.104381510875658,0.0,0.6666666666666666,2,3,5
2025-07-20 00:00:00+00:00,1,-38.88681793776707,1.25,-40.13681793776707,0.5555555555555556,0.6666666666666666,4,2,6
2025-07-20 04:00:00+00:00,1,30.899019566780446,0.75,30.149019566780446,0.3333333333333333,0.3333333333333333,2,1,3
2025-07-20 08:00:00+00:00,1,62.56367447778338,0.75,61.81367447778338,0.3333333333333333,0.6666666666666666,4,1,5
2025-07-20 12:00:00+00:00,1,8.724093809455487,0.0,8.724093809455487,0.0,0.6666666666666666,4,1,5
2025-07-20 16:00:00+00:00,1,-5.876646371514358,0.0,-5.876646371514358,0.0,0.6666666666666666,4,1,5
2025-07-20 20:00:00+00:00,1,26.068529544261843,0.0,26.068529544261843,0.0,0.6666666666666666,4,1,5
2025-07-21 00:00:00+00:00,1,44.61372109893504,1.5,43.11372109893504,0.6666666666666666,0.6666666666666666,2,2,4
2025-07-21 04:00:00+00:00,1,-78.63735881767992,0.75,-79.38735881767992,0.3333333333333333,1.0,3,3,6
2025-07-21 08:00:00+00:00,1,39.94268332369367,0.75,39.19268332369367,0.3333333333333333,1.0,2,3,5
2025-07-21 12:00:00+00:00,1,66.8075490103938,0.7499999999999998,66.0575490103938,0.33333333333333326,1.3333333333333333,3,4,7
2025-07-21 16:00:00+00:00,1,-1.7367548458157422,0.7500000000000001,-2.4867548458157422,0.33333333333333337,1.6666666666666665,3,4,7
2025-07-21 20:00:00+00:00,1,147.9377430211954,0.7499999999999998,147.1877430211954,0.33333333333333326,1.9999999999999998,3,4,7
2025-07-22 00:00:00+00:00,1,272.66773542506314,1.5,271.16773542506314,0.6666666666666666,2.0,4,6,10
2025-07-22 04:00:00+00:00,1,65.1247662338221,1.5000000000000002,63.6247662338221,0.6666666666666667,2.0,4,6,10
2025-07-22 08:00:00+00:00,1,-34.72928037174954,0.7499999999999998,-35.47928037174954,0.33333333333333326,1.6666666666666665,4,5,9
2025-07-22 12:00:00+00:00,1,195.96946991461306,1.25,194.71946991461306,0.5555555555555556,1.6666666666666665,4,6,10
2025-07-22 16:00:00+00:00,1,-21.511158291649146,1.4999999999999996,-23.011158291649146,0.6666666666666665,1.6666666666666667,4,5,9
2025-07-22 20:00:00+00:00,1,164.6769126353833,1.5000000000000002,163.1769126353833,0.6666666666666667,1.6666666666666667,4,4,8
2025-07-23 00:00:00+00:00,1,-20.42246780293568,1.125,-21.54746780293568,0.5,1.6666666666666667,3,3,6
2025-07-23 04:00:00+00:00,1,-5.232203966468493,1.125,-6.357203966468493,0.5,1.6666666666666665,2,4,6
2025-07-23 08:00:00+00:00,1,166.2077402988058,0.7500000000000001,165.4577402988058,0.33333333333333337,2.0,3,4,7
2025-07-23 12:00:00+00:00,1,-123.35332525509457,0.8749999999999999,-124.22832525509457,0.38888888888888884,1.8888888888888888,3,4,7
2025-07-23 16:00:00+00:00,1,12.013535975127319,0.8750000000000001,11.138535975127319,0.38888888888888895,2.0,2,5,7
2025-07-23 20:00:00+00:00,1,106.43470598695623,0.75,105.68470598695623,0.3333333333333333,1.6666666666666665,2,4,6
2025-07-24 00:00:00+00:00,1,-222.15542881911537,0.75,-222.90542881911537,0.3333333333333333,1.3333333333333333,2,3,5
2025-07-24 04:00:00+00:00,1,118.32023338160653,0.75,117.57023338160653,0.3333333333333333,1.0,2,3,5
2025-07-24 08:00:00+00:00,1,-67.50377739056086,0.75,-68.25377739056086,0.3333333333333333,0.6666666666666666,1,3,4
2025-07-24 12:00:00+00:00,1,-47.79133532079855,0.75,-48.54133532079855,0.3333333333333333,0.3333333333333333,1,3,4
2025-07-24 16:00:00+00:00,1,-24.769623157172138,0.75,-25.519623157172138,0.3333333333333333,0.0,0,0,0
2025-07-24 20:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-25 00:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-25 04:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-25 08:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-25 12:00:00+00:00,1,0.0,0.75,-0.75,0.3333333333333333,0.3333333333333333,2,3,5
2025-07-25 16:00:00+00:00,1,-9.542651796540794,0.0,-9.542651796540794,0.0,0.3333333333333333,2,3,5
2025-07-25 20:00:00+00:00,1,12.268049922278927,0.0,12.268049922278927,0.0,0.3333333333333333,2,3,5
2025-07-26 00:00:00+00:00,1,-54.13779062644339,0.0,-54.13779062644339,0.0,0.3333333333333333,2,3,5
2025-07-26 04:00:00+00:00,1,17.612936583524288,0.7500000000000001,16.862936583524288,0.33333333333333337,0.6666666666666666,2,3,5
2025-07-26 08:00:00+00:00,1,-49.61901896326435,0.0,-49.61901896326435,0.0,0.6666666666666666,2,3,5
2025-07-26 12:00:00+00:00,1,-87.63969349416023,1.0,-88.63969349416023,0.4444444444444444,0.6666666666666666,4,1,5
2025-07-26 16:00:00+00:00,1,-42.01589015077866,0.7500000000000001,-42.76589015077866,0.33333333333333337,1.0,4,1,5
2025-07-26 20:00:00+00:00,1,80.80634746261163,0.7500000000000001,80.05634746261163,0.33333333333333337,1.3333333333333333,6,2,8
2025-07-27 00:00:00+00:00,1,-244.43204735644025,0.0,-244.43204735644025,0.0,1.3333333333333333,6,2,8
2025-07-27 04:00:00+00:00,1,80.17620483545426,1.1250000000000002,79.05120483545426,0.5000000000000001,1.3333333333333333,5,3,8
2025-07-27 08:00:00+00:00,1,112.84881108847594,0.7499999999999998,112.09881108847594,0.33333333333333326,1.6666666666666665,5,4,9
2025-07-27 12:00:00+00:00,1,-77.89572024329414,0.9999999999999998,-78.89572024329414,0.44444444444444436,1.6666666666666665,4,4,8
2025-07-27 16:00:00+00:00,1,-34.28255604644683,0.8749999999999998,-35.15755604644683,0.3888888888888888,1.6666666666666665,4,4,8
2025-07-27 20:00:00+00:00,1,53.04193752736474,1.0,52.04193752736474,0.4444444444444444,1.6666666666666665,3,4,7
2025-07-28 00:00:00+00:00,1,5.924792681567535,0.7499999999999998,5.174792681567535,0.33333333333333326,1.9999999999999998,3,4,7
2025-07-28 04:00:00+00:00,1,71.61533095383622,0.75,70.86533095383622,0.3333333333333333,1.9999999999999998,3,4,7
2025-07-28 08:00:00+00:00,1,-13.144198131563343,0.8749999999999999,-14.019198131563343,0.38888888888888884,1.9999999999999998,3,4,7
2025-07-28 12:00:00+00:00,1,-170.89236674092265,0.75,-171.64236674092265,0.3333333333333333,2.0,3,3,6
2025-07-28 16:00:00+00:00,1,100.2861941354951,0.7499999999999998,99.5361941354951,0.33333333333333326,1.6666666666666667,3,3,6
2025-07-28 20:00:00+00:00,1,-115.95866186120467,0.7499999999999998,-116.70866186120467,0.33333333333333326,1.3333333333333335,3,3,6
2025-07-29 00:00:00+00:00,1,38.2390888125911,0.7500000000000001,37.4890888125911,0.33333333333333337,1.0,3,3,6
2025-07-29 04:00:00+00:00,1,36.281491219772654,0.75,35.531491219772654,0.3333333333333333,0.6666666666666666,3,3,6
2025-07-29 08:00:00+00:00,1,-26.599521083169982,0.7500000000000001,-27.349521083169982,0.33333333333333337,0.3333333333333333,3,3,6
2025-07-29 12:00:00+00:00,1,35.98455103571882,0.75,35.23455103571882,0.3333333333333333,0.0,0,0,0
2025-07-29 16:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-29 20:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-30 00:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-30 04:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-30 08:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-30 12:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-30 16:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-07-30 20:00:00+00:00,1,0.0,0.75,-0.75,0.3333333333333333,0.3333333333333333,2,2,4
2025-07-31 00:00:00+00:00,1,-69.05933305898273,0.75,-69.80933305898273,0.3333333333333333,0.6666666666666666,2,2,4
2025-07-31 04:00:00+00:00,1,-60.637365319135625,0.7500000000000001,-61.387365319135625,0.33333333333333337,1.0,3,2,5
2025-07-31 08:00:00+00:00,1,-46.91519783103544,0.7500000000000001,-47.66519783103544,0.33333333333333337,1.3333333333333333,4,3,7
2025-07-31 12:00:00+00:00,1,157.43019982431358,0.7500000000000001,156.68019982431358,0.33333333333333337,1.6666666666666667,4,3,7
2025-07-31 16:00:00+00:00,1,189.3103227055742,0.75,188.5603227055742,0.3333333333333333,2.0,4,3,7
2025-07-31 20:00:00+00:00,1,-86.65677188347438,0.7500000000000002,-87.40677188347438,0.3333333333333334,1.6666666666666665,4,3,7
2025-08-01 00:00:00+00:00,1,-130.8029657551782,0.7499999999999998,-131.5529657551782,0.33333333333333326,1.3333333333333333,3,3,6
2025-08-01 04:00:00+00:00,1,-107.38787914963088,0.7500000000000002,-108.13787914963088,0.3333333333333334,0.9999999999999999,2,3,5
2025-08-01 08:00:00+00:00,1,-0.9484511695740725,0.7499999999999998,-1.6984511695740723,0.33333333333333326,0.6666666666666666,1,3,4
2025-08-01 12:00:00+00:00,1,-20.94769584904225,0.7500000000000001,-21.69769584904225,0.33333333333333337,0.3333333333333333,1,2,3
2025-08-01 16:00:00+00:00,1,-22.080415511263496,0.75,-22.830415511263496,0.3333333333333333,0.0,0,0,0
2025-08-01 20:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-02 00:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-02 04:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-02 08:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-02 12:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-02 16:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-02 20:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-03 00:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-03 04:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-03 08:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,0,0,0
2025-08-03 12:00:00+00:00,1,0.0,0.75,-0.75,0.3333333333333333,0.3333333333333333,1,2,3
