feature,nan_pct,skew,kurt,pearson,spearman,shape
return_8h,0.0,0.8434143716208619,2.7034971806157015,0.0569374339714548,0.03904841374989706,monotonic_up
vol_zscore_4h_over_7d,0.0,1.8918360418155167,4.707719646231333,0.022219871465165197,0.022076623801440712,monotonic_up
volprice_momentum_4h,0.0,0.911047856090151,5.980689243119556,0.03106953630333152,0.017163421162236563,monotonic_up
return_24h,0.0,1.2147781485727789,3.4126034133446472,0.051035632582884946,0.016822734833371062,u_shape
return_4h,0.0,0.5859767313343933,2.530216578983133,0.018840328347139373,0.010159630182526648,monotonic_up
volume_weighted_return_4h,0.0,0.08186683073838247,5.104206479367734,0.004575140158771905,0.004676134671913681,u_shape
vwap_dev_4h,0.0,0.09726453753525588,-0.21194230491497734,0.015465633555289586,0.0017895398252512676,monotonic_up
realized_vol_4h,0.0,1.7019947609844632,4.393525509066233,0.007961440938105217,0.0014198529499565725,noisy
realized_vol_24h,0.0,1.4176582609710626,3.0624015058268554,0.028495148600851325,0.0009032780803864565,monotonic_up
price_volume_corr_4h,0.0,0.07394460867529863,-0.41891827505556956,0.013241473360078701,-0.00023029744125548692,monotonic_up
