fold,seed,alpha,return_1d,atr_pct,dom_level_vs_bk,dom_change_288b_vs_bk,bk_ema_slope_4h,corr_change_3d_vs_bk,obv_z_1d,vwap_slope_96,bars_since_high_xs_rank,idio_vol_1d_vs_bk_xs_rank,funding_rate,funding_rate_z_7d,corr_to_btc_1d,idio_vol_to_btc_1h,beta_to_btc_change_5d,funding_rate_1d_change,intercept
2,7,100.0,0.07015746,0.0012181456,0.01228834,-0.051414184,0.027594853,0.01260563,0.017966604,-0.0038474856,0.013696065,-0.012114114,-0.01146774,0.026135027,-0.0009949808,0.01214673,0.009545455,-0.0012677998,-0.023708399385213852
2,19,100.0,0.0723514,0.00039135801,0.009856481,-0.051439732,0.025119446,0.014191744,0.018048694,-0.004576967,0.01276902,-0.010798869,-0.010137763,0.01998009,-0.0020291288,0.010491235,0.008896352,9.0887515e-05,-0.025089817121624947
2,2718,100.0,0.072477005,-0.004031411,0.013319692,-0.051334873,0.026420962,0.010504974,0.015097396,-0.004336239,0.012869822,-0.007357531,-0.011602408,0.02579883,0.0029628335,0.013355089,0.0093756765,-0.0020920872,-0.027209090068936348
3,42,100.0,0.065157935,0.0104270205,0.010676832,-0.040275764,0.016252497,0.011156281,0.027021907,-0.02379984,0.01370561,-0.00033549152,-0.00031939123,0.013457132,0.020124497,0.0024926104,0.0063657463,-0.009837963,0.0022705351002514362
3,1337,100.0,0.0650298,0.003526492,0.010352773,-0.04217648,0.01714772,0.010469753,0.028815163,-0.023210475,0.009981157,0.0018650457,-2.6947664e-05,0.012908805,0.023899615,0.0076443315,0.0058654896,-0.009548966,0.003819328499957919
3,7,100.0,0.058898788,0.012939583,0.009712468,-0.041109614,0.015372284,0.008311062,0.030641004,-0.021588758,0.010576038,-0.00036198215,-0.0003696755,0.012808497,0.02145001,-0.001792684,0.0072704502,-0.00842104,0.00190195650793612
3,19,100.0,0.064280055,0.011575417,0.008509143,-0.043169,0.015498217,0.009339092,0.03119857,-0.02154818,0.010340644,0.0017009045,0.003661147,0.008700254,0.023782061,-0.0012406035,0.006680238,-0.0074533517,0.002721802331507206
3,2718,100.0,0.06567264,0.00913586,0.0076347487,-0.0446829,0.017524075,0.0076560425,0.027148467,-0.020013846,0.010745385,0.00039627048,0.0025991658,0.01057722,0.024839932,0.0036201647,0.0056981277,-0.010067795,0.0030623169150203466
4,42,100.0,0.054832574,0.016705468,0.012118734,-0.040396784,0.01672878,0.005430418,0.032677855,-0.027006729,0.010717146,0.003465835,0.0013292261,0.00825196,0.029814554,0.003967382,0.0020689124,-0.005527091,0.0008155102259479463
4,1337,100.0,0.054221414,0.022961667,0.012671414,-0.037484452,0.016344337,0.006182628,0.033190563,-0.024749167,0.012152468,0.0013803379,-0.0008100841,0.009316536,0.028813217,-0.0004273679,0.0003645244,-0.007437165,0.002601990709081292
4,7,100.0,0.053515133,0.02420095,0.012073295,-0.035917293,0.015660476,0.0058221547,0.034781966,-0.025563974,0.01638986,0.0007054456,9.0312955e-05,0.0110305725,0.028249318,-0.0019811068,0.0028560224,-0.006539221,0.0006879596039652824
4,19,100.0,0.054656863,0.018705655,0.010903993,-0.036517326,0.018290495,0.0053876247,0.031665582,-0.025374282,0.012624618,0.0021123996,-0.0014442472,0.011762449,0.029661944,0.0026074767,0.0011385997,-0.008488907,0.002503987168893218
4,2718,100.0,0.05728608,0.023226177,0.013372867,-0.040619627,0.018101834,0.0063325195,0.034171104,-0.02845858,0.012900658,0.0014090356,-0.00028466343,0.009558483,0.030174015,-0.00024555632,0.0041188374,-0.0075367554,-1.7695308997645043e-05
