K_drop,mean,std,p5,p50,p95,min,max,n_positive,n_beat_baseline
10,-1.2404835533031773,0.5889239156678675,-1.972788800412051,-1.343694778523885,-0.39113156238056707,-2.616872347211947,0.16439627668403828,1,0
20,-1.0194254488865953,0.7548738852324484,-2.1899037774970767,-0.9469663536788477,0.10102483850278328,-2.637501633744618,0.3630951612215046,2,0
30,-1.05252961212628,0.9707708405069153,-2.641564321163689,-1.0964746629037019,0.5529559933646156,-3.278800213659282,1.1116632747704123,4,0
40,-0.42883800914011355,1.0263239679433294,-2.2489511795118466,-0.403207139314527,0.786925971813325,-2.2789714308491216,2.0521642969750227,11,1
