family,feature,n_valid,nan_pct,psyn_cov_50pct,skew,kurt,p1,p99,pearson_r,spearman_r,d0_bps,d9_bps,shape
BTC_regime,btc_ret_288b,314673,0.0,48,0.9692170372884573,1.5256126419418035,-0.027395884839150453,0.06205271335485645,0.06478835164670535,0.0517983327092224,-19.729497100692736,22.73267033534464,inverted_u (BAD)
xs_alpha_context,xs_alpha_iqr_12b,314673,0.0,48,1.3844627528281153,3.2512113751024314,0.0011389787035383158,0.0030662164484607235,0.0552791515764554,0.05104266943872531,-16.297404298812015,13.25025253710993,monotonic_up
xs_alpha_context,xs_alpha_mean_48b,314673,0.0,48,0.2824125463073787,0.8944247123187026,-0.00046958818772002264,0.0005369502139118622,0.0435695510732538,0.05008796961435035,-4.004208195826929,18.0730270839203,monotonic_up
name_factor,name_factor_loading_1d,314673,0.0,48,-0.5535106999071637,-0.14923337122759284,0.24941448862492263,0.8848959606243663,0.019914312575771927,0.029861684849672818,-11.466029822838578,-9.616612670351088,inverted_u (BAD)
name_factor,name_idio_share_1d,314673,0.0,48,0.011923038476553058,-0.674780193496817,0.21695913887066814,0.9377924128577952,-0.016278338809283012,-0.029861684849672818,-9.616612670351088,-11.466029822838578,inverted_u (BAD)
xs_alpha_context,xs_alpha_dispersion_48b,314673,0.0,48,1.2498697822358336,2.4669116459878593,0.0012279146275803797,0.003846180729650328,0.01410879877895954,0.02559275403551522,3.3143308738325405,-6.080148033359546,noisy
BTC_residual_target_horizon,idio_ret_to_btc_48b,314673,0.0,48,1.7742138291281593,16.181957259236615,-0.04101815457756839,0.05702444506748529,0.017433994421698917,0.022531231339828522,-5.315757756733404,12.327003948834582,monotonic_up
BTC_residual_distributional,idio_kurt_1d,314673,0.0,48,8.929085495366015,122.27338058550855,-0.13393436323477018,29.885570229298096,0.01884549530788059,0.019084036796829896,-0.7771998836988827,2.095995893670049,u_shape (sq fix)
BTC_residual_target_horizon,idio_ret_to_btc_12b,314673,0.0,48,1.6487903847923242,25.316783276739333,-0.022900787739278602,0.028052588629899743,-0.0011968632487331684,-0.010829335635985806,0.03395041470186591,4.737400688800824,u_shape (sq fix)
BTC_regime,btc_ret_12b,314673,0.0,48,-0.3589246122943859,6.15948810061542,-0.011111048458944728,0.012436412515184792,0.003068985155291169,-0.008297170718862157,-4.665803650779924,-1.9365119401944535,inverted_u (BAD)
BTC_residual_distributional,idio_max_abs_12b,314673,0.0,48,5.763672816913274,82.5911433275562,0.0010337002103170117,0.018455848084426508,0.0032160700936992464,-0.0075899005940587155,-7.059047893799967,4.690422284223163,monotonic_up
BTC_regime,btc_ret_48b,314673,0.0,48,0.3941201269179667,1.9043445657210336,-0.016432272546319404,0.022780309776243568,-0.0009119592098315267,-0.007036052659073599,-9.392613590570187,2.58083725316312,inverted_u (BAD)
BTC_relationship_extras,beta_to_btc,314673,0.0,48,0.6232518026726376,1.0415577857270604,0.5315655088479948,3.3609950387719185,0.02691679709760372,-0.006867422310667097,-1.2111841061797433,15.686018051999039,u_shape (sq fix)
BTC_residual_distributional,idio_skew_1d,314673,0.0,48,2.443470960581628,27.652079158991313,-1.9928243504856924,2.695694648978281,-0.004165062308166274,-0.005987807027328021,6.696722487912517,-0.02325902273233029,u_shape (sq fix)
BTC_residual_target_horizon,idio_vol_to_btc_1d,314673,0.0,48,2.316579258334641,8.53176399722313,0.0006905988686810079,0.006758891015170598,0.017351219438040234,-0.005639746698378683,-1.7548508966999412,4.5788330654325335,monotonic_up
BTC_regime,btc_ema_slope_4h,314673,0.0,48,0.25857133853081005,2.6882644783023473,-0.003973961702443143,0.005372590070787633,0.004465984380922073,-0.0031165551659813767,-13.814984100280114,-3.986605823515909,inverted_u (BAD)
