feature,nan_pct,skew,kurt,p1,p99,pearson,spearman,shape
vol_surge_4h_over_7d,0.0,2.366163955752099,8.042399113099572,0.2893203803413235,3.6249182483223974,0.019203417811607268,0.015402512855508184,u_shape (sq fix)
vol_surge_1d_over_30d,0.0,2.1267958707502763,6.742824063806982,0.21629518124516492,3.727571608560865,0.04647124806593417,0.01657142707479068,monotonic_up
vol_surge_4h_over_30d,0.0,3.07386752318486,13.810649085367857,0.1872153507965695,4.696632518822258,0.004627207950098201,0.0002171479116500153,u_shape (sq fix)
vol_surge_1h_over_24h,0.0,3.271614409754402,14.782422369944122,0.2319577704549053,5.099773033647978,0.0013866429035847842,-0.001141934936742155,u_shape (sq fix)
