variant,ic,d0,d9,spread_d9_d0,top3_bps,bot3_bps,top3_bot3
"R2: 16 numeric, no transform",0.010570736687463297,6.844308315457951,0.690879030800963,-6.153429284656988,1.6276103231114636,4.920469637519379,-3.2928593144079157
R3: + 6 squared (U-shape fix),0.013264292194599486,3.6195984036779385,0.4042665077014887,-3.21533189597645,2.2429280844213957,2.423831803786938,-0.1809037193655425
R4: + 4 rank-transform (high-NL),0.015410028891646655,3.1032808686196285,0.7493807051728871,-2.3539001634467414,0.8901288948846185,3.274892740161336,-2.3847638452767175
R5: + 3 sign-split (asymmetric),0.015092341649784284,3.34997677544787,1.9807355763043333,-1.369241199143537,1.3750443056153931,5.189277648500211,-3.814233342884817
R6: ElasticNet on R5 features,0.014897079484437697,2.6622140991633385,2.3362231161212743,-0.3259909830420642,0.9330499209404285,4.862304366381356,-3.929254445440928
