feature,coef,fold,seed,intercept,alpha
beta_to_btc_change_5d,0.055943117,0,1337,1.5763962268829346,0.1
funding_rate_1d_change,-0.028655365,0,1337,1.5763962268829346,0.1
sym_ADAUSDT,-2.2788613,0,1337,1.5763962268829346,0.1
sym_APTUSDT,-1.5223501,0,1337,1.5763962268829346,0.1
sym_ARBUSDT,-2.5429366,0,1337,1.5763962268829346,0.1
sym_ASTERUSDT,0.0,0,1337,1.5763962268829346,0.1
sym_ATOMUSDT,-1.6140436,0,1337,1.5763962268829346,0.1
sym_AVAXUSDT,-0.9969134,0,1337,1.5763962268829346,0.1
sym_AXSUSDT,-1.8060075,0,1337,1.5763962268829346,0.1
sym_BCHUSDT,0.15157227,0,1337,1.5763962268829346,0.1
sym_BIOUSDT,-3.1086307,0,1337,1.5763962268829346,0.1
sym_BNBUSDT,0.3390177,0,1337,1.5763962268829346,0.1
sym_DOGEUSDT,-2.6958754,0,1337,1.5763962268829346,0.1
sym_DOTUSDT,-1.6034659,0,1337,1.5763962268829346,0.1
sym_ENAUSDT,-2.4587343,0,1337,1.5763962268829346,0.1
sym_ETCUSDT,-1.0949664,0,1337,1.5763962268829346,0.1
sym_ETHUSDT,0.79583234,0,1337,1.5763962268829346,0.1
sym_FILUSDT,-1.7626184,0,1337,1.5763962268829346,0.1
sym_GMXUSDT,-1.0425583,0,1337,1.5763962268829346,0.1
sym_HBARUSDT,-2.8577366,0,1337,1.5763962268829346,0.1
sym_HYPEUSDT,0.0,0,1337,1.5763962268829346,0.1
sym_ICPUSDT,-1.583694,0,1337,1.5763962268829346,0.1
sym_INJUSDT,-1.2530859,0,1337,1.5763962268829346,0.1
sym_JTOUSDT,-1.9124585,0,1337,1.5763962268829346,0.1
sym_JUPUSDT,-2.3106027,0,1337,1.5763962268829346,0.1
sym_LDOUSDT,-2.1703606,0,1337,1.5763962268829346,0.1
sym_LINKUSDT,-1.2217183,0,1337,1.5763962268829346,0.1
sym_LTCUSDT,-0.4362791,0,1337,1.5763962268829346,0.1
sym_NEARUSDT,-1.8421159,0,1337,1.5763962268829346,0.1
sym_ONDOUSDT,-2.218151,0,1337,1.5763962268829346,0.1
sym_OPUSDT,-2.297368,0,1337,1.5763962268829346,0.1
sym_ORDIUSDT,-1.2264472,0,1337,1.5763962268829346,0.1
sym_PENDLEUSDT,-1.5998074,0,1337,1.5763962268829346,0.1
sym_PENGUUSDT,-3.7380812,0,1337,1.5763962268829346,0.1
sym_PUMPUSDT,-3.1440167,0,1337,1.5763962268829346,0.1
sym_RUNEUSDT,-1.8104815,0,1337,1.5763962268829346,0.1
sym_SEIUSDT,-2.728447,0,1337,1.5763962268829346,0.1
sym_SOLUSDT,-0.18702237,0,1337,1.5763962268829346,0.1
sym_STRKUSDT,-2.862008,0,1337,1.5763962268829346,0.1
sym_SUIUSDT,-1.6076397,0,1337,1.5763962268829346,0.1
sym_TAOUSDT,0.20778447,0,1337,1.5763962268829346,0.1
sym_TIAUSDT,-1.7235391,0,1337,1.5763962268829346,0.1
sym_TONUSDT,-1.7970878,0,1337,1.5763962268829346,0.1
sym_TRBUSDT,-0.7752528,0,1337,1.5763962268829346,0.1
sym_UNIUSDT,-1.5310166,0,1337,1.5763962268829346,0.1
sym_VIRTUALUSDT,-1.9119925,0,1337,1.5763962268829346,0.1
sym_VVVUSDT,-1.5953479,0,1337,1.5763962268829346,0.1
sym_WIFUSDT,-2.119684,0,1337,1.5763962268829346,0.1
sym_WLDUSDT,-2.001885,0,1337,1.5763962268829346,0.1
sym_XRPUSDT,-1.9164772,0,1337,1.5763962268829346,0.1
sym_ZECUSDT,-0.663417,0,1337,1.5763962268829346,0.1
return_1d,0.09764175,0,7,1.5825715065002441,0.1
atr_pct,0.005876409,0,7,1.5825715065002441,0.1
dom_level_vs_bk,-0.9706645,0,7,1.5825715065002441,0.1
dom_change_288b_vs_bk,-0.07274713,0,7,1.5825715065002441,0.1
bk_ema_slope_4h,-0.021878565,0,7,1.5825715065002441,0.1
corr_change_3d_vs_bk,0.016581172,0,7,1.5825715065002441,0.1
obv_z_1d,-0.012917944,0,7,1.5825715065002441,0.1
vwap_slope_96,0.044004302,0,7,1.5825715065002441,0.1
bars_since_high_xs_rank,0.01356607,0,7,1.5825715065002441,0.1
idio_vol_1d_vs_bk_xs_rank,-0.04773714,0,7,1.5825715065002441,0.1
funding_rate,-0.00862683,0,7,1.5825715065002441,0.1
funding_rate_z_7d,0.06470357,0,7,1.5825715065002441,0.1
corr_to_btc_1d,-0.0029002833,0,7,1.5825715065002441,0.1
idio_vol_to_btc_1h,0.012673533,0,7,1.5825715065002441,0.1
beta_to_btc_change_5d,0.057858117,0,7,1.5825715065002441,0.1
funding_rate_1d_change,-0.025579266,0,7,1.5825715065002441,0.1
sym_ADAUSDT,-2.3063493,0,7,1.5825715065002441,0.1
sym_APTUSDT,-1.5281899,0,7,1.5825715065002441,0.1
sym_ARBUSDT,-2.586333,0,7,1.5825715065002441,0.1
sym_ASTERUSDT,0.0,0,7,1.5825715065002441,0.1
sym_ATOMUSDT,-1.6038567,0,7,1.5825715065002441,0.1
sym_AVAXUSDT,-1.011962,0,7,1.5825715065002441,0.1
sym_AXSUSDT,-1.8288168,0,7,1.5825715065002441,0.1
sym_BCHUSDT,0.15271762,0,7,1.5825715065002441,0.1
sym_BIOUSDT,-3.1440094,0,7,1.5825715065002441,0.1
sym_BNBUSDT,0.3534016,0,7,1.5825715065002441,0.1
sym_DOGEUSDT,-2.7191558,0,7,1.5825715065002441,0.1
sym_DOTUSDT,-1.5963271,0,7,1.5825715065002441,0.1
sym_ENAUSDT,-2.4763165,0,7,1.5825715065002441,0.1
sym_ETCUSDT,-1.083991,0,7,1.5825715065002441,0.1
sym_ETHUSDT,0.8344468,0,7,1.5825715065002441,0.1
sym_FILUSDT,-1.775294,0,7,1.5825715065002441,0.1
sym_GMXUSDT,-1.0224215,0,7,1.5825715065002441,0.1
sym_HBARUSDT,-2.871957,0,7,1.5825715065002441,0.1
sym_HYPEUSDT,0.0,0,7,1.5825715065002441,0.1
sym_ICPUSDT,-1.6091275,0,7,1.5825715065002441,0.1
sym_INJUSDT,-1.2507375,0,7,1.5825715065002441,0.1
sym_JTOUSDT,-1.9064022,0,7,1.5825715065002441,0.1
sym_JUPUSDT,-2.3292723,0,7,1.5825715065002441,0.1
sym_LDOUSDT,-2.1994567,0,7,1.5825715065002441,0.1
sym_LINKUSDT,-1.2125592,0,7,1.5825715065002441,0.1
sym_LTCUSDT,-0.43524778,0,7,1.5825715065002441,0.1
sym_NEARUSDT,-1.8370911,0,7,1.5825715065002441,0.1
sym_ONDOUSDT,-2.219035,0,7,1.5825715065002441,0.1
sym_OPUSDT,-2.3002384,0,7,1.5825715065002441,0.1
sym_ORDIUSDT,-1.2436532,0,7,1.5825715065002441,0.1
sym_PENDLEUSDT,-1.6126171,0,7,1.5825715065002441,0.1
sym_PENGUUSDT,-3.7800798,0,7,1.5825715065002441,0.1
sym_PUMPUSDT,-3.174359,0,7,1.5825715065002441,0.1
sym_RUNEUSDT,-1.8154367,0,7,1.5825715065002441,0.1
sym_SEIUSDT,-2.766772,0,7,1.5825715065002441,0.1
sym_SOLUSDT,-0.13139316,0,7,1.5825715065002441,0.1
sym_STRKUSDT,-2.8673618,0,7,1.5825715065002441,0.1
sym_SUIUSDT,-1.6283753,0,7,1.5825715065002441,0.1
sym_TAOUSDT,0.23954388,0,7,1.5825715065002441,0.1
sym_TIAUSDT,-1.7126371,0,7,1.5825715065002441,0.1
sym_TONUSDT,-1.7992074,0,7,1.5825715065002441,0.1
sym_TRBUSDT,-0.74549836,0,7,1.5825715065002441,0.1
sym_UNIUSDT,-1.51889,0,7,1.5825715065002441,0.1
sym_VIRTUALUSDT,-1.9045447,0,7,1.5825715065002441,0.1
sym_VVVUSDT,-1.5856224,0,7,1.5825715065002441,0.1
sym_WIFUSDT,-2.156661,0,7,1.5825715065002441,0.1
sym_WLDUSDT,-2.0151353,0,7,1.5825715065002441,0.1
sym_XRPUSDT,-1.933171,0,7,1.5825715065002441,0.1
sym_ZECUSDT,-0.6567309,0,7,1.5825715065002441,0.1
return_1d,0.09708044,0,19,1.5204675197601318,0.1
atr_pct,0.01082787,0,19,1.5204675197601318,0.1
dom_level_vs_bk,-0.93150973,0,19,1.5204675197601318,0.1
dom_change_288b_vs_bk,-0.08004994,0,19,1.5204675197601318,0.1
bk_ema_slope_4h,-0.025448589,0,19,1.5204675197601318,0.1
corr_change_3d_vs_bk,0.017016277,0,19,1.5204675197601318,0.1
obv_z_1d,-0.0074342294,0,19,1.5204675197601318,0.1
vwap_slope_96,0.043539524,0,19,1.5204675197601318,0.1
bars_since_high_xs_rank,0.009327771,0,19,1.5204675197601318,0.1
idio_vol_1d_vs_bk_xs_rank,-0.045199055,0,19,1.5204675197601318,0.1
funding_rate,-0.008823806,0,19,1.5204675197601318,0.1
funding_rate_z_7d,0.057814892,0,19,1.5204675197601318,0.1
corr_to_btc_1d,-0.00042780832,0,19,1.5204675197601318,0.1
idio_vol_to_btc_1h,0.00946977,0,19,1.5204675197601318,0.1
beta_to_btc_change_5d,0.05541166,0,19,1.5204675197601318,0.1
funding_rate_1d_change,-0.021362465,0,19,1.5204675197601318,0.1
sym_ADAUSDT,-2.2071528,0,19,1.5204675197601318,0.1
sym_APTUSDT,-1.4426271,0,19,1.5204675197601318,0.1
sym_ARBUSDT,-2.4834447,0,19,1.5204675197601318,0.1
sym_ASTERUSDT,0.0,0,19,1.5204675197601318,0.1
sym_ATOMUSDT,-1.5475062,0,19,1.5204675197601318,0.1
sym_AVAXUSDT,-0.96103096,0,19,1.5204675197601318,0.1
sym_AXSUSDT,-1.730332,0,19,1.5204675197601318,0.1
sym_BCHUSDT,0.1751605,0,19,1.5204675197601318,0.1
sym_BIOUSDT,-3.033107,0,19,1.5204675197601318,0.1
sym_BNBUSDT,0.36072925,0,19,1.5204675197601318,0.1
sym_DOGEUSDT,-2.6249194,0,19,1.5204675197601318,0.1
sym_DOTUSDT,-1.5556338,0,19,1.5204675197601318,0.1
sym_ENAUSDT,-2.3630989,0,19,1.5204675197601318,0.1
sym_ETCUSDT,-1.0329655,0,19,1.5204675197601318,0.1
sym_ETHUSDT,0.80456334,0,19,1.5204675197601318,0.1
sym_FILUSDT,-1.7148536,0,19,1.5204675197601318,0.1
sym_GMXUSDT,-1.0034467,0,19,1.5204675197601318,0.1
sym_HBARUSDT,-2.7714422,0,19,1.5204675197601318,0.1
sym_HYPEUSDT,0.0,0,19,1.5204675197601318,0.1
sym_ICPUSDT,-1.5470825,0,19,1.5204675197601318,0.1
sym_INJUSDT,-1.2008972,0,19,1.5204675197601318,0.1
sym_JTOUSDT,-1.8531566,0,19,1.5204675197601318,0.1
sym_JUPUSDT,-2.266454,0,19,1.5204675197601318,0.1
sym_LDOUSDT,-2.1016958,0,19,1.5204675197601318,0.1
sym_LINKUSDT,-1.1442066,0,19,1.5204675197601318,0.1
sym_LTCUSDT,-0.42703402,0,19,1.5204675197601318,0.1
sym_NEARUSDT,-1.7797481,0,19,1.5204675197601318,0.1
sym_ONDOUSDT,-2.1361747,0,19,1.5204675197601318,0.1
sym_OPUSDT,-2.2145946,0,19,1.5204675197601318,0.1
sym_ORDIUSDT,-1.1637206,0,19,1.5204675197601318,0.1
sym_PENDLEUSDT,-1.5287689,0,19,1.5204675197601318,0.1
sym_PENGUUSDT,-3.6367538,0,19,1.5204675197601318,0.1
sym_PUMPUSDT,-3.1031518,0,19,1.5204675197601318,0.1
sym_RUNEUSDT,-1.7503089,0,19,1.5204675197601318,0.1
sym_SEIUSDT,-2.6353204,0,19,1.5204675197601318,0.1
sym_SOLUSDT,-0.16385779,0,19,1.5204675197601318,0.1
sym_STRKUSDT,-2.795359,0,19,1.5204675197601318,0.1
sym_SUIUSDT,-1.5613,0,19,1.5204675197601318,0.1
sym_TAOUSDT,0.24131623,0,19,1.5204675197601318,0.1
sym_TIAUSDT,-1.6659396,0,19,1.5204675197601318,0.1
sym_TONUSDT,-1.7214749,0,19,1.5204675197601318,0.1
sym_TRBUSDT,-0.7182447,0,19,1.5204675197601318,0.1
sym_UNIUSDT,-1.4741105,0,19,1.5204675197601318,0.1
sym_VIRTUALUSDT,-1.8327383,0,19,1.5204675197601318,0.1
sym_VVVUSDT,-1.5569055,0,19,1.5204675197601318,0.1
sym_WIFUSDT,-2.0298326,0,19,1.5204675197601318,0.1
