,Ridge_IC,LGBM_IC,sigma,ridge_tail_freq
BCHUSDT,0.027064105060937777,0.031797753673294564,0.013566458454286775,269
LDOUSDT,0.015272741873369158,0.030051422964190163,0.015047406463703238,135
TONUSDT,0.03658118313663378,0.021062557822745517,0.010627964979394573,101
VIRTUALUSDT,0.02349750548328923,0.016602606455132417,0.03426752441585825,355
ETHUSDT,0.06254291848032463,0.01374358706922068,0.010078346491736126,409
VVVUSDT,-0.036446027709679335,0.013727893373711985,0.02692978065965176,646
LINKUSDT,0.011439925341540744,0.01210908022016257,0.010375222401576102,75
BNBUSDT,0.028395632220874146,0.011533996953221584,0.006281569917536171,239
JTOUSDT,-0.017073404446524006,0.01107389732668684,0.014170989858700401,371
TIAUSDT,0.026670294239802748,0.0027696705637848032,0.016114429629793908,311
LTCUSDT,-0.005460302096801059,0.002253494134928863,0.01076817613699639,63
ZECUSDT,-0.020234596780225343,0.0008774193051302623,0.020956688545319433,909
AAVEUSDT,0.015082286998954747,0.0005850686137423278,0.014916109332375554,114
AXSUSDT,0.01904451382316936,0.00032512875883014254,0.014773014000993784,220
ONDOUSDT,0.012407483253338453,-0.0032753654715022085,0.01413699507498838,66
UNIUSDT,0.02575602852552321,-0.004884353344537413,0.013416398123227116,297
SOLUSDT,0.03333733539218171,-0.006302781058122808,0.009761339005006059,75
TRBUSDT,0.05286711045519288,-0.006417969768086259,0.017176024713403383,123
RUNEUSDT,-0.029793877508398407,-0.007312853462965605,0.01663932417398887,354
NEARUSDT,0.021049411846526294,-0.007957152383019798,0.01349071138203996,79
JUPUSDT,0.040744868542654904,-0.010077918985175901,0.01719141299116568,98
ADAUSDT,0.0005749178729170389,-0.010394422833483173,0.01064456420269191,38
PENGUUSDT,0.022838315690838176,-0.011890670762760324,0.0358585147676547,513
ORDIUSDT,0.027545574493008058,-0.012561180331500995,0.021935254515632524,265
TAOUSDT,-0.004632738055371829,-0.012600944722144255,0.016653916006573396,166
XRPUSDT,-0.01697054844770014,-0.015323108412910345,0.009678280084906628,185
DOGEUSDT,0.05022162249638555,-0.016289639160840395,0.01207533827668984,40
ETCUSDT,-0.0021900060511111574,-0.01767324364279512,0.009343232138719248,29
HBARUSDT,-0.006448074041957834,-0.01805995185714478,0.011419499774907808,116
DOTUSDT,0.035515914253883,-0.018889893957119163,0.010759855641863365,64
SEIUSDT,0.02776034807418151,-0.019223701459325223,0.013295928497177792,163
ARBUSDT,0.005075443953326323,-0.019601607495094917,0.014497734172639498,71
AVAXUSDT,0.03264916851311786,-0.020431848088588212,0.012220901318059158,96
ASTERUSDT,-0.03481603938279202,-0.02056981158404172,0.017202142972240816,398
INJUSDT,0.010757906612522619,-0.021117543790170945,0.015219981131162448,137
ICPUSDT,0.012936720418540286,-0.021664636875558026,0.010600133645429334,308
WIFUSDT,0.05684100808158261,-0.02386215980732826,0.031210538589199272,275
SUIUSDT,-0.014143117533884014,-0.024409397171617477,0.016682692876214038,60
WLDUSDT,0.06898617149778957,-0.027235457146965236,0.02465236167387742,245
OPUSDT,0.016752509285753895,-0.027816524853112323,0.016402937025324624,125
ATOMUSDT,0.012913845549540809,-0.02852282555820771,0.010957196789568541,254
ENAUSDT,0.0026973958942579923,-0.032651674268372295,0.02165282960262694,260
PENDLEUSDT,-0.017958028176346147,-0.034433357426152146,0.017267972402990685,158
APTUSDT,0.008223140398088602,-0.035321343784121766,0.012853315253986483,178
FILUSDT,0.04954184656641355,-0.035533842123932076,0.01105871247941549,56
HYPEUSDT,0.0158788214757691,-0.037071912993447906,0.017202142972240816,196
GMXUSDT,0.016197912647380838,-0.04301635311741338,0.01462315568870808,230
STRKUSDT,0.013512332940735127,-0.048002977831842694,0.018497646322282204,161
PUMPUSDT,-0.04847231831124143,-0.050479075769306714,0.017212753135214743,347
BIOUSDT,0.030752462166397793,-0.05071610978143016,0.03356424163403134,357
