excl,sharpe,delta
1,-0.2203854322309307,-0.7177470157477144
2,0.5982044174969967,0.10084283398021304
3,0.6870071386731774,0.18964555515639375
4,0.08553851782866038,-0.41182306568812327
5,0.6832474868228434,0.18588590330605975
6,0.5480697199621162,0.05070813644533251
7,0.6689187501498816,0.1715571666330979
8,0.288682849983803,-0.20867873353298066
9,1.3127864056274097,0.815424822110626
