model,config,ic,decile_rho,k1,k3,k10,k3_folds_pos,k3_drop2,top5_share,top2,gate_pass
ridge_xsz,v2_all,0.026280756175821405,0.6848484848484848,23.131482681761824,36.27291303519087,19.83493574143217,7,26.5431375701548,0.5153194340018478,"ICPUSDT,FILUSDT",True
ridge_xsz,only_squared,0.016883566948796672,0.4666666666666666,83.18795804576372,63.8322379527942,22.55890940899816,8,36.47670507067278,0.5270936150545322,"ICPUSDT,ZECUSDT",False
ridge_xsz,sqbtcrel,0.03372261202380318,0.7454545454545454,63.16542069894408,59.91817009024449,26.887501998537658,9,21.859229126776977,0.5646688637703534,"ZECUSDT,FARTCOINUSDT",True
ridge_xsz,sqbtcrel_plus_int,0.02983341840403667,0.6121212121212121,50.096623073235,45.80955028771955,21.2970420147283,7,16.81063320813652,0.5683197516472108,"ICPUSDT,FARTCOINUSDT",True
nnls_oriented,v2_all,0.017704350333391742,-0.17575757575757575,-108.52220288587786,-44.714026321422736,-18.064212010467937,4,-47.07471361002212,0.7399225331061783,"FARTCOINUSDT,AVAXUSDT",False
nnls_oriented,only_squared,0.012067382219266442,0.4424242424242424,-5.337764652116069,31.83741362899588,18.427023201980706,4,-1.2935227419510722,0.8235803435726472,"ZECUSDT,ICPUSDT",False
nnls_oriented,sqbtcrel,0.02410979222663851,-0.23636363636363633,-4.158237255641898,-23.116118028739923,-2.2868408900666073,3,-28.453616600298705,0.6152125241843996,"FARTCOINUSDT,ASTERUSDT",False
nnls_oriented,sqbtcrel_plus_int,0.022700168363809888,-0.006060606060606061,-23.232340503640174,-0.3741304629576571,4.922413245614937,5,-10.205229303316884,0.5369605134584374,"PUMPUSDT,FARTCOINUSDT",False
