time,fold,gross,funding,cost,net,n_open
2025-07-15 00:00:00+00:00,1,0.0,0.0,0.0,0.0,0
2025-07-15 04:00:00+00:00,1,-4.839404582977295,0.0,0.7358718734238204,-5.575276456401116,1
2025-07-15 08:00:00+00:00,1,-20.406883239746094,-0.4807599999999968,2.0133027640030345,-22.900946003749127,2
2025-07-15 12:00:00+00:00,1,-14.539204597473145,0.0,2.719184513021343,-17.258389110494488,1
2025-07-15 16:00:00+00:00,1,0.0,0.0,1.0221329574211104,-1.0221329574211104,0
2025-07-15 20:00:00+00:00,1,29.57613754272461,-0.21740000000000648,1.7207797218908183,27.637957820833787,1
2025-07-16 00:00:00+00:00,1,-43.516868591308594,-0.10000000000000286,1.2762462982351552,-44.89311488954375,1
2025-07-16 04:00:00+00:00,1,-28.53458595275879,-0.10000000000000286,1.266730664363473,-29.901316617122262,1
2025-07-16 08:00:00+00:00,1,0.0,0.0,2.97779125345898,-2.97779125345898,0
2025-07-16 12:00:00+00:00,1,4.3198957443237305,-0.10860000000000036,1.714008232622852,2.497287511700878,1
2025-07-16 16:00:00+00:00,1,91.43013763427734,-0.5587799999999948,1.26468189124052,89.60667574303683,1
2025-07-16 20:00:00+00:00,1,207.9017791748047,-0.5587799999999948,1.264085171828634,206.07891400297606,1
2025-07-17 00:00:00+00:00,1,-87.13321685791016,-0.10000000000000286,1.2653017206723385,-88.4985185785825,1
2025-07-17 04:00:00+00:00,1,122.55339813232422,-0.35994000000000304,1.2599801657831637,120.93347796654105,1
2025-07-17 08:00:00+00:00,1,64.28675079345703,-0.4699199999999987,1.9969542672570078,61.81987652620002,2
2025-07-17 12:00:00+00:00,1,46.450721740722656,0.2936399999999978,3.8728534045675227,42.87150833615513,2
2025-07-17 16:00:00+00:00,1,-58.00407791137695,-0.48238000000000447,3.4744252443480095,-61.96088315572497,2
2025-07-17 20:00:00+00:00,1,-63.9841194152832,0.1999999999999988,2.231758005704581,-66.01587742098779,1
2025-07-18 00:00:00+00:00,1,50.16063690185547,-0.5033599999999944,3.6419421010329094,46.015334800822565,1
2025-07-18 04:00:00+00:00,1,45.9947395324707,-0.6256399999999968,1.2624812938175687,44.10661823865314,1
2025-07-18 08:00:00+00:00,1,-72.94023895263672,-0.31752000000000175,1.264043238390594,-74.52180219102732,1
2025-07-18 12:00:00+00:00,1,13.748943328857422,-0.10000000000000286,1.2643351189853451,12.384608209872074,1
2025-07-18 16:00:00+00:00,1,-30.20187759399414,-0.10000000000000286,1.2644407976224012,-31.566318391616544,1
2025-07-18 20:00:00+00:00,1,-37.7252082824707,-0.10000000000000286,1.2663171406947176,-39.09152542316542,1
2025-07-19 00:00:00+00:00,1,0.0,0.0,2.975128909100169,-2.975128909100169,0
2025-07-19 04:00:00+00:00,1,-21.874549865722656,-0.10000000000000286,1.8710762602072286,-23.845626125929886,2
2025-07-19 08:00:00+00:00,1,-12.350339889526367,0.0,2.6842542023035985,-15.034594091829966,1
2025-07-19 12:00:00+00:00,1,16.0433406829834,0.0,0.2922247830094051,15.751115899973993,1
2025-07-19 16:00:00+00:00,1,-12.14431095123291,0.0,0.29245508892321415,-12.436766040156124,1
2025-07-19 20:00:00+00:00,1,3.7759201526641846,0.0,0.292587327618452,3.4833328250457325,1
2025-07-20 00:00:00+00:00,1,0.0,0.0,1.0351746552369039,-1.0351746552369039,0
2025-07-20 04:00:00+00:00,1,0.0,0.0,0.0,0.0,0
2025-07-20 08:00:00+00:00,1,61.80183029174805,-0.099999999999989,1.4804549909955598,60.2213753007525,1
2025-07-20 12:00:00+00:00,1,27.41353988647461,-0.10753999999999972,1.9633060920637737,25.342693794410835,1
