cycle_id,open_time,n_universe,n_predicted,btc_ret_30d,regime,pred_disp,top_k_long,bot_k_short,gross_target,gross_after_stop,net_target,sleeve_count,stop_engaged,stop_k_sigma,equity_pre,equity_post,pnl_bps,gross_pnl_bps,cost_bps,turnover,long_ret_bps,short_ret_bps,long_alpha_bps,short_alpha_bps,n_trades,univ_hash,notes
0,2026-03-03 00:00:00+00:00,150,19,-0.1264144175204612,side,0.0536626167595386,"ARBUSDT,BNBUSDT,LTCUSDT","DOTUSDT,OPUSDT,SUIUSDT",0.3333333333333333,0.3333333333333333,-3.469446951953614e-18,1,False,0.0,10000.0,9985.108411104824,-14.891588895176028,-14.14158889517663,0.7500000000000001,0.3333333333333333,-6.336148247208961,-7.805440647967669,4.84423619123445,-22.89634174867593,6,1287d74b,
1,2026-03-03 04:00:00+00:00,150,19,-0.1312314322402989,side,0.0611658170819282,"ARBUSDT,ATOMUSDT,RUNEUSDT","APTUSDT,SEIUSDT,SUIUSDT",0.6666666666666666,0.6666666666666666,0.0,2,False,0.0,9985.108411104824,9975.373221678385,-9.74970829121138,-8.999708291211123,0.7500000000000001,0.3333333333333333,-13.366201795478023,4.3664935042669,-0.5345486126210772,-10.635797134280022,6,1287d74b,
2,2026-03-03 08:00:00+00:00,150,19,-0.131712508603329,bear,0.0659132674336433,"BNBUSDT,RUNEUSDT","APTUSDT,SUIUSDT",1.0,1.0,6.938893903907228e-18,3,False,0.0,9975.373221678385,10026.854334435571,51.60820714487986,52.358207144879,0.7500000000000001,0.3333333333333333,-53.34725929103763,105.70546643591663,8.836300196645267,28.876393237629404,4,1287d74b,
3,2026-03-03 12:00:00+00:00,150,19,-0.1441883207422,bear,0.0693410485982894,"ARBUSDT,RUNEUSDT","APTUSDT,DOTUSDT",1.3333333333333333,1.3333333333333333,-2.0816681711721685e-17,4,False,0.0,10026.854334435571,10029.388309727388,2.527188694777978,3.277188694778405,0.7500000000000001,0.3333333333333333,56.42379713295299,-53.14660843817458,-10.50360755725681,26.418335128381457,4,1287d74b,
4,2026-03-03 16:00:00+00:00,150,19,-0.1194825100105809,bear,0.0644625946879386,"BCHUSDT,RUNEUSDT","APTUSDT,SEIUSDT",1.6666666666666663,1.6666666666666663,-2.0816681711721685e-17,5,False,0.0,10029.388309727388,9937.19808999851,-91.9200821444554,-91.1700821444551,0.7499999999999999,0.3333333333333332,78.01040626776783,-169.1804884122229,15.71151228596428,-95.03402231295703,4,1287d74b,
5,2026-03-03 20:00:00+00:00,150,19,-0.1114846222062949,bear,0.0445275567471981,"OPUSDT,RUNEUSDT","APTUSDT,DOTUSDT",1.8749699525788632,1.8749699525788632,-2.0816681711721685e-17,6,False,0.0,9937.19808999851,9870.056562455313,-67.56585401147757,-66.81585401147753,0.7499999999999999,0.3333333333333332,-39.28525921206448,-27.530594799413056,-11.747708798320309,-59.17406162899957,4,1287d74b,
6,2026-03-04 00:00:00+00:00,149,19,-0.1113539677536163,bear,0.0546852797269821,"OPUSDT,RUNEUSDT","APTUSDT,SEIUSDT",2.0,2.0,3.4694469519536136e-17,6,False,0.0,9870.056562455313,9931.721879659612,62.47716698895872,63.97716698895948,1.5000000000000002,0.6666666666666666,-10.1422361017345,74.11940309069398,72.41035767394837,-13.558855473759952,9,90973841,
7,2026-03-04 04:00:00+00:00,149,19,-0.1059039727531309,bear,0.0610596947371959,"LTCUSDT,RUNEUSDT","APTUSDT,DOTUSDT",2.0,2.0,-1.3877787807814457e-17,6,False,0.0,9931.721879659612,10065.583246311013,134.78163028865336,135.72474320729572,0.9431129186411228,0.4191612971738322,142.5976554552714,-6.872912247975671,-114.79959148952426,280.1264201601346,8,90973841,
8,2026-03-04 08:00:00+00:00,149,19,-0.0966708471543382,side,0.0414462089538574,"ADAUSDT,ARBUSDT,BCHUSDT","APTUSDT,ATOMUSDT,SEIUSDT",2.0,2.0,-6.938893903907228e-18,6,False,0.0,10065.583246311013,10151.639411353168,85.49545807362351,86.8508577358835,1.355399662261138,0.602399849893839,136.36631140380655,-49.51545366792305,-111.36971214206558,195.97232540834503,9,90973841,
9,2026-03-04 12:00:00+00:00,149,19,-0.0887229726259566,side,0.0556401200592517,"ARBUSDT,LTCUSDT","APTUSDT,DOTUSDT,UNIUSDT",1.899301824316607,1.899301824316607,-3.4694469519536136e-17,6,False,0.0,10151.639411353168,10264.011747702816,110.69378235004665,111.54812483846196,0.8543424884160216,0.3797077726293429,321.5667143588146,-210.01858952035263,10.413637126894004,98.12164956730405,6,90973841,
10,2026-03-04 16:00:00+00:00,149,19,-0.0696418155871915,side,0.0783393606543541,"ARBUSDT,DOGEUSDT,ETHUSDT","APTUSDT,UNIUSDT,XRPUSDT",1.899301824316607,1.899301824316607,-4.857225732735061e-17,6,False,0.0,10264.011747702816,10346.688372333576,80.55000974571524,81.85786030794638,1.3078505622324792,0.5812669165477684,76.56531726962996,5.292543038316435,30.41871389580803,50.44418420250884,9,90973841,
11,2026-03-04 20:00:00+00:00,149,19,-0.0606939885825211,side,0.0701068118214607,"DOGEUSDT,ETHUSDT,RUNEUSDT","ADAUSDT,APTUSDT,SUIUSDT",1.779309012262163,1.779309012262163,-6.245004513516506e-17,6,False,0.0,10346.688372333576,10287.381485284002,-57.31968038020418,-56.46325738143213,0.8564229987713005,0.3806324438983557,-188.8874972090934,132.42423982766127,-77.28147399829825,19.03248605402403,8,90973841,
12,2026-03-05 00:00:00+00:00,149,19,-0.0743338883997906,side,0.0618115700781345,"ATOMUSDT,BNBUSDT,ETHUSDT","BCHUSDT,OPUSDT,SUIUSDT",1.7013991320795756,1.7013991320795756,-2.0816681711721685e-17,6,False,0.0,10287.381485284002,10255.053470575078,-31.42492067118281,-29.92492067118322,1.5000000000000002,0.6666666666666666,-58.58424176483677,28.659321093653546,-40.48306349358386,9.589793348424864,9,90973841,
13,2026-03-05 04:00:00+00:00,149,19,-0.0776210049321746,side,0.069956861436367,"ARBUSDT,ATOMUSDT,BNBUSDT","BCHUSDT,SEIUSDT,SUIUSDT",1.6342970718484902,1.6342970718484902,6.938893903907228e-18,6,False,0.0,10255.053470575078,10247.71218240942,-7.158702962126169,-5.658702962127199,1.5000000000000002,0.6666666666666666,-65.98099054309625,60.32228758096906,4.925214690125795,-13.731088910436933,10,90973841,
14,2026-03-05 08:00:00+00:00,149,19,-0.0873907583777832,side,0.0575366653501987,"ARBUSDT,ATOMUSDT,BNBUSDT","APTUSDT,SEIUSDT,SUIUSDT",1.899301824316607,1.899301824316607,-6.938893903907228e-18,6,False,0.0,10247.71218240942,10223.536428929432,-23.59136658959604,-22.71464958573126,0.8767170038648138,0.389652001717695,99.90988220577714,-122.6245317915084,-13.249599948523926,3.1095979724217595,8,90973841,
15,2026-03-05 12:00:00+00:00,149,19,-0.0671412878093552,side,0.0592921338975429,"ATOMUSDT,LTCUSDT,RUNEUSDT","BCHUSDT,SEIUSDT,SUIUSDT",2.0,2.0,-1.3877787807814457e-17,6,False,0.0,10223.536428929432,10246.940862172689,22.8926980462744,24.023908636666857,1.1312105903914536,0.5027602623962015,-136.30487039715572,160.32877903382254,62.78852032133682,-52.330838821037865,10,90973841,
16,2026-03-05 16:00:00+00:00,149,19,-0.0833621588674844,side,0.0584848672151565,"ETHUSDT,LTCUSDT,RUNEUSDT","APTUSDT,SEIUSDT,UNIUSDT",2.0,2.0,-3.469446951953614e-18,6,False,0.0,10246.940862172689,10191.214116388875,-54.38378783811548,-53.55926299998923,0.8245248381265115,0.3664554836117828,5.08775478178193,-58.64701778177116,37.50004145353676,-94.8276958292116,9,90973841,
17,2026-03-05 20:00:00+00:00,149,19,-0.0486305295749901,side,0.04567476734519,"ATOMUSDT,BCHUSDT,RUNEUSDT","APTUSDT,OPUSDT,SEIUSDT",1.822198959933508,1.822198959933508,1.3877787807814457e-17,6,False,0.0,10191.214116388875,10195.515400678649,4.220580826432275,5.289402087929956,1.068821261496917,0.4750316717764075,-0.3624832865144253,5.65188537444438,20.3339263276748,-19.394397453947665,10,90973841,
18,2026-03-06 00:00:00+00:00,148,19,-0.0627950834631589,side,0.0691819041967392,"ATOMUSDT,BCHUSDT,RUNEUSDT","DOTUSDT,OPUSDT,SEIUSDT",1.769874157062694,1.769874157062694,5.204170427930421e-17,6,False,0.0,10195.515400678649,10153.330651630293,-41.37578865855693,-40.17887884228695,1.196909816269758,0.5319599183421146,83.1489460123414,-123.32782485462836,64.44935542790094,-100.67096885675718,9,0e1a8731,
19,2026-03-06 04:00:00+00:00,148,19,-0.0725485075601284,side,0.0522854998707771,"BCHUSDT,LTCUSDT,RUNEUSDT","ADAUSDT,APTUSDT,ARBUSDT",1.806419756141458,1.806419756141458,2.0816681711721685e-17,6,False,0.0,10153.330651630293,10070.394495039947,-81.68369516955372,-80.18369516955424,1.5000000000000004,0.6666666666666667,-7.525786025506807,-72.65790914404744,5.362766239817462,-88.74840811685677,10,0e1a8731,
20,2026-03-06 08:00:00+00:00,148,19,-0.0692166142974519,side,0.042011022567749,"BCHUSDT,LTCUSDT,UNIUSDT","ARBUSDT,SOLUSDT,SUIUSDT",1.77597374217067,1.77597374217067,2.0816681711721685e-17,6,False,0.0,10070.394495039947,10088.191434834484,17.672534877657373,18.95865063725368,1.2861157595970714,0.571607004265365,-197.2168318971182,216.17548253437184,-111.5397956603162,105.12356699062585,10,0e1a8731,
21,2026-03-06 12:00:00+00:00,148,19,-0.078915122279236,side,0.0456828102469444,"APTUSDT,ARBUSDT,AVAXUSDT","ETHUSDT,OPUSDT,SUIUSDT",1.6073620397515933,1.6073620397515933,4.163336342344337e-17,6,False,0.0,10088.191434834484,10127.669945811962,39.13338801359311,40.45294817704154,1.3195601634483831,0.586471183754837,-207.8910228432059,248.34397102024744,-72.19043811652331,61.866155989342026,11,0e1a8731,
22,2026-03-06 16:00:00+00:00,148,19,-0.0694194938830324,side,0.0555868446826934,"ARBUSDT,BCHUSDT,UNIUSDT","ADAUSDT,APTUSDT,OPUSDT",1.7121770561879777,1.7121770561879777,4.857225732735061e-17,6,False,0.0,10127.669945811962,10160.904811877284,32.815905576648305,34.14560926401149,1.3297036873627894,0.5909794166056841,52.27218408104787,-18.12657481703637,115.54737285895804,-103.69574172169712,10,0e1a8731,
23,2026-03-06 20:00:00+00:00,148,19,-0.0793675660856166,side,0.0648863166570663,"APTUSDT,ATOMUSDT,AVAXUSDT","ETHUSDT,RUNEUSDT,SEIUSDT",1.5341638305819485,1.5341638305819485,-6.938893903907228e-18,6,False,0.0,10160.904811877284,10187.959266805814,26.62602930489527,27.73909982021992,1.113070515325117,0.4946980068111631,22.915371606004086,4.823728214215829,29.54656919874981,-3.623141087514342,8,0e1a8731,
24,2026-03-07 00:00:00+00:00,147,19,-0.0676264410306963,side,0.0471549592912197,"AVAXUSDT,BCHUSDT,UNIUSDT","ETHUSDT,RUNEUSDT,SEIUSDT",1.5676970250557594,1.5676970250557594,0.0,6,False,0.0,10187.959266805814,10196.019070785023,7.911107384843485,8.980545098395593,1.0694377135512214,0.4753056504672095,-39.26983164254516,48.25037674094076,-17.46017950543768,20.58849470032241,9,00808060,
