symbol,feature,alpha_1d,alpha_3d,alpha_7d,raw,lift_1d,lift_3d,lift_7d
BTCUSDT,adx_15m,0.003249907419825606,0.006287093887294298,0.009785217823564262,0.010364935967988546,-0.007115028548162939,-0.004077842080694248,-0.0005797181444242832
BTCUSDT,atr_pct,-0.01074574134362845,-0.0066472794922369065,-0.007916536322018573,0.03405028536616846,-0.04479602670979691,-0.040697564858405366,-0.041966821688187037
BTCUSDT,atr_zscore_1d,-0.0020842186475942197,-0.005097731818270267,-0.002748586572744008,0.04241169352877348,-0.0444959121763677,-0.04750942534704374,-0.045160280101517486
BTCUSDT,bars_since_high,0.07001507343552728,0.07397731010482715,0.07583204021273066,0.05040595555734739,0.019609117878179885,0.02357135454747976,0.025426084655383263
BTCUSDT,bb_squeeze_20,-0.007532384940864131,-0.008301323688952053,-0.009918865814543995,-0.027551748607773888,0.020019363666909755,0.019250424918821833,0.017632882793229894
BTCUSDT,dist_resistance_20,0.010772673329893205,0.01112328382940113,0.00916319117255529,0.03510079260233827,-0.024328119272445062,-0.02397750877293714,-0.025937601429782978
BTCUSDT,dist_resistance_50,0.022697921496710512,0.022089846591597722,0.019806042967579228,0.03322111333282626,-0.01052319183611575,-0.011131266741228541,-0.013415070365247035
BTCUSDT,efficiency_96,-0.005454894898307478,-0.003463877514321336,-0.0003735897796969141,-0.0004568524125625401,-0.004998042485744938,-0.003007025101758796,8.326263286562602e-05
BTCUSDT,ema_slope_20_1h,-0.0802691113896234,-0.07958381106819153,-0.08014472013563215,-0.058765709572861,-0.021503401816762392,-0.020818101495330525,-0.021379010562771146
BTCUSDT,hour_cos,-0.03607074193574617,-0.03242161063014108,-0.03203976819872268,0.014274031940205396,-0.05034477387595157,-0.046695642570346474,-0.04631380013892808
BTCUSDT,hour_sin,0.004442365940510878,0.008976136801507596,0.008501110540289446,-0.017077414662675323,0.0215197806031862,0.02605355146418292,0.025578525202964768
BTCUSDT,realized_vol_1h,-0.005074993317322816,-0.0007409308261095459,-0.0016752266285708299,0.0339887792564863,-0.039063772573809115,-0.034729710082595844,-0.03566400588505713
BTCUSDT,return_1d,-0.07426946695283157,-0.07741149857468718,-0.07815278208622244,-0.060300200720940625,-0.013969266231890945,-0.017111297853746557,-0.01785258136528181
BTCUSDT,signed_volume,-0.008793827315969413,-0.007944788547388521,-0.009380756047311112,-0.010789964188659133,0.00199613687268972,0.0028451756412706114,0.0014092081413480204
BTCUSDT,tfi_smooth,0.0018009352479172924,0.0038058300041925288,0.0005861657238581967,-0.00201358012061677,0.0038145153685340627,0.005819410124809299,0.002599745844474967
BTCUSDT,volume_ma_20,-0.01204712243799642,-0.009490406188513417,-0.009436336854188529,0.026591626461862305,-0.03863874889985873,-0.036082032650375725,-0.036027963316050834
BTCUSDT,volume_ma_50,-0.01353230211754936,-0.009890967419702565,-0.010621145881574411,0.031814369227441464,-0.045346671344990826,-0.04170533664714403,-0.04243551510901587
BTCUSDT,vpin,0.011281437066657391,0.010673903109717818,0.01592596189728882,0.014395737789222596,-0.0031143007225652043,-0.0037218346795047774,0.0015302241080662228
ETHUSDT,adx_15m,-0.005138885114326842,-0.008963150412599558,-0.011712598559839698,0.008449179235429314,-0.013588064349756157,-0.01741232964802887,-0.020161777795269013
