symbol,feature,target,pearson,spearman
ETHUSDT,return_1d,alpha_1d,0.05436650477413681,0.017367960430862837
ETHUSDT,return_1d,alpha_3d,0.05952470442211239,0.01986141025489314
ETHUSDT,return_1d,alpha_7d,0.059960422424735246,0.021605237973843484
ETHUSDT,efficiency_96,raw,-0.005286096861954258,-0.00877325989603329
ETHUSDT,efficiency_96,alpha_1d,0.020169316492915777,0.009063384525296675
ETHUSDT,efficiency_96,alpha_3d,0.014809731992244569,0.00707280447565437
ETHUSDT,efficiency_96,alpha_7d,0.010996034202589211,0.0022785565392241577
ETHUSDT,adx_15m,raw,0.003016850057978655,0.008449179235429314
ETHUSDT,adx_15m,alpha_1d,0.012351597998871065,-0.005138885114326842
ETHUSDT,adx_15m,alpha_3d,0.0043033996879887635,-0.008963150412599558
ETHUSDT,adx_15m,alpha_7d,0.0022212614768217674,-0.011712598559839698
ETHUSDT,bars_since_high,raw,-0.013060690272706508,0.009928060293005816
ETHUSDT,bars_since_high,alpha_1d,-0.029049795275774757,-0.02513736752819351
ETHUSDT,bars_since_high,alpha_3d,-0.025433735271478332,-0.025390590548151612
ETHUSDT,bars_since_high,alpha_7d,-0.03569532226929546,-0.02956865253210504
ETHUSDT,atr_pct,raw,0.025959891000839855,0.04099380178131543
ETHUSDT,atr_pct,alpha_1d,0.02272917186825507,0.0408185950167289
ETHUSDT,atr_pct,alpha_3d,0.021877675398789345,0.040934517149902074
ETHUSDT,atr_pct,alpha_7d,0.02487997191425573,0.03826551510938791
ETHUSDT,realized_vol_1h,raw,0.02497182908732997,0.03227203139310533
ETHUSDT,realized_vol_1h,alpha_1d,0.015987444140732453,0.0265585807820987
ETHUSDT,realized_vol_1h,alpha_3d,0.016922281754939462,0.02614570769109609
ETHUSDT,realized_vol_1h,alpha_7d,0.019831349577612026,0.02453547134896414
ETHUSDT,dist_resistance_20,raw,-0.003984764956105355,0.032543927161238925
ETHUSDT,dist_resistance_20,alpha_1d,-0.01790083148522417,0.014057095865260983
ETHUSDT,dist_resistance_20,alpha_3d,-0.019623737445577223,0.016193421225963962
ETHUSDT,dist_resistance_20,alpha_7d,-0.018696549439424944,0.014893507910125135
ETHUSDT,dist_resistance_50,raw,-0.007131626183339333,0.03909343820682084
ETHUSDT,dist_resistance_50,alpha_1d,-0.019715950230135074,0.020819964564152967
ETHUSDT,dist_resistance_50,alpha_3d,-0.024534229735031256,0.022903012746884197
ETHUSDT,dist_resistance_50,alpha_7d,-0.025060976789492893,0.021572247513799016
ETHUSDT,volume_ma_20,raw,0.031974870480908336,0.03276949002499136
ETHUSDT,volume_ma_20,alpha_1d,0.03508935141901214,0.03416895196010981
ETHUSDT,volume_ma_20,alpha_3d,0.032677473081014465,0.03546953138666834
ETHUSDT,volume_ma_20,alpha_7d,0.0339850068047279,0.03362623379752788
ETHUSDT,volume_ma_50,raw,0.05151201919106633,0.043395447749478164
ETHUSDT,volume_ma_50,alpha_1d,0.05364368962754213,0.05139134062401847
ETHUSDT,volume_ma_50,alpha_3d,0.05037807342706706,0.051090076281059126
ETHUSDT,volume_ma_50,alpha_7d,0.052519382018972105,0.049493691199187825
ETHUSDT,ema_slope_20_1h,raw,0.0347086569295546,-0.03404252184249058
