symbol,feature,ic_alpha_pearson,ic_alpha_spearman,ic_raw_pearson,ic_raw_spearman,lift_spearman
BTCUSDT,excess_ret_3_vs_eth,0.01051780484132495,0.006438795956118876,0.0052193112657738135,0.009945296507653625,-0.0035065005515347494
BTCUSDT,excess_ret_12_vs_eth,0.025157856096238315,0.02258242996882837,0.008191257542427503,0.021777239147340068,0.0008051908214883018
BTCUSDT,excess_ret_48_vs_eth,0.03750479924150997,0.029098470233945174,0.011453678676853722,0.037112744217178244,-0.00801427398323307
BTCUSDT,beta_eth_1d,0.013750405910722772,0.0363000069435686,0.00622963673116167,0.02807275035643992,0.008227256587128681
BTCUSDT,corr_eth_1d,0.009501228473467556,0.02517760997001828,-0.0033099000589843566,0.016700018394441633,0.008477591575576648
BTCUSDT,spread_log_vs_eth,-0.021694421713864456,-0.036175972606541956,0.0396670758449435,0.03187078333682701,-0.06804675594336897
BTCUSDT,spread_zscore_1d_vs_eth,0.03469882697983164,0.029729533606307954,0.018826447929399102,0.05491703145784486,-0.025187497851536903
BTCUSDT,spread_zscore_7d_vs_eth,0.016757883684229296,0.025204137923236537,0.016100358242955415,0.0628146606585547,-0.03761052273531817
BTCUSDT,eth_atr_pct,-0.012015030296386994,-0.024041758117182475,0.011928421515404486,0.021012164102140195,-0.04505392221932267
BTCUSDT,eth_return_1d,-0.04003659796919836,-0.05073017864905546,-0.022560615518016882,-0.06662225755449891,0.015892078905443446
BTCUSDT,eth_ema_slope_20_1h,-0.05545743036904721,-0.07219161489448368,-0.020793375634533966,-0.07471878206479016,0.002527167170306474
BTCUSDT,eth_realized_vol_1h,-0.006937110777696983,-0.014590145645798034,0.015517586661073283,0.018435323716073013,-0.03302546936187105
BTCUSDT,eth_atr_zscore_1d,0.0023153698853283023,0.0016990000756492373,0.013128330205186337,0.04308437465159725,-0.041385374575948014
BTCUSDT,eth_vpin,0.03517594673873875,0.0394859385842695,0.03202251768630904,0.03265821552620319,0.0068277230580663095
BTCUSDT,eth_tfi_smooth,-0.034863709327553956,-0.03000368505906185,-0.004233760329251439,-0.0036348102284395395,-0.02636887483062231
BTCUSDT,eth_signed_volume,-0.019971179312330615,-0.012162097409609125,-0.008987155865147199,-0.007382940668128823,-0.004779156741480301
ETHUSDT,excess_ret_3_vs_btc,0.010864390722181693,-0.004340733199484253,0.003961715630026001,-0.009055185177114065,0.004714451977629812
ETHUSDT,excess_ret_12_vs_btc,0.028736419976738484,0.00480864106649669,0.012888491340968183,-0.012731172439712099,0.017539813506208788
ETHUSDT,excess_ret_48_vs_btc,0.04542165369002779,-0.0011715248232378737,0.02667498856444945,-0.02297174289482758,0.021800218071589706
ETHUSDT,beta_btc_1d,0.009562860937279788,0.01983448766595428,0.006062564288107159,0.002771761294028448,0.01706272637192583
ETHUSDT,corr_btc_1d,-0.03014919914725441,-0.021693032641433203,-0.023587961717324614,-0.014675041412749017,-0.007017991228684186
ETHUSDT,spread_log_vs_btc,-0.0659834019599855,-0.0899399458634218,-0.07444799333571021,-0.08043130072004798,-0.009508645143373823
ETHUSDT,spread_zscore_1d_vs_btc,0.04145474201966861,-0.00985050867373421,0.016214022946712613,-0.044200844614257565,0.034350335940523356
ETHUSDT,spread_zscore_7d_vs_btc,0.034140937897310306,-0.021683159942334763,0.014464252094691873,-0.045441037917656024,0.02375787797532126
ETHUSDT,btc_atr_pct,0.016201740809972904,0.033870398223217545,0.02006278833253724,0.04235129519638298,-0.008480896973165439
ETHUSDT,btc_return_1d,0.06572732104493043,0.051998808939429174,0.01865364227133553,-0.009410718305464106,0.06140952724489328
ETHUSDT,btc_ema_slope_20_1h,0.08483122699830024,0.05507180496466237,0.031675453714425525,-0.008061320296909532,0.0631331252615719
ETHUSDT,btc_realized_vol_1h,0.010923662502705296,0.02611821346109382,0.018725058679502683,0.041987725868524756,-0.015869512407430935
ETHUSDT,btc_atr_zscore_1d,0.004819974789728908,0.03074618374866266,0.0057329890524087665,0.05397282988901603,-0.023226646140353368
ETHUSDT,btc_vpin,-7.555831978944998e-05,-0.00856355364496403,0.00037635117245889225,0.008473962556453545,-0.017037516201417573
ETHUSDT,btc_tfi_smooth,-0.003927506969666029,-0.007508595436205521,0.000916127448544562,-0.0035929167904591316,-0.003915678645746389
ETHUSDT,btc_signed_volume,0.022015060064179772,0.001749558628318386,0.009128970970019004,-0.007945453820220856,0.009695012448539243
SOLUSDT,excess_ret_3_vs_btc,-0.011906884724595888,-0.009670858191143963,-0.013455607008613183,-0.0062601832022341165,-0.003410674988909846
SOLUSDT,excess_ret_12_vs_btc,-0.006742468839110723,-0.014246273528162434,-0.01018238274683857,-0.007425041946232229,-0.006821231581930205
SOLUSDT,excess_ret_48_vs_btc,-0.021518879794208804,-0.0359292183549604,-0.016066557586379225,-0.027523618228940526,-0.008405600126019874
SOLUSDT,beta_btc_1d,-0.016350489996390563,-0.009777797344133076,-0.020558363450902197,-0.01759020609169448,0.007812408747561403
SOLUSDT,corr_btc_1d,-0.00021390138770063194,0.00843226819775692,0.005839085923454809,0.009996983597258853,-0.0015647153995019328
SOLUSDT,spread_log_vs_btc,-0.05207843667774691,-0.06951535608509524,-0.05885208095496469,-0.06661695981127361,-0.0028983962738216296
SOLUSDT,spread_zscore_1d_vs_btc,-0.02674774648629485,-0.05250225414741944,-0.02093882201445525,-0.04646545860525005,-0.00603679554216939
SOLUSDT,spread_zscore_7d_vs_btc,-0.019629872062820165,-0.0448057648229686,0.0003747645884239385,-0.02250337547082316,-0.02230238935214544
SOLUSDT,btc_atr_pct,0.025374438535141895,0.016556412236434396,0.017187926954592456,0.024145428418317065,-0.007589016181882669
SOLUSDT,btc_return_1d,0.016958179666403474,0.012090218600834871,-0.0070469080105504045,-0.021327306402834593,0.033417525003669464
SOLUSDT,btc_ema_slope_20_1h,0.028556440932323846,0.020196755655969685,0.0017145809081364424,-0.012525766848800168,0.032722522504769855
SOLUSDT,btc_realized_vol_1h,0.02591698598209272,0.01790960422561209,0.01914167444807417,0.02807472493842725,-0.01016512071281516
SOLUSDT,btc_atr_zscore_1d,-0.006157980752157493,-0.003094491726368869,-0.0007527969224849799,0.026691932924700526,-0.029786424651069395
SOLUSDT,btc_vpin,0.004934874809779524,-0.007868693191608832,0.0019052024269297437,0.010046485814986777,-0.01791517900659561
SOLUSDT,btc_tfi_smooth,0.001546251655922712,0.0008290380384555257,0.00493553625666464,0.002914906366732213,-0.0020858683282766874
SOLUSDT,btc_signed_volume,0.00687316311115252,0.005028298047624329,0.0010470433060556542,-0.0042913293923182985,0.009319627439942628
