tag,N,sharpe,lo,hi,pc,total
persym-selfstd-44,44,-0.11429204943143692,-2.797556800838303,2.251077167347374,-0.27580328696585305,-446.8013248846819
persym-selfstd-drop2-42,42,-0.34644621054540364,-3.047628497504445,2.0579460443505133,-0.7191963662839119,-1165.0981133799373
drop2-lagged-tic,42,0.0,0.0,0.0,0.0,0.0
