cycle_id,open_time,regime,btc_ret_30d,top_k_long,bot_k_short,gross_target,gross_after_stop,stop_engaged,long_ret_bps,short_ret_bps,pnl_bps
1422,2026-05-29 00:00:00+00:00,side,-0.0349177642356332,"HYPEUSDT,SEIUSDT,XLMUSDT","BCHUSDT,MEUSDT,XMRUSDT",2.0,2.0,False,3.051713758964108,46.66752592387687,48.611277352927466
1423,2026-05-29 04:00:00+00:00,side,-0.0464568915520392,"FETUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEUSDT,XMRUSDT",2.0,2.0,False,122.65997046872798,-82.73289600939357,38.972403656255125
1424,2026-05-29 08:00:00+00:00,side,-0.0437533768338805,"ASTERUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEUSDT,RSRUSDT",2.0,2.0,False,-133.8697597770007,181.45416714505248,46.85679081298141
1425,2026-05-29 12:00:00+00:00,side,-0.0522174969231026,"HYPEUSDT,RUNEUSDT,XLMUSDT","MEUSDT,STXUSDT,SUPERUSDT",2.0,2.0,False,333.04867826180714,-199.4102621604161,132.42515525454306
1426,2026-05-29 16:00:00+00:00,side,-0.0286576486389426,"FETUSDT,HYPEUSDT,XLMUSDT","BERAUSDT,IPUSDT,MEUSDT",2.0,2.0,False,129.43788156907655,83.76358898030867,212.13964041943296
1427,2026-05-29 20:00:00+00:00,side,-0.0271902404049037,"CCUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEUSDT,SYRUPUSDT",2.0,2.0,False,25.10973437344059,-43.88547843832495,-19.73875874182481
1428,2026-05-30 00:00:00+00:00,side,-0.0312081409328394,"HYPEUSDT,POLYXUSDT,XLMUSDT","BCHUSDT,MEUSDT,SYRUPUSDT",2.0,2.0,False,228.6991398195357,-110.60500981486534,117.39329092720956
1429,2026-05-30 04:00:00+00:00,side,-0.0306533730716304,"HYPEUSDT,RUNEUSDT,XLMUSDT","BCHUSDT,MEMEUSDT,SYRUPUSDT",2.0,2.0,False,-67.33664553824448,64.17648402556085,-4.039244151070226
1430,2026-05-30 08:00:00+00:00,side,-0.0343412132651869,"FETUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEMEUSDT,TNSRUSDT",2.0,2.0,False,156.1530873222335,-22.156471084878028,133.132145556954
1431,2026-05-30 12:00:00+00:00,side,-0.0330428816105807,"ALGOUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEMEUSDT,ZORAUSDT",2.0,2.0,False,-16.02073657389319,-56.01907429208541,-73.16075632399034
1432,2026-05-30 16:00:00+00:00,side,-0.03348913529909,"HYPEUSDT,RUNEUSDT,XLMUSDT","ASTERUSDT,BCHUSDT,MEMEUSDT",2.0,2.0,False,23.63494726644109,-1.356890509802697,21.0217080751706
1433,2026-05-30 20:00:00+00:00,side,-0.0322324212687881,"BNBUSDT,HYPEUSDT,XLMUSDT","ASTERUSDT,DOTUSDT,SYRUPUSDT",2.0,2.0,False,-135.28146364783188,105.91790641655392,-30.448237656340687
1434,2026-05-31 00:00:00+00:00,side,-0.0339757308732804,"BNBUSDT,HYPEUSDT,XLMUSDT","ASTERUSDT,SYRUPUSDT,XMRUSDT",2.0,2.0,False,213.1202338385238,-114.54451140611108,97.4469552792832
1435,2026-05-31 04:00:00+00:00,side,-0.0382488562969191,"BNBUSDT,HYPEUSDT,NXPCUSDT","ASTERUSDT,MEMEUSDT,XMRUSDT",2.0,2.0,False,-83.65983169839699,-2.4417959576879387,-87.28045946867715
1436,2026-05-31 08:00:00+00:00,side,-0.0407205228839604,"BNBUSDT,HYPEUSDT,NXPCUSDT","MEMEUSDT,MEUSDT,POLYXUSDT",2.0,2.0,False,74.48157031699482,-2.241314548961808,71.1512646737076
1437,2026-05-31 12:00:00+00:00,side,-0.0462734563676047,"BNBUSDT,HYPEUSDT,XLMUSDT","ASTERUSDT,MEMEUSDT,ZORAUSDT",2.0,2.0,False,-23.15197145947701,81.86201760507446,57.7556307213808
1438,2026-05-31 16:00:00+00:00,side,-0.0628674669669383,"ALGOUSDT,HYPEUSDT,XLMUSDT","MEMEUSDT,WCTUSDT,ZORAUSDT",2.0,2.0,False,-40.45277907962049,-67.96559855488044,-109.60996272576908
1439,2026-05-31 20:00:00+00:00,side,-0.0605515151283042,"NXPCUSDT,POLYXUSDT,XLMUSDT","MEMEUSDT,WCTUSDT,ZORAUSDT",1.9335101418456453,1.9335101418456453,False,206.8739694083355,-176.75720171090495,28.71886917825424
1440,2026-06-01 00:00:00+00:00,side,-0.0560995439019901,"HYPEUSDT,SUPERUSDT,XLMUSDT","MEMEUSDT,POLYXUSDT,ZORAUSDT",1.7995337808824403,1.7995337808824403,False,63.74031176846344,202.85190560505671,265.4201405648401
1441,2026-06-01 04:00:00+00:00,side,-0.0589078277913968,"HYPEUSDT,NXPCUSDT,XLMUSDT","BERAUSDT,MEMEUSDT,ZORAUSDT",1.7995337808824403,1.7995337808824403,False,-152.64790687073588,325.016388227471,171.5012412218059
1442,2026-06-01 08:00:00+00:00,side,-0.068613515958134,"FETUSDT,HYPEUSDT,XLMUSDT","BCHUSDT,MEMEUSDT,SYRUPUSDT",1.810501074035864,1.810501074035864,False,94.01810860429651,113.34493134079744,206.2134683631108
1443,2026-06-01 12:00:00+00:00,side,-0.0742792968149734,"HYPEUSDT,NXPCUSDT,XLMUSDT","BCHUSDT,BERAUSDT,YGGUSDT",1.810501074035864,1.810501074035864,False,-244.0563345351228,-54.13562188347553,-299.3843321648021
1444,2026-06-01 16:00:00+00:00,side,-0.0933262613267916,"FETUSDT,HYPEUSDT,XLMUSDT","MEMEUSDT,YGGUSDT,ZORAUSDT",1.810501074035864,1.810501074035864,False,166.829532949054,-174.38621869014372,-8.230832007145036
1445,2026-06-01 20:00:00+00:00,side,-0.0880576934112951,"CCUSDT,NXPCUSDT,XLMUSDT","BERAUSDT,MEMEUSDT,YGGUSDT",2.0,2.0,False,-32.425961874888195,46.962234179672194,13.516281511791192
1446,2026-06-02 00:00:00+00:00,side,-0.0936818009072664,"FETUSDT,HBARUSDT,NXPCUSDT","LINEAUSDT,SUSHIUSDT,YGGUSDT",2.0,2.0,False,57.023221891104335,61.59987925237731,117.12310114348158
1447,2026-06-02 04:00:00+00:00,side,-0.0922385392962185,"HBARUSDT,HYPEUSDT,SEIUSDT","RENDERUSDT,SYRUPUSDT,ZORAUSDT",2.0,2.0,False,-175.4896907424206,264.4006114066416,87.77777152041934
1448,2026-06-02 08:00:00+00:00,side,-0.1070857663372196,"BNBUSDT,HBARUSDT,HYPEUSDT","BCHUSDT,YGGUSDT,ZORAUSDT",2.0,2.0,False,23.7637586670079,-100.96798555782712,-78.32917841424002
1449,2026-06-02 12:00:00+00:00,side,-0.1174731363821754,"ASTERUSDT,HBARUSDT,HYPEUSDT","METUSDT,XMRUSDT,ZORAUSDT",2.0,2.0,False,-202.6122391392258,355.42481459957065,151.44648443764947
1450,2026-06-02 16:00:00+00:00,bear,-0.1428880209127988,"HYPEUSDT,XLMUSDT","POLYXUSDT,ZORAUSDT",2.0,2.0,False,-80.63177211145671,34.70453787607269,-46.67634272456176
1451,2026-06-02 20:00:00+00:00,bear,-0.145295105069273,"HBARUSDT,XLMUSDT","SYRUPUSDT,ZORAUSDT",2.0,2.0,False,-98.18876819378924,173.20847765389684,73.61295398469247
1452,2026-06-03 00:00:00+00:00,bear,-0.1496248671165371,"FETUSDT,XLMUSDT","BCHUSDT,ZORAUSDT",2.0,2.0,False,11.91164506580087,-89.49384426506111,-78.96735664571449
1453,2026-06-03 04:00:00+00:00,bear,-0.1736694225150743,"NXPCUSDT,XLMUSDT","BCHUSDT,ZORAUSDT",2.0,2.0,False,307.3499801093519,-164.3624665800111,141.6218753785586
1454,2026-06-03 08:00:00+00:00,bear,-0.1558861805775386,"NXPCUSDT,XLMUSDT","BCHUSDT,ZORAUSDT",2.0,2.0,False,-69.57988847553402,-44.262527686132366,-115.02580387994745
1455,2026-06-03 12:00:00+00:00,bear,-0.1484044754406766,"HBARUSDT,XLMUSDT","BCHUSDT,ZORAUSDT",2.0,2.0,False,-158.3025409490801,588.9076367020606,429.60006572586326
1456,2026-06-03 16:00:00+00:00,bear,-0.1729020690482977,"HBARUSDT,XLMUSDT","BCHUSDT,MEMEUSDT",2.0,2.0,False,-243.39930620044467,101.1291379109025,-143.3951682895423
1457,2026-06-03 20:00:00+00:00,bear,-0.1835190301162705,"HBARUSDT,PROVEUSDT","BCHUSDT,SUSHIUSDT",2.0,2.0,False,-27.625627893333625,-112.175183215489,-140.9258111088222
1458,2026-06-04 00:00:00+00:00,bear,-0.1954781229557306,"HYPEUSDT,PROVEUSDT","BCHUSDT,MEMEUSDT",2.0,2.0,False,43.87109035936494,-280.25432489812374,-237.50823453875915
1459,2026-06-04 04:00:00+00:00,bear,-0.2026419788503199,"FETUSDT,XLMUSDT","MEMEUSDT,SUSDT",2.0,2.0,False,-255.78430538492583,188.9481364438931,-67.96116894103261
