feature,coef_mean,coef_std,coef_min,coef_max,sign_pos_folds,sign_neg_folds,abs_mean_over_std,loo_net_sharpe,loo_gross_k3_bps,loo_decile_rho,delta_net_sharpe_vs_ref,delta_gross_k3_vs_ref
beta_to_btc_change_5d,0.012687005058704983,0.004002949787068495,0.007440356533630045,0.02176515874309204,9,0,3.169413990575219,1.7376524498622707,47.15603600274291,0.6121212121212121,-0.5556357336495825,-14.94116069135189
beta_to_btc_change_5d_sq,-0.004176961298141533,0.0060272529451745275,-0.013905968657641245,0.00816816595290132,1,8,0.6930124446636415,1.8245774025590893,49.877353543734785,0.7818181818181817,-0.468710780952764,-12.219843150360013
corr_to_btc_1d,0.004852851095467706,0.006532794752911628,-0.008359288289736998,0.014527726220840309,8,1,0.7428445679094416,1.7714836765039956,50.38922113708058,0.8181818181818182,-0.5218045070078576,-11.707975557014215
corr_to_btc_1d_sq,0.01973364599495347,0.009691258204569154,0.0043250822931759116,0.03535273332549216,9,0,2.036231578852126,2.7970572344359272,75.0379129513246,0.5636363636363636,0.503769050924074,12.940716257229802
corr_to_btc_change_3d,0.007166245504294426,0.003402204773056307,0.003357081710964223,0.012011982456666803,9,0,2.106353374449229,2.6629742115855692,73.60619176198932,0.709090909090909,0.369686028073716,11.508995067894524
corr_to_btc_change_3d_sq,0.0028333288083192886,0.002992740475650668,-0.0017921497144413046,0.008650994429899098,8,1,0.9467338819959921,2.2711390952138104,61.98842709584454,0.709090909090909,-0.02214908829804285,-0.10876959825025523
dom_btc_change_288b_sq,-0.017805254902899262,0.014389132077585068,-0.03807603276470761,0.007909584594589491,1,8,1.2374099290280143,1.8921974384255944,53.79409317724204,0.6969696969696969,-0.40109074508625886,-8.303103516852758
dom_btc_z_1d,-0.009125448156204375,0.004845765626614287,-0.017905731155206092,-0.004370268452106321,0,9,1.8831798438795486,2.0130141163148103,56.97578214998722,0.8424242424242423,-0.28027406719704295,-5.12141454410758
return_1d_sq,0.03980760070455994,0.020064631892363446,0.009166694300041158,0.07100122200676107,9,0,1.9839686528069633,1.848771842375446,54.77555558086296,0.7939393939393938,-0.44451634113640726,-7.321641113231841
