fold,feature,coef,alpha
1,sq,0.04979260124740465,1000.0
1,btcrel,-0.00012566874613531445,1000.0
2,sq,0.006498048297483156,10000.0
2,btcrel,-0.00046460758537280884,10000.0
3,sq,0.024840419448823828,1000.0
3,btcrel,0.011096453868250396,1000.0
4,sq,0.028517675098159993,1000.0
4,btcrel,0.01802491548393524,1000.0
5,sq,0.0492719189869811,1000.0
5,btcrel,0.0170480887722054,1000.0
6,sq,0.04781405998582941,1000.0
6,btcrel,0.013343356206836623,1000.0
7,sq,0.04363276188788409,1000.0
7,btcrel,0.012984462593995006,1000.0
8,sq,0.04344370820635874,1000.0
8,btcrel,0.006843693775911515,1000.0
9,sq,0.03602643488508557,1000.0
9,btcrel,0.00514295471294694,1000.0
