P1,P2
-1.23929613187092,-2.619797235926483
0.9995574532544574,-2.756083670029946
0.9582292473497278,-0.3276235501627486
0.7994300134677406,0.09931895142079823
0.28258572781740965,-2.088859785296496
-1.6012691246621638,-1.8731457559989488
-0.9605388575882069,-0.9488683522686354
-0.4033755875514932,0.16365260730910078
-0.8513643888194374,0.7335270676068019
0.5745056793593061,-1.0276928463809756
-0.11555340696738799,0.4455495449929092
0.7140356262091573,0.0005151206114403411
-0.047252578027141355,2.0699619807605627
-1.284947609972949,-1.0009445502260939
-0.660715363732626,-0.4511785365916993
2.62786735943407,-0.8767791973662692
-0.8869965794225391,0.10877111631322359
1.279633476819948,2.525219117801573
0.2079966851001706,-1.777340707405979
-0.6420227487763841,0.9551418973432528
0.9345021585025125,-2.3582072474762668
-0.06904979664863381,1.5867546566599053
-2.665312097775797,0.7566342359418897
0.01866700123822513,-0.6384165718254432
-0.1931782840424925,1.6950839154455024
0.21348057636620435,0.8102791679595095
-1.6974801519532152,-0.13375216735889303
-1.3624276295597775,0.27267295809139375
-0.9488032308539117,-1.4102827027021734
0.2474654814343576,-0.8186910847686785
-0.6526939259673602,-0.5209973921537674
0.764718656612569,-1.3598186942809862
-0.37757237499893503,0.3477268900445903
1.3564773806991193,0.1251501915031516
-1.3483701638423253,-0.045336809068187725
-1.376595159052031,-0.9700943116697547
-1.0993901335263525,1.4877958437669114
-0.9795944112865085,-1.3681615795656012
3.337986986745638,1.1169960804044365
0.362688686126184,-0.7230535055755162
-0.46513563235338434,-0.38166158647477993
-1.1392248074451512,0.8277107153889656
-3.5655248320867634,-0.5105973078930377
-0.13239504011784872,-1.6810642397983993
-2.0121458159852583,0.023341465555250622
0.04053737481318425,-0.5796074860151433
1.4112424510635613,-2.408383229257046
0.6040014740673256,0.17787307502066366
1.057195014940348,0.5301992889064513
0.9769847726589503,1.4159687322739412
-0.5865573940053522,-0.19562533931666592
0.1606082296570517,0.303111925740222
-0.35405558624345534,0.8655602154315186
-1.999836555844353,0.9673946039030953
0.906522772109988,-1.3058815829326695
0.2593810574249248,-1.3106864531514004
-0.45621540521376913,0.6919087982642921
-0.3255559004204002,-0.07559845148259202
2.197650933035521,-0.9589806371091278
-1.047635649033232,0.7732559517815601
-1.3915734069222037,-0.23918198300481708
2.080287503060244,-1.4514830101611615
-0.7859485985644759,-1.2378129864725609
-0.705278765240578,-1.9686238855996279
0.1512343531094379,-1.6907033760122163
1.3560730629192095,0.6736111403926404
-1.8593684532675914,1.6080300487548604
0.14129063012326423,-1.0406630816795703
-1.053946252249597,-0.02228168847672759
2.3765613349745554,-1.5823383061853196
1.9522734970289595,-0.49152330625547014
-0.08818230484681325,-0.22436702647123852
0.49375725814055454,-0.4991375636352461
-0.7715937081172173,2.5236366115921127
-2.2085023310465597,-1.254199537658306
-1.0859794277697425,-0.4358242565758341
-1.2994043832582942,1.2597264476175538
-1.6599127533574178,0.8550441854132197
-1.286514213185959,0.8923864039310366
0.6386966795103441,-0.46941151401448294
-0.625423953167402,-2.3907387702591896
-0.3349504501413502,-0.11330726421110046
-2.7189245719799455,-0.7229631081351622
-1.2958487533130534,-0.7545969748523786
-1.2214745101397426,-0.5931233382025536
1.4272828096170511,-0.8576892479813074
-1.3680334447634452,1.259724778569099
0.6448224261234737,-0.3110971543973913
-1.3406562142839682,-3.539645122598619
-0.32298448840530025,2.19704495207962
-0.4159443843172265,-2.420184471529422
1.5840113158319233,-1.0894597062860119
1.6650767837347134,-0.7637538897434121
0.09595983041219788,-1.5139086694397106
-0.0035385956522286702,-0.6982810463531541
0.8927801313519653,-0.900926088876927
-1.9418983727236259,-0.810352684270916
-1.3464797434223983,-1.4679648679123405
0.45158427828908615,-0.2589467372481878
-0.8438462031813112,0.06693800753265534
