variant,A_sharpe,B_sharpe,B_folds_pos,overall_ic,B_end_eq
V0 standard,0.5175341024915976,0.6680261488939825,5,-0.0019154755202155707,113.1715397302513
V1 proper (fixed),0.3240233439502374,1.2053761872301494,4,0.0008468581654081377,124.4263539294746
V2 proper + short,0.9856895240607784,2.1930043451191286,7,-0.0007058042506202314,144.2217156604027
