K,n_cyc,long_bps,short_bps,spread_bps,spread_t,spread_pos_pct
1,1620,-2.185093354607185,13.721136061671984,-15.90622941627917,-1.739694202031888,0.5271604938271605
2,1620,-0.27172596137419264,3.3720754410532443,-3.643801402427437,-0.5870417254560326,0.5345679012345679
3,1620,0.6563259274747373,2.683779327862197,-2.027453400387458,-0.4123884962349291,0.5166666666666667
5,1620,1.5218425137715241,3.198007544993002,-1.676165031221478,-0.4649130137021855,0.5191358024691358
10,1620,2.105492113229289,3.058878364740456,-0.9533862515111673,-0.38628894137906644,0.5080246913580246
