bin,mean_bps,t,pos_pct,n_cyc
0,3.11096201857321,0.7010123826214132,0.48271604938271606,1620
1,3.2310129688259037,0.8138756989479199,0.4901234567901235,1620
2,2.672889236585,0.7500953081048397,0.4882716049382716,1620
3,-1.7586126069685224,-0.5302625391887,0.47469135802469137,1620
4,2.9808948127329624,0.8928478142004812,0.4901234567901235,1620
5,1.938966450200357,0.6324781867334921,0.49382716049382713,1620
6,1.3605440774472002,0.48385587963743765,0.48703703703703705,1620
7,0.5953107081144657,0.2205762438354872,0.49382716049382713,1620
8,3.0876032960964532,1.190941792374962,0.49444444444444446,1620
9,1.3426316787381243,0.7204982250174401,0.5104938271604939,1620
