band,n_cyc,spread_bps,spread_t,pos_pct
D9 / D0,1620,-1.7683303398350858,-0.4851687392149388,0.5203703703703704
D8-9 / D0-1,1620,-0.9649292275007526,-0.365336523799057,0.5123456790123457
D7-9 / D0-2,1620,-1.3110068364101046,-0.6273717840902495,0.5141975308641975
D6-8 / D1-3 (interior),1620,0.29938949440524604,0.19767663406975144,0.5141975308641975
D5-9 / D0-4 (half-split),1620,-0.4165140092330169,-0.28716161720178873,0.5080246913580246
