trend_bucket,macro,cycles,mean_spread_bps,median_spread_bps,positive_cycle_frac,long_alpha_bps,short_alpha_edge_bps,periods_ge_30cyc,positive_period_frac,worst_period_spread_bps,best_period_spread_bps,fit_class
bear_deep_lt_-20,bear,277,143.39821369122754,59.41603085375391,0.5379061371841155,-4.833934597016668,148.2321482882442,2,1.0,121.12384062347697,216.06949146755642,CONDITIONAL
bear_mid_-20_-15,bear,256,-63.82293949991791,-18.367776065133512,0.49609375,20.529926459840198,-84.3528659597581,4,0.5,-481.39673779126076,220.31781993259105,AVOID
bear_mild_-15_-10,bear,604,203.7684165330403,131.43336029315833,0.6026490066225165,134.13848282974394,69.62993370329637,5,0.8,-3.517732244601087,331.4891509890495,CONDITIONAL
side_down_-10_-5,side,742,50.24273773395634,28.50799573934637,0.5256064690026954,49.587191010765224,0.6555467231911117,5,0.8,-30.268245191673916,221.02700349197667,CONDITIONAL
side_flat_-5_+5,side,2512,1.258912421055229,10.383495828136802,0.5111464968152867,-11.586867224859926,12.845779645915156,5,0.4,-70.61270355305595,77.6231264241943,FRAGILE
side_up_+5_+10,side,860,116.9932038098971,42.35284053720534,0.536046511627907,-4.6868628385810025,121.68006664847809,5,0.8,-100.29567435825699,549.7104197005357,CONDITIONAL
bull_mild_+10_+15,bull,808,-1.500084317138902,0.16216072253882885,0.5,-51.626805257243255,50.126720940104356,5,0.6,-222.0156777108811,103.39429542329255,FRAGILE
bull_hot_+15_+20,bull,378,-38.13860767124687,-9.23359941225499,0.4894179894179894,21.75028278682875,-59.888890458075615,4,0.0,-118.62126679322198,-4.411843981531485,AVOID
bull_deep_gt_+20,bull,1050,-47.14450170756013,-15.118135488592088,0.48857142857142855,-0.12575579887652566,-47.01874590868361,3,0.0,-301.85744942825653,-4.083789116528994,AVOID
