gate,bucket,n,edge_sum,edge_mean,long_mean,short_mean
btc_no_bull,traded_winners,2112,1236609.7175118395,585.5159647309846,297.5105318365665,288.0054328944181
btc_no_bull,traded_losers,1918,-1052047.1237106363,-548.5125775342212,-310.8107925100859,-237.70178502413535
btc_no_bull,missed_winners,589,384245.891970819,652.3699354343277,351.4089649595234,300.96097047480424
btc_no_bull,saved_losers,678,-468100.8310338001,-690.4142050646019,-406.38831949112426,-284.0258855734776
bucket_report_card,traded_winners,1649,1035775.3495586137,628.1233168942473,338.30457413554177,289.8187427587055
bucket_report_card,traded_losers,1474,-869087.744369447,-589.6117668720807,-328.59888603931466,-261.01288083276603
bucket_report_card,missed_winners,1052,585080.2599240446,556.1599428935785,263.74323274760394,292.41671014597466
bucket_report_card,saved_losers,1122,-651060.2103749893,-580.2675671791349,-345.19752462333076,-235.07004255580412
btc_bear_only,traded_winners,525,349208.4001937974,665.158857511995,336.7640214761542,328.3948360358408
btc_bear_only,traded_losers,413,-245527.14068191109,-594.4967086729082,-310.7928222280568,-283.7038864448513
btc_bear_only,missed_winners,2176,1271647.2092888611,584.3966954452487,302.6291416934774,281.76755375177123
btc_bear_only,saved_losers,2183,-1274620.8140625253,-583.8849354386282,-340.49882962397595,-243.38610581465224
tree_d2,traded_winners,1704,962619.3079024854,564.9174342150736,277.71509406758986,287.20234014748365
tree_d2,traded_losers,1582,-864731.6339510784,-546.606595417875,-324.79034818874055,-221.81624722913446
tree_d2,missed_winners,997,658236.3015801731,660.2169524374856,363.1851587851701,297.03179365231546
tree_d2,saved_losers,1014,-655416.3207933579,-646.3671802695837,-352.90734695733664,-293.45983331224716
