open_time,period,macro_regime,trend_bucket,edge_bps,long_edge_bps,short_edge_bps,btc_ret_30d,model_bucket,pred_gap,long_ret3d,short_ret3d,long_trail3_resid,short_trail3_resid
2025-07-09 08:00:00+00:00,2025H2,side,side_flat,-7510.605073766783,302.560122217983,-7813.165195984766,0.0299050508476823,side|conf_hi|long_knife|short_normal,0.8266653120517731,-0.1053659364917641,0.1391881865251544,-143.07555742561817,492.9801635444164
2025-07-09 04:00:00+00:00,2025H2,side,side_flat,-6559.099722653627,296.25459806993604,-6855.354320723563,0.0255051473198437,side|conf_lo|long_knife|short_normal,0.5991730391979218,-0.1099899091826438,0.0843253256497394,60.0246898829937,378.6656470037997
2026-05-11 12:00:00+00:00,2026,bull,bull_mild,-5010.6569833587855,-867.5438712816685,-4143.113112077117,0.1131838850516044,bull|conf_hi|long_normal|short_squeeze,1.042519360780716,-0.0112939657954178,0.2006635235676308,-243.85519791394472,1367.711869534105
2025-05-05 12:00:00+00:00,2025H1,bull,bull_mild,-4667.072354350239,-5257.676849141717,590.6044947914779,0.1252588959525933,bull|conf_hi|long_normal|short_normal,0.8424379378557205,0.0531690380556877,-0.1337510594418842,-591.5282480418682,-26.28350048325956
2025-05-05 20:00:00+00:00,2025H1,bull,bull_mild,-4530.7229505851865,-5185.708408243954,654.9854576587677,0.1375484652860596,bull|conf_lo|long_normal|short_normal,0.7642567157745361,0.0103216514642343,-0.0977494187348166,-980.400051921606,-65.82179921679199
2025-05-05 16:00:00+00:00,2025H1,bull,bull_mild,-4526.418078457937,-5292.249517515302,765.8314390573651,0.1348747591522157,bull|conf_lo|long_normal|short_normal,0.7583088278770447,-0.0059986595174262,-0.1013866783006358,-619.2114390432835,447.2894634818658
2025-07-10 04:00:00+00:00,2025H2,side,side_flat,-4016.453484073281,1260.0765563547611,-5276.530040428042,0.0126486397692946,side|conf_hi|long_normal|short_squeeze,1.2246534824371338,0.004922377887164,0.9058775489189568,-472.3315173760057,8189.459568820894
2026-05-11 20:00:00+00:00,2026,bull,bull_mild,-3974.01450201869,-1151.6007501631975,-2822.4137518554926,0.1156571161102197,bull|conf_hi|long_normal|short_squeeze,1.1790562868118286,0.0608165882855922,0.2859771797631862,-297.78333380818367,1302.9006170108914
2025-05-07 08:00:00+00:00,2025H1,bull,bull_deep,-3729.370427899994,-3328.471864806488,-400.8985630935058,0.2784665930111762,bull|conf_lo|long_knife|short_normal,0.5714887529611588,-0.4174663509471585,0.0487179634802674,539.5038006827235,-221.2003592285328
2025-05-08 16:00:00+00:00,2025H1,bull,bull_deep,-3714.7988095784967,-202.49058958143,-3512.3082199970668,0.2832980513904148,bull|conf_hi|long_normal|short_squeeze,0.860232412815094,0.427977016049138,0.2804872300479714,1371.9921000301838,1674.7049055993557
2024-11-23 20:00:00+00:00,2024,bull,bull_deep,-3634.695069049485,516.5451270295307,-4151.240196079016,0.4306421805574107,bull|conf_hi|long_normal|short_squeeze,1.3307434022426603,0.1959490848276501,0.2808853995929697,417.38451924175024,922.259883955121
2025-05-05 08:00:00+00:00,2025H1,bull,bull_mild,-3531.239363073837,-4272.765340283513,741.5259772096761,0.1335135186896423,bull|conf_lo|long_normal|short_normal,0.7559252381324768,0.1175781384610084,-0.1036835132173259,81.7454420030117,846.4927319437265
2025-09-21 08:00:00+00:00,2025H2,side,side_flat,-3497.2741041565314,-1034.7761231241748,-2462.4979810323566,0.0232523590599309,side|conf_hi|long_normal|short_normal,1.42585226893425,0.0682004930156121,0.0477627263190351,-245.29915972379968,148.41722731944174
2025-09-20 16:00:00+00:00,2025H2,side,side_flat,-3353.5201675840653,-637.0005742064677,-2716.5195933775976,0.0293187853227685,side|conf_hi|long_normal|short_normal,1.015438586473465,0.1699987346577249,0.0593951904767284,265.4781565070152,209.44581932781148
2025-05-07 04:00:00+00:00,2025H1,bull,bull_deep,-3296.942845918238,-3140.012036310509,-156.93080960772932,0.2402093501155919,bull|conf_lo|long_knife|short_normal,0.5776991248130798,-0.4034575662325999,-0.042371348123282,220.24899255484345,-275.9158343542367
2025-05-05 04:00:00+00:00,2025H1,bull,bull_mild,-3263.986504462082,-3712.977031245828,448.99052678374574,0.1238734919182822,bull|conf_lo|long_normal|short_normal,0.6364134699106216,0.0629203009521273,-0.183404997195069,-123.42082802206278,335.2649300359189
2025-05-07 00:00:00+00:00,2025H1,bull,bull_deep,-3187.107439734973,-3104.0858570486307,-83.0215826863423,0.2437866916270445,bull|conf_lo|long_knife|short_normal,0.6878823041915894,-0.432630345635618,-0.0725441792657566,-1524.5565073564649,-786.8213206529617
2025-05-08 04:00:00+00:00,2025H1,bull,bull_deep,-3185.973842337262,-1471.355790272355,-1714.6180520649068,0.2423612755025996,bull|conf_lo|long_knife|short_normal,0.674172431230545,-0.5821849160611375,0.0597216917566856,-1385.5630811303854,688.7403351720423
2025-05-08 20:00:00+00:00,2025H1,bull,bull_deep,-3153.0424079392105,-133.72214743867517,-3019.320260500536,0.3227752128204693,bull|conf_hi|long_knife|short_squeeze,0.9793099761009216,-0.5990225028001221,0.3599187010046851,-1364.9600464850664,1784.6476956037804
2025-09-30 04:00:00+00:00,2025H2,side,side_flat,-3052.4969616089948,-923.9927376620471,-2128.504223946948,0.0480378133538721,side|conf_lo|long_normal|short_squeeze,0.8627143353223801,-0.007072135785007,0.2111093785971345,-210.87375818751752,358.5039870813489
2025-05-06 20:00:00+00:00,2025H1,bull,bull_hot,-2982.560261589242,-2760.325316339731,-222.23494524951093,0.1911615011064129,bull|conf_hi|long_knife|short_normal,0.8050209581851959,-0.4443501810943975,-0.1097005742411812,-2559.67253819108,-424.9702929519117
2025-10-11 16:00:00+00:00,2025H2,side,side_flat,-2934.087086468935,-1565.842293202877,-1368.244793266058,-0.0209249173993392,side|conf_hi|long_normal|short_normal,2.044260323047638,0.5801204819277108,0.0265281047057257,2340.481858700514,-598.4345963224769
2025-05-09 08:00:00+00:00,2025H1,bull,bull_deep,-2749.7915364801884,-820.234096609056,-1929.5574398711324,0.3358110538304759,bull|conf_hi|long_normal|short_squeeze,1.2488480806350708,0.0291294055760125,1.1212107654897867,173.82159287080867,3473.8243650645018
2025-10-13 00:00:00+00:00,2025H2,side,side_flat,-2749.5281177107245,-1769.5217858999968,-980.0063318107276,-0.0082455008863718,side|conf_hi|long_normal|short_normal,1.2941265106201172,0.5145216400911161,-0.2759925193824843,-1395.9086406975985,216.28990536555648
2025-07-20 04:00:00+00:00,2025H2,bull,bull_mild,-2654.374330304563,-590.968921314925,-2063.405408989638,0.1277533292514925,bull|conf_hi|long_normal|short_normal,1.0375776886940002,-0.0718290421356795,-0.0263579829947168,166.61995090544224,345.82648891955614
2026-01-12 16:00:00+00:00,2026,side,side_flat,-2590.6248576939106,-862.9959868267179,-1727.6288708671927,0.0170498381590034,side|conf_hi|long_normal|short_squeeze,0.989855945110321,0.0678582247803696,0.2854235725001024,-584.8132295068353,1455.2682545036075
2025-05-11 16:00:00+00:00,2025H1,bull,bull_deep,-2554.921272530919,-27.610675751930103,-2527.310596778989,0.260927468800753,bull|conf_hi|long_knife|short_squeeze,0.968794584274292,-0.1188779378316907,1.878616317974116,-551.1006247252226,3794.2296324763447
2025-08-26 04:00:00+00:00,2025H2,side,side_down,-2482.932368584443,-2216.7909497511573,-266.1414188332856,-0.0695789457653447,side|conf_hi|long_knife|short_normal,0.89739590883255,-0.1456861168704778,-0.1106718442376114,373.9415848394856,-44.25667691975832
2024-12-03 04:00:00+00:00,2024,bull,bull_deep,-2431.672599632293,-621.4730185456574,-1810.199581086636,0.405111730454847,bull|conf_hi|long_normal|short_squeeze,0.973889261484146,0.0347302222809768,0.1577885650297127,-33.31417217850685,917.2021318227052
2025-05-11 12:00:00+00:00,2025H1,bull,bull_deep,-2414.072001120076,-308.23070905171335,-2105.8412920683622,0.2727217437843623,bull|conf_hi|long_normal|short_squeeze,0.9902401566505432,0.3492290573835639,1.823498172671884,-542.8730230778456,2464.131023734808
2025-05-12 08:00:00+00:00,2025H1,bull,bull_deep,-2390.93316718936,-231.09206929802892,-2159.8410978913307,0.2450948900402774,bull|conf_hi|long_normal|short_squeeze,1.2293898463249209,-0.010111175004792,1.2141009566192744,673.5570449382067,2613.391950726509
2024-09-17 04:00:00+00:00,2024,side,side_flat,-2352.232798693876,-772.8587463498116,-1579.3740523440647,-0.0220666160085321,side|conf_lo|long_normal|short_normal,0.5246906876564026,-0.0251382604323781,-0.0155978231275084,-197.60163268074396,-16.012255800887942
