strategy,eval_cycles,traded_cycles,trade_frac,calendar_edge_bps,active_edge_bps,active_hit_rate,calendar_sh_like,total_edge_bps,period
always,2196,2196,1.0,-9.009724681067887,-9.009724681067887,0.4972677595628415,-0.575554837847712,-19785.35539962508,2024
btc_no_bull,2196,1424,0.6484517304189436,7.349167291815766,11.333406862940604,0.5196629213483146,0.6839459366019216,16138.771372827421,2024
btc_bear_only,2196,193,0.08788706739526411,10.76926727289103,122.5352897993197,0.6113989637305699,3.1342041258285356,23649.3109312687,2024
lagged_global_edge_180,2196,1239,0.5642076502732241,-19.693909023469836,-34.905427131186244,0.4923325262308313,-1.8163618402462027,-43247.82421553976,2024
bucket_report_card,2196,1244,0.5664845173041895,-2.7313025080234756,-4.821495424131479,0.5112540192926045,-0.22124648466312327,-5997.940307619552,2024
tree_d2,2196,1948,0.8870673952641166,-0.9026262611633535,-1.0175396660753206,0.5041067761806981,-0.06680262875844432,-1982.1672695147245,2024
tree_d3,2196,1948,0.8870673952641166,-0.9026262611633535,-1.0175396660753206,0.5041067761806981,-0.06680262875844432,-1982.1672695147245,2024
always,954,954,1.0,-53.26217585226687,-53.26217585226687,0.48846960167714887,-1.9322694959768805,-50812.1157630626,2025H1
btc_no_bull,954,713,0.7473794549266247,5.646076595349717,7.554497997143941,0.4964936886395512,0.27979886238002893,5386.35707196363,2025H1
btc_bear_only,954,181,0.18972746331236898,27.784899920280896,146.44637858534793,0.580110497237569,2.27376750940401,26506.794523947974,2025H1
lagged_global_edge_180,954,455,0.4769392033542977,-5.84705985583512,-12.259549675751,0.5164835164835165,-0.30047989102690187,-5578.095102466705,2025H1
bucket_report_card,954,479,0.5020964360587002,32.45876491436381,64.64647542443231,0.5302713987473904,1.810255287339403,30965.661728303076,2025H1
tree_d2,954,77,0.08071278825995808,-11.733472975821416,-145.37315868744975,0.4805194805194805,-0.9524521019672844,-11193.73321893363,2025H1
tree_d3,954,758,0.7945492662473794,-46.27421522980367,-58.23957959001676,0.4841688654353562,-1.8916971445760749,-44145.601329232704,2025H1
always,1086,1086,1.0,48.26928941838193,48.26928941838193,0.503683241252302,1.3969263762091992,52420.44830836278,2025H2
btc_no_bull,1086,973,0.8959484346224678,43.765930552127045,48.84871590915722,0.5087358684480987,1.3173677412943146,47529.80057960997,2025H2
btc_bear_only,1086,228,0.20994475138121546,9.75866147232401,46.48204543396436,0.4868421052631579,0.5292066033583184,10597.906358943874,2025H2
lagged_global_edge_180,1086,529,0.4871086556169429,-17.015051461179766,-34.930710561136536,0.4725897920604915,-0.6577283022809922,-18478.345886841227,2025H2
bucket_report_card,1086,510,0.4696132596685083,40.12226374202991,85.43682043891074,0.5078431372549019,1.5194724037781862,43572.77842384448,2025H2
tree_d2,1086,217,0.1998158379373849,6.881838272900991,34.44090490493307,0.4792626728110599,0.38056232550525426,7473.676364370476,2025H2
tree_d3,1086,217,0.1998158379373849,6.881838272900991,34.44090490493307,0.4792626728110599,0.38056232550525426,7473.676364370476,2025H2
always,1061,1061,1.0,112.04964900334302,112.04964900334302,0.5617342130065975,4.0460948188360675,118884.67759254694,2026
btc_no_bull,1061,920,0.8671065032987747,108.86679055306514,125.55180954000231,0.5684782608695652,4.585584649927551,115507.66477680212,2026
btc_bear_only,1061,336,0.3166823751178134,40.459234399364526,127.75966576704096,0.5684523809523809,2.9044084408794175,42927.24769772576,2026
lagged_global_edge_180,1061,949,0.8944392082940622,88.91825938514631,99.41230053492121,0.5616438356164384,3.5516206520802687,94342.27320764023,2026
bucket_report_card,1061,890,0.8388312912346843,92.50434056987625,110.27764645465022,0.5617977528089888,3.9254761861779905,98147.1053446387,2026
tree_d2,1061,1044,0.9839773798303487,97.63421119272839,99.22404030218853,0.5565134099616859,3.584507485301356,103589.89807548482,2026
tree_d3,1061,266,0.25070688030160226,12.6706159645436,50.53956217436376,0.48120300751879697,0.7164881752610189,13443.52353838076,2026
