era,feature,label,n_cyc,med_n_sym,block_days,ic_raw,t_raw,ic_pred_orth,t_pred_orth,ic_v0_orth,t_v0_orth
rec,ret_12h,h4,1601,167,1,-0.04306622168015088,-12.515889490069897,-0.04012011136850983,-12.021280913878796,0.013648879895789822,6.342301402344621
rec,ret_24h,h4,1601,167,1,-0.04472786562292229,-12.276897306658041,-0.04079950022595037,-11.679758456784601,0.021065974906116655,9.498573648097961
rec,ret_36h,h4,1601,167,1,-0.037146207480646884,-10.469520835369595,-0.03342609048498015,-9.891582361942751,0.0028400973438644428,1.1363564728396458
rec,ret_3d_c,h4,1601,167,1,-0.030263060634644044,-8.375320072590643,-0.026828889836847464,-7.7643895687276,0.002779536772318968,0.8983534844999913
rec,ret_5d,h4,1601,167,1,-0.025192357244969578,-7.1483103860154085,-0.02222321421209978,-6.622407384783682,0.00407093045058627,1.6845738758588527
rec,ret_7d,h4,1601,167,1,-0.023272823823527772,-6.620165091972608,-0.020777059838354123,-6.161628932380936,0.00422606462907539,1.682726475398526
rec,ret_12h,h12,1597,167,1,-0.048442755103393326,-10.900760735566752,-0.04473682860948756,-10.345424419193106,0.007027225991863148,2.9156920901527568
rec,ret_24h,h12,1597,167,1,-0.05324328880130858,-10.314542107426572,-0.048040749100660037,-9.779862951361402,0.012619512787117359,5.836775666525634
rec,ret_36h,h12,1597,167,1,-0.0411316182352966,-7.942681545682481,-0.03616287591567671,-7.3786118769005515,0.00224535448769295,0.7260656658724305
rec,ret_3d_c,h12,1597,167,1,-0.03381367158395376,-6.0825864562188565,-0.029326417632597166,-5.488580839399864,0.011385478723168118,3.6554524089212053
rec,ret_5d,h12,1597,167,1,-0.029100495347431334,-5.432925311408204,-0.025426958987160093,-4.947606587383619,0.0037403764870532195,1.0828369983779624
rec,ret_7d,h12,1597,167,1,-0.028040242506573675,-5.1593331065407835,-0.024988449048866754,-4.7810962033103745,0.005331070491214974,1.4100424014421293
