variant,sharpe,lo,hi,net_bps,sym_pos_frac,drop2_sharpe,folds_pos,top2
ridge_insample,-0.7267009082767061,-3.1202367834527753,1.5235979085229976,-0.6109508531256655,0.391304347826087,-0.7332752985664681,5,"WLDUSDT,LTCUSDT"
signed_train,-0.9056593506970415,-3.6955940232624385,1.4216016723785487,-0.675567885991636,0.4782608695652174,-0.0916030848890206,3,"WLDUSDT,TIAUSDT"
signed_nested,-2.5994760180348173,-4.856302046821742,-0.29229705734723055,-1.7970496459930694,0.2608695652173913,-1.87790928440582,1,"ARBUSDT,LINKUSDT"
