tag,gross_sh,net_sh,ci_lo,ci_hi,net_bps,ic,turn,sym_pos,folds_pos,net_sh_maker,base,delta,PASS,verdict
Ridge|F_core (20-sym baseline),1.5688653172302565,0.4561784409543958,-1.9594985350223475,2.9395365451654483,0.7596527655599825,0.018336615544484992,0.8236428420761688,0.55,5.0,1.3216504720468354,,,,
LGBM|F_core (20-sym baseline),-0.33009325591430017,-1.6394987857172538,-4.283815170708715,0.7752615995113704,-2.559495538038211,0.003159772031723127,0.9084849124689589,0.1,3.0,-0.6210473762517092,,,,
Ridge|F_core+ORDERFLOW (GATED),2.2385967669406717,1.088101741366436,-1.1989382391405998,3.5613044382202683,1.7611687375210094,0.026146378797750565,0.8280345349277007,0.7,6.0,1.9830185756773264,,,,
LGBM|F_core+ORDERFLOW (GATED),-0.13881304413349202,-1.4615725581046584,-4.052740333527218,0.9049399132835872,-2.260270914837007,0.007183906461089667,0.909149759886498,0.25,3.0,-0.43275144976939905,,,,
VERDICT,,1.088101741366436,,,,,,,,,0.4561784409543958,0.6319233004120401,False,"D1-ext-A FAIL — F_core+orderflow best NET Sharpe +1.09 (Ridge|F_core+ORDERFLOW (GATED), IC +0.026) ≤ +1.5; same-universe F_core baseline +0.46, Δ +0.63. Perp aggTrade order-flow does NOT lift the leak-free information ceiling. Information-bound now broadens to include perp order-flow. Remaining untested free family = spot microstructure (D1-ext-B); else terminus. Production LGBM unaffected."
