time,fold,active_sleeves,gross_pnl_bps,cost_bps,net_pnl_bps,turnover,gross_exposure,net_exposure,n_symbols
2023-05-15 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-15 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-15 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-15 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-17 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-17 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-17 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-17 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-18 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-18 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-18 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-18 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-19 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-19 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-19 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-20 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-20 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-20 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-20 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-20 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-20 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-21 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-21 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-21 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-21 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-21 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-21 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-22 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-22 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-22 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-22 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-22 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-22 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-23 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-23 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-23 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-23 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-23 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-23 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-24 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-24 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-24 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-24 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-24 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-24 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-25 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-25 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-25 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-25 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-25 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-25 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-26 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-26 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-26 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-26 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-26 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-27 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-27 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-27 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-27 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-27 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-27 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-28 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-28 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-28 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-28 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-28 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-28 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-29 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-29 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-29 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-29 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-29 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-29 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-30 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-30 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-30 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-30 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-30 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-30 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-31 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-31 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-31 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-31 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-31 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-05-31 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-01 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-01 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-01 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-01 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-01 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-01 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-02 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-02 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-02 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-02 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-02 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-02 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-03 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-03 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-03 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-03 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-03 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-03 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-04 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-04 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-04 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-04 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-04 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-04 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-05 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-05 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-05 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-05 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-06 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-06 20:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-07 00:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-07 04:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-07 08:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-07 12:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
2023-06-07 16:00:00+00:00,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
