model,config,n_feat,ic,decile_rho,k1,k3,k10,k3_folds_pos,k3_drop2,top5_share,top2,gate_pass
nnls_oriented,v2_all,22,0.02590838139193216,0.3696969696969697,7.202687076150939,6.770274590212372,3.0581779437751795,7,4.748883099470615,0.40636316967028197,"ZECUSDT,UNIUSDT",False
nnls_oriented,vol_only,9,0.008122841826282933,-0.24848484848484845,-8.972284179820791,-3.4709129613547463,-0.6275502280690534,4,-4.763324315118832,0.5200237562955327,"PENDLEUSDT,WLDUSDT",False
nnls_oriented,int_only,12,0.0005005220055324021,0.5030303030303029,1.954100036578489,0.1169405143089001,2.7477561887532307,4,-0.7546654024668796,0.5182025674523999,"HYPEUSDT,AAVEUSDT",False
nnls_oriented,sqbtcrel_plus_int,21,0.01869822027933202,0.43030303030303024,1.4158830956883905,3.6550721340836194,1.416891533070951,6,2.4409970377692227,0.45263542258588757,"WLDUSDT,UNIUSDT",False
nnls_oriented,v2_all_plus_int,34,0.01963687891557054,0.43030303030303024,2.5679522370612378,2.1009745859791904,0.8248679857223457,6,1.0926746202672506,0.49862504696974386,"ZECUSDT,PUMPUSDT",False
ridge_xsz,v2_all,22,0.007885089218044409,0.5515151515151515,10.267190093198808,5.944423505975332,2.2192341018847768,7,4.838412518142505,0.4478433084431089,"TRUMPUSDT,ZECUSDT",False
ridge_xsz,vol_only,9,-0.012891891603840931,-0.4787878787878787,-1.6790668220336455,-5.006827640651324,-2.9620587538986767,3,-7.984284440937368,0.7804744666781539,"ZECUSDT,TRUMPUSDT",False
ridge_xsz,int_only,12,-0.006897212697458492,0.24848484848484845,0.051773999562550514,1.0518465228363676,2.2547826956833696,5,-0.7587601736251027,0.5285904565941548,"TAOUSDT,TRUMPUSDT",False
ridge_xsz,sqbtcrel_plus_int,21,0.014222877585989705,0.4666666666666666,5.235862930641905,6.97024893082862,3.8524931485074063,7,4.321693544255706,0.46038333053942654,"ICPUSDT,WLDUSDT",False
ridge_xsz,v2_all_plus_int,34,0.00801684165221696,0.6484848484848483,4.874152698080869,3.6814073281700788,3.3845183165761368,6,1.6272381823861917,0.48159933179904635,"TRUMPUSDT,ZECUSDT",False
