open_time,fold,ic
2025-07-15 00:00:00+00:00,1,-0.287630662020906
2025-07-16 00:00:00+00:00,1,-0.06463414634146343
2025-07-17 00:00:00+00:00,1,0.030662020905923352
2025-07-18 00:00:00+00:00,1,-0.11202090592334496
2025-07-19 00:00:00+00:00,1,-0.2928571428571429
2025-07-20 00:00:00+00:00,1,-0.052961672473867606
2025-07-21 00:00:00+00:00,1,0.2036585365853659
2025-07-22 00:00:00+00:00,1,0.2853658536585366
2025-07-23 00:00:00+00:00,1,-0.20540069686411153
2025-07-24 00:00:00+00:00,1,-0.27073170731707324
2025-07-25 00:00:00+00:00,1,-0.31759581881533105
2025-07-26 00:00:00+00:00,1,0.05505226480836238
2025-07-27 00:00:00+00:00,1,-0.26655052264808365
2025-07-28 00:00:00+00:00,1,-0.08066202090592337
2025-07-29 00:00:00+00:00,1,0.3952961672473868
2025-07-30 00:00:00+00:00,1,0.06550522648083625
2025-07-31 00:00:00+00:00,1,-0.05487804878048781
2025-08-01 00:00:00+00:00,1,-0.2566202090592335
2025-08-02 00:00:00+00:00,1,0.01829268292682927
2025-08-03 00:00:00+00:00,1,0.006445993031358886
2025-08-04 00:00:00+00:00,1,-0.09756097560975611
2025-08-05 00:00:00+00:00,1,-0.04041811846689897
2025-08-06 00:00:00+00:00,1,-0.17299651567944258
2025-08-07 00:00:00+00:00,1,0.15871080139372826
2025-08-08 00:00:00+00:00,1,-0.1402439024390244
2025-08-09 00:00:00+00:00,1,0.1334494773519164
2025-08-10 00:00:00+00:00,1,0.302439024390244
2025-08-11 00:00:00+00:00,1,0.014111498257839724
2025-08-12 00:00:00+00:00,1,-0.01637630662020906
2025-08-13 00:00:00+00:00,1,0.16759581881533103
2025-08-16 00:00:00+00:00,2,0.18327526132404182
2025-08-17 00:00:00+00:00,2,-0.15435540069686415
2025-08-18 00:00:00+00:00,2,-0.19756097560975616
2025-08-19 00:00:00+00:00,2,-0.06271777003484322
2025-08-20 00:00:00+00:00,2,0.15226480836236936
2025-08-21 00:00:00+00:00,2,0.4257839721254356
2025-08-22 00:00:00+00:00,2,0.027874564459930317
2025-08-23 00:00:00+00:00,2,-0.048083623693379804
2025-08-24 00:00:00+00:00,2,0.38257839721254366
2025-08-25 00:00:00+00:00,2,-0.012020905923344951
2025-08-26 00:00:00+00:00,2,0.07909407665505229
2025-08-27 00:00:00+00:00,2,-0.02090592334494774
2025-08-28 00:00:00+00:00,2,0.12055749128919864
2025-08-29 00:00:00+00:00,2,0.2682926829268293
2025-08-30 00:00:00+00:00,2,0.20000000000000004
2025-08-31 00:00:00+00:00,2,0.038850174216027884
2025-09-01 00:00:00+00:00,2,0.13222996515679447
2025-09-02 00:00:00+00:00,2,0.32961672473867604
2025-09-03 00:00:00+00:00,2,0.4719512195121952
2025-09-04 00:00:00+00:00,2,0.30418118466898963
2025-09-05 00:00:00+00:00,2,0.20818815331010457
2025-09-06 00:00:00+00:00,2,0.07770034843205577
2025-09-07 00:00:00+00:00,2,-0.007491289198606273
2025-09-08 00:00:00+00:00,2,-0.060452961672473875
2025-09-09 00:00:00+00:00,2,0.06306620209059235
2025-09-10 00:00:00+00:00,2,0.26655052264808365
2025-09-11 00:00:00+00:00,2,0.36463414634146346
2025-09-12 00:00:00+00:00,2,0.35574912891986066
2025-09-13 00:00:00+00:00,2,-0.09477351916376309
2025-09-14 00:00:00+00:00,2,0.12630662020905925
2025-09-17 00:00:00+00:00,3,0.1937282229965157
2025-09-18 00:00:00+00:00,3,0.2820557491289199
2025-09-19 00:00:00+00:00,3,0.45156794425087116
2025-09-20 00:00:00+00:00,3,0.6064459930313589
2025-09-21 00:00:00+00:00,3,0.09878048780487808
2025-09-22 00:00:00+00:00,3,0.2541811846689896
2025-09-23 00:00:00+00:00,3,0.13850174216027877
2025-09-24 00:00:00+00:00,3,-0.02601085811522567
2025-09-25 00:00:00+00:00,3,-0.010452961672473868
2025-09-26 00:00:00+00:00,3,0.2550036463819788
2025-09-27 00:00:00+00:00,3,0.33327931285957385
2025-09-28 00:00:00+00:00,3,0.11498257839721256
2025-09-29 00:00:00+00:00,3,0.41852362045215136
2025-09-30 00:00:00+00:00,3,-0.18985495502795563
2025-10-01 00:00:00+00:00,3,0.23069443319017907
2025-10-02 00:00:00+00:00,3,-0.026334980957783
2025-10-03 00:00:00+00:00,3,0.015963049995948466
2025-10-04 00:00:00+00:00,3,0.1261648164654404
2025-10-05 00:00:00+00:00,3,0.23508442776735464
2025-10-06 00:00:00+00:00,3,0.013696060037523454
2025-10-07 00:00:00+00:00,3,0.48442776735459675
2025-10-08 00:00:00+00:00,3,0.2427767354596623
2025-10-09 00:00:00+00:00,3,-0.18142589118198876
2025-10-10 00:00:00+00:00,3,-0.08678389109472491
2025-10-11 00:00:00+00:00,3,-0.04351349161332146
2025-10-12 00:00:00+00:00,3,0.4990681468276477
2025-10-13 00:00:00+00:00,3,-0.2841747022121384
2025-10-14 00:00:00+00:00,3,0.45628393161008024
2025-10-15 00:00:00+00:00,3,0.3802771250303866
2025-10-16 00:00:00+00:00,3,0.19698565756421685
2025-10-19 00:00:00+00:00,4,0.38465278340491044
2025-10-20 00:00:00+00:00,4,0.44866704480998304
2025-10-21 00:00:00+00:00,4,-0.3284174702212139
2025-10-22 00:00:00+00:00,4,0.21286767684952598
2025-10-23 00:00:00+00:00,4,0.48837209302325585
2025-10-24 00:00:00+00:00,4,0.31658698646787137
2025-10-25 00:00:00+00:00,4,-0.6304999594846448
2025-10-26 00:00:00+00:00,4,-0.15387731950409206
2025-10-27 00:00:00+00:00,4,0.5718337249817681
2025-10-28 00:00:00+00:00,4,0.1477189854955028
2025-10-29 00:00:00+00:00,4,-0.19439267482375822
2025-10-30 00:00:00+00:00,4,0.17170407584474517
2025-10-31 00:00:00+00:00,4,0.4603354671420469
2025-11-01 00:00:00+00:00,4,-0.03378980633660157
2025-11-02 00:00:00+00:00,4,-0.5530346001134431
2025-11-03 00:00:00+00:00,4,-0.21675715096021395
2025-11-04 00:00:00+00:00,4,0.4342435783161819
2025-11-05 00:00:00+00:00,4,0.5228911757556115
2025-11-06 00:00:00+00:00,4,-0.1657078032574346
2025-11-07 00:00:00+00:00,4,-0.32290738189773927
2025-11-08 00:00:00+00:00,4,0.5126813062150555
2025-11-09 00:00:00+00:00,4,0.5726440320881615
2025-11-10 00:00:00+00:00,4,-0.3373308483915404
2025-11-11 00:00:00+00:00,4,0.08289441698403696
2025-11-12 00:00:00+00:00,4,0.3337654971234098
2025-11-13 00:00:00+00:00,4,0.2627825946033547
2025-11-14 00:00:00+00:00,4,-0.25322097074791344
2025-11-15 00:00:00+00:00,4,-0.17996920832995708
2025-11-16 00:00:00+00:00,4,0.21448829106231265
2025-11-17 00:00:00+00:00,4,0.554493152904951
2025-11-20 00:00:00+00:00,5,0.6183453528887448
2025-11-21 00:00:00+00:00,5,0.2686168057693866
2025-11-22 00:00:00+00:00,5,-0.10493477027793535
2025-11-23 00:00:00+00:00,5,-0.20427842152175674
2025-11-24 00:00:00+00:00,5,0.3908111174134998
2025-11-25 00:00:00+00:00,5,0.20654728141965806
2025-11-26 00:00:00+00:00,5,0.015152742889555143
2025-11-27 00:00:00+00:00,5,0.4368365610566405
2025-11-28 00:00:00+00:00,5,0.6364962320719553
2025-11-29 00:00:00+00:00,5,0.37752208086864925
2025-11-30 00:00:00+00:00,5,0.024876428166275017
2025-12-01 00:00:00+00:00,5,-0.16586986467871326
2025-12-02 00:00:00+00:00,5,0.4282473057288712
2025-12-03 00:00:00+00:00,5,0.20816789563244473
2025-12-04 00:00:00+00:00,5,0.38562515193258246
2025-12-05 00:00:00+00:00,5,0.21870188801555793
