tier,member,cost,base_sh,treat_sh,margin,ci_lo,ci_hi,fpos,nf,share,lift,blo,bhi,v31m,passA,passB,passM,PASS
A,ridge,MAKER,-0.10340460141883594,0.23926166222629802,0.342666263645134,-1.8326631542834952,2.527621653736968,3,7,0.3420952667139705,-1.0565775056245978,-2.4593790718974646,0.349728535401837,2.7467011481620704,False,False,True,False
A,ridge,COST2.25,-0.5177297110799132,-0.4444022561748743,0.07332745490503889,-2.5525369554815507,1.8181117292539533,2,7,0.287663900396618,-1.3917214020085316,-2.845128423692707,0.013564154025371464,2.7467011481620704,False,False,False,False
A,lgbm,MAKER,1.3163918678597786,1.1575423313778195,-0.1588495364819591,-1.0559162006930058,3.4926429846412135,3,7,0.48419451857258716,-0.37301973157305834,-1.158467348635007,0.45528783294391534,2.7467011481620704,False,False,False,False
A,lgbm,COST2.25,1.1976363470105167,1.037448346916344,-0.16018800009417267,-1.1932500366597527,3.3658312467895124,3,7,0.49263957614264,-0.4181923025354366,-1.21360034378271,0.41331983899699964,2.7467011481620704,False,False,False,False
B,ridge,MAKER,-0.116679083202901,-0.8429133365751255,-0.7262342533722245,-3.141685591872374,1.8817182073307999,2,7,0.3315506348796552,-1.2731605595553093,-2.625826731162032,-0.043980006805338916,2.773534144910131,False,False,False,False
B,ridge,COST2.25,-0.5680197425374414,-1.6836668635590832,-1.1156471210216419,-3.9943766542906745,0.9534832357687236,1,7,0.3233992305917333,-1.6928230288634867,-3.114213877925238,-0.4634962284205439,2.773534144910131,False,False,False,False
B,lgbm,MAKER,0.02807930197748064,0.523236971444569,0.4951576694670884,-1.71665976761294,3.186234677391039,4,7,0.40865902975356344,-0.437756546196296,-1.2171850384037137,0.3479769283089951,2.773534144910131,False,False,True,False
B,lgbm,COST2.25,-0.03704243968656217,0.3443289082162536,0.3813713479028158,-1.9257963678386107,2.9896118236095353,4,7,0.41424895814556384,-0.5195807367317191,-1.3102313210674073,0.26944337897347287,2.773534144910131,False,False,True,False
