sym,n,ic,net_bps,hit,net_sh,fp
FILUSDT,1620,0.0811868588241007,4.340174571950361,52.96296296296297,1.0191115990508404,6/9
SOLUSDT,1620,0.0667503768376006,2.6928363619027404,52.8395061728395,1.3879319750775814,7/9
LTCUSDT,1620,0.05970339904135793,2.0552081052662814,52.09876543209877,0.8301731818564988,7/9
AVAXUSDT,1611,0.05703515145482755,0.11632526976834626,50.34140285536933,0.04042168652353648,6/9
ETHUSDT,1591,0.056294982496415284,1.2621509431464069,52.67127592708988,0.8276723271727142,7/9
PAXGUSDT,1620,0.05541651419789613,-1.1408534886468575,51.79012345679013,-0.9405714781172885,5/9
ONDOUSDT,1620,0.055254137691602416,4.061047845880065,50.864197530864196,1.47581124315943,8/9
SUIUSDT,1620,0.05431899307655241,3.745773020994519,50.98765432098765,1.2195046777222707,6/9
ATOMUSDT,1620,0.052894460930053074,1.92298355219982,51.60493827160494,0.6835699799104151,5/9
STRKUSDT,1568,0.052036239349407855,8.801039742965893,51.65816326530612,1.809353741789718,5/9
OPUSDT,1620,0.047871382136408146,0.7908617709601604,52.22222222222223,0.24061617590695072,4/9
AAVEUSDT,1577,0.04389044961439587,5.982621646285698,51.68040583386176,2.0282533645719885,7/9
ADAUSDT,1620,0.04380991751014373,0.08939404368307541,49.5679012345679,0.03642112235809466,6/9
VIRTUALUSDT,1589,0.03993086828679264,-0.7614499472768143,50.66079295154186,-0.16651958244740095,7/9
PUMPUSDT,1570,0.03951641558068207,1.9560226719986624,52.101910828025474,0.349089410491883,5/9
ICPUSDT,1569,0.038340243600018115,-3.3687236446477704,50.98789037603569,-0.7558805296963823,4/9
PENGUUSDT,1620,0.03821797478768084,6.345106284271819,49.691358024691354,1.57887342084133,6/9
UNIUSDT,1620,0.03733530073968399,-0.28791361713158914,50.49382716049383,-0.07966370559912522,6/9
BNBUSDT,1620,0.03297435026147009,-0.3165510191131786,51.48148148148148,-0.18213569793787213,5/9
ARBUSDT,1620,0.03230558905691578,1.2513229735835574,50.98765432098765,0.3629940864414302,7/9
FARTCOINUSDT,1568,0.03229452989726032,2.1217590377316218,49.55357142857143,0.35692807420215295,5/9
XRPUSDT,1620,0.029714028494396874,0.8958943556514155,50.80246913580246,0.43731045322768003,6/9
INJUSDT,1590,0.026408048998140875,3.5995023194853193,50.125786163522015,0.9939539563601825,6/9
HYPEUSDT,1577,0.025564687476176,4.648622332338053,51.553582752060876,1.2374769050214793,6/9
TONUSDT,1607,0.02385139967105725,0.14003009287308116,51.02675793403858,0.03647566856535105,6/9
NEARUSDT,1620,0.023803282622463694,1.1500339173657312,51.23456790123457,0.35345100866247037,5/9
LINKUSDT,1559,0.020364041838630154,-0.5458559868643607,49.775497113534314,-0.23220192507418674,6/9
PENDLEUSDT,1620,0.01954008715335785,-0.5493760021910323,50.98765432098765,-0.15617617611829596,5/9
LDOUSDT,1607,0.018030509237833257,0.500736446480736,50.52893590541382,0.12359627999859575,5/9
TAOUSDT,1620,0.01747553263446997,-0.620451908724463,50.49382716049383,-0.15278943946724768,5/9
ZECUSDT,1620,0.016326334072987687,6.540545061375452,51.23456790123457,1.0127078577729345,5/9
TIAUSDT,1620,0.013425439924002068,-4.397023534680175,50.679012345679006,-1.1576222550714357,4/9
WLDUSDT,1620,0.0094614819254632,-3.4344848919175686,49.50617283950617,-0.7391773278753587,3/9
JUPUSDT,1620,0.00909424722892111,-0.1294877376846098,48.95061728395061,-0.036572943582943745,6/9
DOGEUSDT,1591,0.0072247317490646895,-2.1711969752610094,48.58579509742301,-0.8349586244056985,4/9
TRUMPUSDT,1617,0.006347918223118192,3.510486607768044,51.14409400123686,0.6702082077755623,7/9
APTUSDT,1617,0.004566538803674772,-2.5697255781492365,51.02040816326531,-0.795796002767367,4/9
SPXUSDT,1620,0.0036933916425563843,-3.4823434647696736,49.32098765432099,-0.7767193016396481,4/9
ENAUSDT,1620,0.0018787172620107317,-0.7249427523746829,47.22222222222222,-0.1562286943135332,4/9
WIFUSDT,1594,-0.00014422046355062258,-5.245107771286068,48.87076537013802,-1.3682963523899543,4/9
JTOUSDT,1620,-0.0015277938837580491,3.155210950167366,50.123456790123456,0.7134460933509821,6/9
ASTERUSDT,1217,-0.004472820602351656,2.651215639979726,50.534100246507805,0.5173128961414113,5/7
