part,k,sh,lo,hi,wt,wt_lo,wt_hi,pf
cost,1x,4.3421129560781235,2.1434604190425324,6.348222650163665,10.732126235961914,5.910852909088135,15.737139701843262,1.4457809925079346
cost,2x,3.0632156861122626,0.7997294756421031,5.12827510966185,10.732126235961914,5.910852909088135,15.737139701843262,1.4457809925079346
cost,3x,1.7854964361281929,-0.48210447106355947,3.922478885984971,10.732126235961914,5.910852909088135,15.737139701843262,1.4457809925079346
iter,drop2,4.3421129560781235,2.1434604190425324,6.348222650163665,10.732126235961914,5.910852909088135,15.737139701843262,1.4457809925079346
iter,drop4,2.8408031603950685,0.47181971132879275,5.265630338576864,8.48843765258789,3.4335222244262695,14.152448654174805,1.3306629657745361
iter,drop6,2.101984683750249,-0.15861091997194102,4.311769042134516,3.701557159423828,1.027600884437561,6.289062023162842,1.2034989595413208
placebo,rand-pool-p95,2.2182323386691833,,,,,,
