label,sharpe,lo,hi,fp,pc,wt,wt_lo,wt_hi,pf,total
persym-selfstd-44 PIT,-0.48533850141511126,-3.2549816905414697,2.0917169073572626,5,-1.089427284568416,4.407956094212821,-7.182035814747859,17.54672100077693,1.0995669428934856,-1764.8722010008341
persym-selfstd-drop2 PIT,-0.7687579055315332,-3.5064627277725853,1.5336148282026278,3,-1.664948751097744,3.146013391451527,-7.051438112386586,15.82334623319929,1.0744452956124775,-2697.2169767783453
drop2 PIT all-eligible,-0.19934601060915214,-2.5254661444754674,1.9600991605232654,6,-0.46524466718387153,1.198046796213005,-2.2007320800391548,4.947375004234415,1.0495515711791978,-753.6963608378719
drop2 PIT win=30d,-2.300152772690544,-4.779409579049252,0.10747517506951446,2,-5.38133118813157,-3.757226559700388,-13.777401416518147,7.724508060323819,0.9167838229918395,-8717.756524773144
drop2 PIT win=60d,-2.028486423966777,-4.495634627345215,0.22369391850722298,2,-4.8458489114822365,-1.603864222119043,-7.461181825965733,4.292897682472154,0.9494515907796681,-7850.275236601223
drop2 PIT win=180d,0.5701244659422835,-2.1992147319003865,2.831397632231879,4,1.133588749347401,9.292246828157827,-3.737033743062943,24.148131361142145,1.2228100091964396,1836.4137739427897
