label,N,ic,sharpe,sh_lo,sh_hi,fp,pc_mean,pc_lo,pc_hi,tr_mean,tr_lo,tr_hi,tr_pf,total
pooled-44,44,-0.012935789909004604,0.37542898598477437,-1.9871993975285795,2.5507084978150165,5,1.3609826616213143,-6.822985108394563,9.142301973010765,12.350701332092285,-10.270012855529785,35.87102508544922,1.107202,2204.791911826529
persym-44,44,-0.00021287486386042457,-1.181400057212466,-3.6666240924536795,1.208113136051412,2,-2.673252365768469,-7.848366425424538,2.882569990691722,2.567500352859497,-23.342952728271484,27.91588020324707,1.0243999,-4330.6688325449195
persym-drop2-42,42,0.0013237944777926126,-2.352611171057317,-4.712007824842171,-0.0658025568439831,0,-4.885348676097499,-9.814223740698088,0.09649672635986963,-7.247356414794922,-27.916711807250977,15.634003639221191,0.9308324,-7914.264855277948
