feature,n_cycles,ic_mean,ic_median,ic_t,pearson_mean,spread_bps,spread_pos_pct,offset,label
idio_vol_to_btc_1d,1620,-0.03578110705108342,-0.04821327283040273,-4.743621946495537,2.544932766358874e-06,11.670711823157323,0.495679012345679,0,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.0362533037300177,-0.04833578743669309,-4.802280231503029,0.0009215943872405955,11.833593763135097,0.5055555555555555,1,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03475288709689726,-0.03824649542176485,-4.611818225633121,0.000627356206581265,11.491220727599698,0.5037037037037037,2,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.036051765555087795,-0.044391327623776795,-4.813069237361916,0.000734486300433614,12.408070710595743,0.49382716049382713,3,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03563989390199648,-0.0401102017664695,-4.730561231275247,0.0015701845382102607,12.526138829449076,0.5080246913580246,4,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.033285571465610564,-0.03345758042298032,-4.415537076935885,0.002669931382707944,12.031283432392426,0.5067901234567901,5,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03189123438340068,-0.03840855684304352,-4.193854502534294,0.0017284021803794102,11.436282696069023,0.5080246913580246,6,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03286901394910456,-0.04084278165125893,-4.3709636796729265,0.0032725641031234333,11.624151216024234,0.5,7,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03289749672550579,-0.03646381978769954,-4.378797488723789,0.0024840433640428605,12.086476908348224,0.495679012345679,8,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03312098009510455,-0.043594522323960785,-4.40455012561388,0.0014830749608829201,12.344229167184713,0.5012345679012346,9,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03345610272794468,-0.042784215217567464,-4.481503847806864,4.65826181044555e-05,12.100699294349294,0.5,10,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.034623607025882,-0.04416173729843611,-4.6204604601010315,-0.0008735497225394653,12.082270419597625,0.5018518518518519,11,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03514743985339205,-0.04404994542121603,-4.757266902097669,-0.0005191862557218518,10.893589975804458,0.5030864197530864,12,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.033690709829013066,-0.04663519974070174,-4.5482896176552075,-0.00045758393268284297,11.6122512359678,0.5074074074074074,13,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.034171144108600095,-0.04547038327526133,-4.641850846414418,0.0005380589647521699,11.798027840146313,0.5,14,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03396183727880014,-0.04646198916282191,-4.614502806191125,0.0010653922525570602,16.309449366875636,0.49691358024691357,15,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03458052412095831,-0.039786884946459114,-4.750887570423244,0.001527083945710979,12.080374529626635,0.5067901234567901,16,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.035249395248464016,-0.041448042421659725,-4.824235843655639,0.002566930089784235,12.35494968758689,0.5098765432098765,17,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.033567580809468894,-0.04148772384733815,-4.5113107957522995,0.004842709551731535,12.155419318028438,0.5055555555555555,18,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.032893788634181846,-0.0451341058261081,-4.437653396891558,0.004554021584144241,12.186882876761166,0.5111111111111111,19,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.033403822525874025,-0.04517553390757054,-4.52979197808123,0.004243805189216442,10.729859963905664,0.5024691358024691,20,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.033065576034629604,-0.042538004911244695,-4.4844368305755475,0.003914730210174154,11.323113977467573,0.5061728395061729,21,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03278163381618877,-0.04464882279725842,-4.477620482490404,0.0032639600243891923,10.74456402276769,0.5055555555555555,22,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03162671901109767,-0.04002917105583016,-4.312445902033221,0.0037215762827521857,11.498991741957488,0.5037037037037037,23,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.034625139444366904,-0.03998946336465123,-4.696477141047051,0.003385426157027856,11.983989826249488,0.504320987654321,24,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03422789994109571,-0.04116157523701483,-4.6598004376114055,0.0029044089432122937,11.596468644377627,0.5074074074074074,25,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03334566615089615,-0.039381718260512205,-4.542077591204346,0.003013597602455558,12.394229178075436,0.5037037037037037,26,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03506030923623109,-0.039927882667531,-4.786431965866493,0.003229977904382616,12.548369173356045,0.5055555555555555,27,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03396323054792674,-0.04189287740053481,-4.678480705831494,0.0029712628471869396,11.960996805959278,0.5,28,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03539370258502227,-0.049308188796240715,-4.862116614442143,0.0024919140171791375,11.812906473507116,0.49876543209876545,29,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03281185744634467,-0.045540180313416445,-4.49200101586584,0.002186366701034172,12.046640143534283,0.5049382716049383,30,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03285186343104611,-0.04136785384863055,-4.505317683414328,0.00032240369948512956,12.188784263457782,0.5018518518518519,31,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03234174146240256,-0.042612024957458874,-4.40758755750853,0.0003187071427569885,11.381244730287127,0.49691358024691357,32,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.032358052671383176,-0.03901707513785386,-4.383014256615689,0.0003074509247554509,11.145070896693218,0.4981481481481482,33,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03222015932764221,-0.03292011028979215,-4.33544971440792,0.0017256676208105947,11.020414563167243,0.495679012345679,34,feature_idio_vol_to_btc_1d
idio_vol_to_btc_1d,1620,-0.03162968755533988,-0.03079167004294628,-4.247590041380264,0.0014024914573032173,11.542918988859947,0.4993827160493827,35,feature_idio_vol_to_btc_1d
