feature,n_cycles,ic_mean,ic_median,ic_t,pearson_mean,spread_bps,spread_pos_pct,offset,label
atr_pct,1620,-0.041368375741971906,-0.04817073170731708,-5.903069269831907,-0.007185334678039827,7.4390693567417285,0.4888888888888889,0,feature_atr_pct
atr_pct,1620,-0.04004827494235053,-0.04456689085163276,-5.7378315530306265,-0.0058084958984210965,4.292708235684736,0.48641975308641977,1,feature_atr_pct
atr_pct,1620,-0.03788042080734837,-0.042054938821813465,-5.432171840294144,-0.007059173714516873,5.671959514235273,0.5030864197530864,2,feature_atr_pct
atr_pct,1620,-0.039442259438019045,-0.040594360262539514,-5.724623996530792,-0.006493428024893729,8.19033145117171,0.4962962962962963,3,feature_atr_pct
atr_pct,1620,-0.03812480894859504,-0.036301758366420876,-5.506874941172858,-0.005809235321684745,10.727034164946756,0.4981481481481482,4,feature_atr_pct
atr_pct,1620,-0.03831251414409751,-0.030629608621667616,-5.511747145186592,-0.005720762356159293,11.034045308313251,0.49691358024691357,5,feature_atr_pct
atr_pct,1620,-0.038493466178573216,-0.04229803095373147,-5.440185363939331,-0.007948702531746689,9.95587259295546,0.49691358024691357,6,feature_atr_pct
atr_pct,1620,-0.039254824106769275,-0.04675472003889475,-5.544469869696351,-0.007811499897020914,8.134583282985805,0.49382716049382713,7,feature_atr_pct
atr_pct,1620,-0.04025593252022508,-0.03532938983874888,-5.679481590412387,-0.008891673112893777,9.690680358292145,0.49506172839506174,8,feature_atr_pct
atr_pct,1620,-0.03960717636803329,-0.04521513653674743,-5.597244620004096,-0.008133313289315248,11.797583793784366,0.48950617283950615,9,feature_atr_pct
atr_pct,1620,-0.0409245817021403,-0.044809982983550774,-5.800034963121977,-0.009982295806657254,10.839304040685112,0.49876543209876545,10,feature_atr_pct
atr_pct,1620,-0.04160172372589476,-0.045620290089944095,-5.887088017702458,-0.010938670752790858,10.86013853755998,0.504320987654321,11,feature_atr_pct
atr_pct,1620,-0.041296421823501864,-0.04015679442508712,-5.899828797525851,-0.009121944763538961,10.367084774706099,0.5,12,feature_atr_pct
atr_pct,1620,-0.04112606249275411,-0.04286524592820679,-5.84909634583751,-0.009890541440343487,9.438699396451314,0.4876543209876543,13,feature_atr_pct
atr_pct,1620,-0.04119163658383122,-0.0465541690300624,-5.890457370577805,-0.00917691320544921,9.601671678490108,0.49506172839506174,14,feature_atr_pct
atr_pct,1620,-0.04247644853931423,-0.04368365610566405,-6.099858459334139,-0.009383008393970478,8.698091875476601,0.4901234567901235,15,feature_atr_pct
atr_pct,1620,-0.04246651142896615,-0.04007171217891582,-6.1994219742550465,-0.008023926044565324,8.33943871377427,0.4925925925925926,16,feature_atr_pct
